"",outcome,Outcome,Beta.CI_HC genotype_HC meal,Beta.CI_HC genotype_HF meal,Beta.CI_HF genotype_HC meal,Beta.CI_HF genotype_HF meal,P_HC genotype_HC meal,P_HC genotype_HF meal,P_HF genotype_HC meal,P_HF genotype_HF meal
211,HMDB0060060,CE 17:1,,"-0.66 (-0.97, -0.36)","-0.15 (-0.22, -0.08)",,,0.013,0.016,
212,HMDB0005356,TG 48:0,,,"0.91 (0.68, 1.14)","0.7 (0.51, 0.9)",,,1.5e-03,0.02
213,HMDB0011707,TG 51:2,,,"0.28 (0.1, 0.47)","0.19 (0.14, 0.25)",,,0.04,0.021
214,HMDB0005360,TG 50:1,,,"0.41 (0.25, 0.56)","0.43 (0.34, 0.52)",,,7.2e-03,0.011
215,HMDB0043058,TG 53:3,,,"0.14 (0.07, 0.21)",,,,0.016,
216,HMDB0042095,TG 49:0,,,"1.34 (0.93, 1.75)","0.8 (0.49, 1.12)",,,3.1e-03,0.038
217,HMDB0000918,CE 18:1,,,"-0.08 (-0.12, -0.04)",,,,0.019,
218,HMDB0042104,TG 51:1,,,"0.59 (0.29, 0.89)",,,,0.018,
219,HMDB0005357,TG 50:0,,,"0.6 (0.42, 0.78)",,,,2.8e-03,
220,HMDB0005367,TG 52:1,,,"0.27 (0.15, 0.4)","0.24 (0.14, 0.34)",,,0.013,0.04
221,HMDB0031106,TG 51:0,,,"0.61 (0.39, 0.83)",,,,5.8e-03,
222,HMDB0005403,TG 54:2,,"0.39 (0.13, 0.66)","0.19 (0.06, 0.33)","0.34 (0.25, 0.43)",,0.041,0.046,0.017
223,HMDB0042482,TG 53:1,,,"0.55 (0.34, 0.76)","0.45 (0.37, 0.53)",,,6.6e-03,7.8e-03
224,HMDB0005365,TG 52:0,,"0.57 (0.22, 0.93)","0.66 (0.48, 0.85)","0.43 (0.3, 0.56)",,0.033,2.1e-03,0.022
225,HMDB0043373,TG 55:2,,,"0.31 (0.16, 0.46)","0.47 (0.29, 0.64)",,,0.016,0.035
226,HMDB0005395,TG 54:1,,"0.64 (0.28, 1)","0.51 (0.32, 0.7)","0.63 (0.45, 0.82)",,8.6e-03,6.4e-03,0.022
227,HMDB0043380,TG 57:3,,"0.43 (0.13, 0.73)","0.17 (0.1, 0.23)",,,0.049,8.6e-03,
228,HMDB0005404,TG 56:2,,"0.67 (0.23, 1.11)","0.26 (0.13, 0.38)","0.69 (0.34, 1.04)",,0.017,0.016,0.018
229,HMDB0044261,TG 58:3,,,"0.06 (0.02, 0.1)",,,,0.031,
230,HMDB0010372,CE 22:1,,,"0.09 (0.04, 0.14)",,,,0.024,
231,HMDB0005393,TG 54:0,,"0.71 (0.31, 1.1)","0.73 (0.51, 0.95)","0.6 (0.47, 0.73)",,0.025,2.8e-03,0.012
232,HMDB0043375,TG 57:2,,"0.78 (0.24, 1.31)","0.38 (0.22, 0.54)","0.82 (0.58, 1.07)",,0.048,9.8e-03,0.022
233,HMDB0005396,TG 56:1,,"0.88 (0.33, 1.43)","0.57 (0.4, 0.73)","0.92 (0.6, 1.25)",,0.014,2.4e-03,0.03
234,HMDB0044121,TG 58:2,,,"0.22 (0.14, 0.31)","0.71 (0.4, 1.02)",,,6.6e-03,0.011
235,HMDB0050322,TG 59:2,,"0.92 (0.24, 1.59)","0.43 (0.31, 0.56)","1 (0.75, 1.26)",,0.028,2.6e-03,0.017
236,HMDB0043925,TG 58:1,,,"0.54 (0.39, 0.7)","0.87 (0.54, 1.2)",,,2.2e-03,0.036
237,HMDB0045053,TG 60:2,,,"0.33 (0.15, 0.51)",,,,0.022,
238,HMDB0240611,SM 18:1;O2/21:0,,"0.5 (0.27, 0.73)","0.68 (0.28, 1.07)",,,0.013,0.029,
239,HMDB0062737,CAR 11:1,,,"0.05 (0.02, 0.08)","0.09 (0.05, 0.12)",,,0.019,0.041
240,HMDB0000792,Sebacic acid,,"0.1 (0.07, 0.14)","0.07 (0.05, 0.09)","0.11 (0.09, 0.13)",,3.0e-03,1.4e-03,0.011
241,HMDB0000148,Glutamic acid,,"0.1 (0.07, 0.14)","0.07 (0.05, 0.09)","0.11 (0.09, 0.13)",,3.0e-03,1.4e-03,0.011
242,HMDB0000479,3-Methylhistidine,,,"0.12 (0.06, 0.18)",,,,0.021,
243,HMDB0000932,Tauro-alpha-muricholic acid,,,"0.66 (0.3, 1.02)",,,,0.023,
244,HMDB0001931,gamma-CEHC,,,"0.14 (0.06, 0.23)",,,,0.029,
245,HMDB0000623,Dodecanedioic acid,,"0.21 (0.11, 0.3)","0.12 (0.04, 0.2)","0.17 (0.14, 0.21)",,3.3e-03,0.04,0.011
246,HMDB0241655,CAR 5:0;OH,,,"0.26 (0.08, 0.43)",,,,0.044,
247,HMDB0029432,S-Methylcysteine S-oxide,,,"-0.14 (-0.24, -0.04)",,,,0.049,
248,HMDB0000895,Acetylcholine,,,"0.15 (0.09, 0.21)","0.16 (0.13, 0.19)",,,9.7e-03,8.6e-03
249,HMDB0004437,Diethanolamine,,,"0.12 (0.04, 0.2)",,,,0.039,
250,HMDB0010405,LPC 24:0,,,"0.21 (0.13, 0.3)",,,,7.8e-03,
251,HMDB0011212,PC P-34:3,,"0.08 (0.03, 0.13)","0.04 (0.01, 0.06)",,,0.032,0.045,
252,HMDB0000518,Chenodeoxycholic acid,,,"0.66 (0.32, 1)",,,,0.019,
253,HMDB0005779,PE P-38:4,,,"-0.04 (-0.06, -0.02)",,,,0.011,
254,HMDB0000511,Capric acid,,"0.94 (0.49, 1.39)","0.57 (0.25, 0.89)","0.88 (0.4, 1.36)",,3.4e-03,0.024,0.022
255,HMDB0000529,5-Dodecenoic acid,,,"-0.84 (-1.33, -0.36)",,,,0.027,
256,HMDB0004667,13-HODE,,,"-0.4 (-0.64, -0.16)",,,,0.031,
257,HMDB0001886,3-Methylxanthine,,,"0.1 (0.07, 0.13)",,,,3.5e-03,
258,HMDB0002000,Myristoleic acid,,,"-0.78 (-1.37, -0.18)",,,,0.033,
259,HMDB0001847,Caffeine,,,"-0.12 (-0.18, -0.05)",,,,0.024,
260,HMDB0242141,Eicosanedioic acid,,,"0.23 (0.15, 0.31)",,,,4.6e-03,
261,HMDB0001388,alpha-Linolenic acid,,,"-1.14 (-1.85, -0.43)",,,,0.034,
262,HMDB0060038,10Z-Heptadecenoic acid,,,"-0.84 (-1.33, -0.35)",,,,0.028,
263,HMDB0000555,3-Methyladipic acid,,,"0.28 (0.14, 0.42)",,,,0.016,
264,HMDB0240212,DMGV,,,"0.28 (0.14, 0.42)",,,,0.016,
265,HMDB0003876,15-HETE,,,"-1.04 (-1.54, -0.55)",,,,0.015,
266,HMDB0000172,Isoleucine,,,"-1.04 (-1.54, -0.55)",,,,0.015,
267,HMDB0008105,PC 36:3,,,"0.09 (0.03, 0.14)","0.12 (0.08, 0.16)",,,0.038,0.027
268,HMDB0000874,Taurohyodeoxycholic acid,,,"0.91 (0.27, 1.55)",,,,0.049,
269,HMDB0000925,Trimethylamine N-oxide,,,"0.91 (0.27, 1.55)",,,,0.049,
270,HMDB0011455,PE P-40:2,,,"0.21 (0.1, 0.33)",,,,0.022,
271,HMDB0004975,HexCer 42:2;O2,,,"0.06 (0.04, 0.09)",,,,7.0e-03,
272,HMDB0010379,LPC 14:0/0:0,,"-0.13 (-0.2, -0.05)",,"-0.06 (-0.06, -0.05)",,0.029,,6.9e-03
273,HMDB0011564,MG 16:0,,"0.04 (0.02, 0.07)",,,,0.024,,
274,HMDB0001492,gamma-Tocopherol,,"0.16 (0.08, 0.24)",,,,0.016,,
275,HMDB0009783,PI 34:1,,"0.11 (0.03, 0.18)",,,,0.047,,
276,HMDB0001857,"1,3-Dimethyluric acid",,"-0.24 (-0.39, -0.1)",,,,0.031,,
277,HMDB0240622,SM 35:1;O2,,"-0.05 (-0.07, -0.02)",,,,0.024,,
278,HMDB0011294,PC P-40:6,,"-0.04 (-0.06, -0.02)",,,,0.023,,
279,HMDB0009012,PE 40:6,,"0.35 (0.12, 0.59)",,,,0.043,,
280,HMDB0000020,p-Hydroxyphenylacetic acid,,"0.27 (0.17, 0.37)",,,,5.9e-03,,
281,HMDB0048587,TG 52:8,,"0.14 (0.04, 0.25)",,,,0.049,,
282,HMDB0042902,TG 51:6,,"0.27 (0.11, 0.43)",,"0.18 (0.1, 0.25)",,0.032,,0.045
283,HMDB0048455,TG 53:7,,"-0.34 (-0.58, -0.11)",,,,0.046,,
284,HMDB0010367,CE 14:1,,"-0.29 (-0.44, -0.15)",,,,0.016,,
285,HMDB0050099,TG 60:11,,"0.13 (0.07, 0.19)",,,,0.011,,
286,HMDB0005363,TG 52:4,,"0.14 (0.07, 0.22)",,,,0.023,,
287,HMDB0005385,TG 54:5,,"0.27 (0.17, 0.37)",,,,5.7e-03,,
288,HMDB0000610,CE 18:2,,"-0.13 (-0.19, -0.06)",,,,0.02,,
289,HMDB0004610,Phytosphingosine,,"0.15 (0.05, 0.26)",,,,0.049,,
290,HMDB0005370,TG 54:4,,"0.26 (0.12, 0.41)",,"0.16 (0.12, 0.21)",,0.024,,0.018
291,HMDB0000885,CE 16:0,,"-0.17 (-0.28, -0.07)",,,,0.033,,
292,HMDB0005406,TG 56:5_A,,"0.22 (0.09, 0.35)",,,,0.029,,
293,HMDB0006734,CE 20:2,,"-0.22 (-0.36, -0.07)",,,,0.041,,
294,HMDB0005405,TG 54:3,,"0.29 (0.1, 0.47)",,"0.23 (0.15, 0.32)",,0.018,,0.033
295,HMDB0005410,TG 56:3,,"0.4 (0.14, 0.65)",,"0.31 (0.21, 0.4)",,0.037,,0.024
296,HMDB0048749,TG 58:4,,"0.24 (0.08, 0.4)",,,,0.04,,
297,HMDB0031404,Cyclohexylamine,,"-0.2 (-0.3, -0.1)",,"-0.21 (-0.22, -0.19)",,0.016,,1.9e-03
298,HMDB0000187,Serine,,"-0.4 (-0.62, -0.19)",,,,0.021,,
299,HMDB0010169,SM 18:1;O2/16:0,,"0.1 (0.04, 0.16)",,,,0.034,,
300,HMDB0241240,CAR 12:2,,"-0.04 (-0.07, -0.01)",,,,0.04,,
301,HMDB0011504,LPE 16:1,,"0.09 (0.05, 0.13)",,,,0.013,,
302,HMDB0009102,PE 38:6,,"-0.11 (-0.17, -0.04)",,,,0.03,,
303,HMDB0002392,Maslinic acid,,"3.37 (1.69, 5.05)",,"3.19 (2.06, 4.33)",,0.017,,0.031
304,HMDB0000801,Phytanic acid,,"0.56 (0.19, 0.92)",,,,0.039,,
305,HMDB0002212,Arachidic acid,,"0.48 (0.12, 0.84)",,,,0.032,,
306,HMDB0013453,PC P-44:3,,"-0.23 (-0.39, -0.07)",,,,0.05,,
307,HMDB0047901,TG 46:5,,"1.09 (0.55, 1.63)",,,,4.3e-03,,
308,HMDB0011568,MG 18:2,,,,"-0.38 (-0.5, -0.27)",,,,0.023
309,HMDB0013250,N-Myristoylglycine,,,,"0.93 (0.83, 1.03)",,,,2.9e-03
310,HMDB0010406,LPC 24:1/0:0,,,,"0.14 (0.12, 0.17)",,,,9.7e-03
311,HMDB0011527,LPE 24:0/0:0,,,,"0.13 (0.08, 0.19)",,,,0.043
312,HMDB0013409,PC O-38:6,,,,"0.06 (0.04, 0.08)",,,,0.027
313,HMDB0240676,SM 39:2;O2,,,,"0.08 (0.06, 0.11)",,,,0.019
314,HMDB0004955,Cer 44:1;O2,,,,"0.12 (0.07, 0.16)",,,,0.035
315,HMDB0043186,TG 47:5,,,,"0.7 (0.6, 0.8)",,,,5.2e-03
316,HMDB0000258,Dihexose,,,,"-0.8 (-1.27, -0.32)",,,,0.03
317,HMDB0005369,TG 52:2,,,,"0.12 (0.07, 0.17)",,,,0.038
318,HMDB0043127,TG 55:3,,,,"0.1 (0.09, 0.12)",,,,6.1e-03
319,HMDB0042645,TG 58:5,,,,"0.17 (0.11, 0.22)",,,,0.026
320,HMDB0001161,3-Dehydroxycarnitine,,,,"0.06 (0.04, 0.08)",,,,0.019
321,HMDB0001518,alpha-CEHC,,,,"0.04 (0.03, 0.05)",,,,0.024
322,HMDB0000086,sn-Glycero-3-phosphocholine,,,,"0.04 (0.03, 0.05)",,,,0.024
323,HMDB0011439,PE P-36:1,,,,"0.13 (0.12, 0.15)",,,,3.6e-03
324,HMDB0000802,Pterin,,,,"-0.43 (-0.57, -0.29)",,,,0.027
325,HMDB0059655,2-Hydroxyglutaric acid,,,,"0.05 (0.04, 0.05)",,,,4.9e-03
326,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,,,,"0.18 (0.15, 0.22)",,,,8.3e-03
327,HMDB0011519,LPE 20:5/0:0,,,,"0.39 (0.28, 0.5)",,,,0.02
