Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC Genotype x Time_(joint),HMDB0256160,PC 35:1,,,,0.122029407920521,Interaction,,
HC Genotype x Time_120,HMDB0008312,PC 40:5,0.0323849246631268,0.0329543019955253,0.33360367911463,,Interaction,-0.0322055072481028,0.0969753565743564
HC Genotype x Time_235,HMDB0008312,PC 40:5,0.0652641002984893,0.0329543019955253,0.0568888484382911,,Interaction,0.000673668387259657,0.129854532209719
HC Genotype x Time_(joint),HMDB0008312,PC 40:5,,,,0.158326416562355,Interaction,,
HC Genotype x Time_120,HMDB0007103,DG 34:2,0.055515059688018,0.107932699356096,0.610776644033942,,Interaction,-0.15603303104993,0.267063150425966
HC Genotype x Time_235,HMDB0007103,DG 34:2,0.202630754881215,0.107932699356096,0.0702200304625495,,Interaction,-0.00891733585673299,0.414178845619164
HC Genotype x Time_(joint),HMDB0007103,DG 34:2,,,,0.169779761004974,Interaction,,
HC Genotype x Time_120,HMDB0240644,SM 42:4;O2,0.0543821025933755,0.037873136810624,0.16137634072447,,Interaction,-0.0198492455554476,0.128613450742199
HC Genotype x Time_235,HMDB0240644,SM 42:4;O2,0.0878925740761437,0.037873136810624,0.0272865625149305,,Interaction,0.0136612259273206,0.162123922224967
HC Genotype x Time_(joint),HMDB0240644,SM 42:4;O2,,,,0.0804993383068502,Interaction,,
HC Genotype x Time_120,HMDB0011210,PC P-34:1,0.0510608660735179,0.0314628323351774,0.11507526791393,,Interaction,-0.0106062853034297,0.112728017450466
HC Genotype x Time_235,HMDB0011210,PC P-34:1,0.0810045145323159,0.0314628323351774,0.0152127580964443,,Interaction,0.0193373631553682,0.142671665909263
HC Genotype x Time_(joint),HMDB0011210,PC P-34:1,,,,0.0470825221502704,Interaction,,
HC Genotype x Time_120,HMDB0013426,PC O-34:1,0.0604484881212886,0.0326761399324514,0.0741966624141264,,Interaction,-0.00359674614631622,0.124493722388893
HC Genotype x Time_235,HMDB0013426,PC O-34:1,0.0849372691637304,0.0326761399324514,0.0143487952082403,,Interaction,0.0208920348961256,0.148982503431335
HC Genotype x Time_(joint),HMDB0013426,PC O-34:1,,,,0.0403286211262053,Interaction,,
HC Genotype x Time_120,HMDB0007970,PC 34:0,0.0690307276534258,0.0307917222760053,0.0325184951099173,,Interaction,0.00867895199245552,0.129382503314396
HC Genotype x Time_235,HMDB0007970,PC 34:0,0.0971289558485668,0.0307917222760053,0.00364149990572159,,Interaction,0.0367771801875965,0.157480731509537
HC Genotype x Time_(joint),HMDB0007970,PC 34:0,,,,0.0109318286557487,Interaction,,
HC Genotype x Time_120,HMDB0240676,SM 39:2;O2,0.0740651199894769,0.0303250675551135,0.0206975671589988,,Interaction,0.0146279875814545,0.133502252397499
HC Genotype x Time_235,HMDB0240676,SM 39:2;O2,0.106778426037918,0.0303250675551135,0.00139617776861477,,Interaction,0.0473412936298955,0.16621555844594
HC Genotype x Time_(joint),HMDB0240676,SM 39:2;O2,,,,0.00448788705007373,Interaction,,
HC Genotype x Time_120,HMDB0008047,PC 38:3,0.0657299914359413,0.0289888929002564,0.0307310841254926,,Interaction,0.00891176135143886,0.122548221520444
HC Genotype x Time_235,HMDB0008047,PC 38:3,0.094597234986697,0.0289888929002564,0.00275009372744512,,Interaction,0.0377790049021945,0.151415465071199
HC Genotype x Time_(joint),HMDB0008047,PC 38:3,,,,0.00861622026489737,Interaction,,
HC Genotype x Time_120,HMDB0007199,DG 38:5,0.0256171927490827,0.0899452335676291,0.777747572936807,,Interaction,-0.15067546504347,0.201909850541636
HC Genotype x Time_235,HMDB0007199,DG 38:5,0.0549570531424006,0.0899452335676291,0.545797903467076,,Interaction,-0.121335604650152,0.231249710934954
HC Genotype x Time_(joint),HMDB0007199,DG 38:5,,,,0.830444589277834,Interaction,,
HC Genotype x Time_120,HMDB0011238,PC P-33:0,0.0530259247293091,0.0480196576110477,0.278261260626671,,Interaction,-0.0410926041883444,0.147144453646963
HC Genotype x Time_235,HMDB0011238,PC P-33:0,0.0285039477469601,0.0480196576110477,0.557236397111142,,Interaction,-0.0656145811706934,0.122622476664614
HC Genotype x Time_(joint),HMDB0011238,PC P-33:0,,,,0.5495115727005,Interaction,,
HC Genotype x Time_120,HMDB0013420,PC O-38:4,0.0543927525202102,0.0300709851342556,0.0805131577627975,,Interaction,-0.00454637834293081,0.113331883383351
HC Genotype x Time_235,HMDB0013420,PC O-38:4,0.086053316744358,0.0300709851342556,0.00760840114729607,,Interaction,0.027114185881217,0.144992447607499
HC Genotype x Time_(joint),HMDB0013420,PC O-38:4,,,,0.0248486239719363,Interaction,,
HC Genotype x Time_120,HMDB0007219,DG 36:3,0.0796313845427169,0.0710317831000242,0.271153385092321,,Interaction,-0.0595909103333305,0.218853679418764
HC Genotype x Time_235,HMDB0007219,DG 36:3,0.126285993099295,0.0710317831000242,0.0855625430739611,,Interaction,-0.0129363017767525,0.265508287975342
HC Genotype x Time_(joint),HMDB0007219,DG 36:3,,,,0.215443860402729,Interaction,,
HC Genotype x Time_120,HMDB0011394,PE P-40:6,0.031509924587772,0.03006014281102,0.302904881577812,,Interaction,-0.0274079553218273,0.0904278044973712
HC Genotype x Time_235,HMDB0011394,PE P-40:6,0.0614025906401326,0.03006014281102,0.049959455768898,,Interaction,0.00248471073053333,0.120320470549732
HC Genotype x Time_(joint),HMDB0011394,PE P-40:6,,,,0.141740131241571,Interaction,,
HC Genotype x Time_120,HMDB0256163,PC 37:2,0.0156029181909145,0.0257565257278923,0.549213725267609,,Interaction,-0.0348798722357545,0.0660857086175834
HC Genotype x Time_235,HMDB0256163,PC 37:2,0.0400880261051405,0.0257565257278923,0.130095554998763,,Interaction,-0.0103947643215285,0.0905708165318094
HC Genotype x Time_(joint),HMDB0256163,PC 37:2,,,,0.306317287323793,Interaction,,
HC Genotype x Time_120,HMDB0007098,DG 32:0,0.0382488934541348,0.0818455427119994,0.643640443216384,,Interaction,-0.122168370261384,0.198666157169654
HC Genotype x Time_235,HMDB0007098,DG 32:0,0.0692610762930925,0.0818455427119994,0.404117998476565,,Interaction,-0.0911561874224263,0.229678340008611
HC Genotype x Time_(joint),HMDB0007098,DG 32:0,,,,0.701083767030484,Interaction,,
HC Genotype x Time_120,HMDB0008702,PC 42:6,0.0480873628181587,0.0457077689774354,0.301172292382867,,Interaction,-0.0414998643776146,0.137674590013932
HC Genotype x Time_235,HMDB0008702,PC 42:6,0.114448777991251,0.0457077689774354,0.0179510866454378,,Interaction,0.0248615507954781,0.204036005187025
HC Genotype x Time_(joint),HMDB0008702,PC 42:6,,,,0.0567686118475911,Interaction,,
HC Genotype x Time_120,HMDB0011261,PC P-40:5,0.0230751124325136,0.0306044751061555,0.456739754199686,,Interaction,-0.0369096587755512,0.0830598836405784
HC Genotype x Time_235,HMDB0011261,PC P-40:5,0.0582371149532327,0.0306044751061555,0.0666902370637824,,Interaction,-0.00174765625483201,0.118221886161297
HC Genotype x Time_(joint),HMDB0011261,PC P-40:5,,,,0.176844300237222,Interaction,,
HC Genotype x Time_120,HMDB0007080,DG 35:2,0.520673089858423,0.294772256818773,0.0875111419501893,,Interaction,-0.0570805335063727,1.09842671322322
HC Genotype x Time_235,HMDB0007080,DG 35:2,0.362684954276077,0.294772256818773,0.228111718888905,,Interaction,-0.215068669088718,0.940438577640873
HC Genotype x Time_(joint),HMDB0007080,DG 35:2,,,,0.210824208154658,Interaction,,
HC Genotype x Time_120,HMDB0000289,Uric acid,2.06379652196842,0.703240875303541,0.00634775726802795,,Interaction,0.685444406373482,3.44214863756336
HC Genotype x Time_235,HMDB0000289,Uric acid,2.1329112276381,0.703240875303541,0.00496005677602308,,Interaction,0.754559112043163,3.51126334323304
HC Genotype x Time_(joint),HMDB0000289,Uric acid,,,,0.0067083129700648,Interaction,,
HC Genotype x Time_120,HMDB0012102,SM 38:1;O2,0.0444187498614222,0.0323249537806909,0.179580836971447,,Interaction,-0.018938159548732,0.107775659271576
HC Genotype x Time_235,HMDB0012102,SM 38:1;O2,0.0818127501246347,0.0323249537806909,0.0168546289144699,,Interaction,0.0184558407144805,0.145169659534789
HC Genotype x Time_(joint),HMDB0012102,SM 38:1;O2,,,,0.0545083311616947,Interaction,,
HC Genotype x Time_120,HMDB0011441,PE P-36:2,0.0389098738739282,0.0272525047030065,0.163690399172912,,Interaction,-0.0145050353439645,0.092324783091821
HC Genotype x Time_235,HMDB0011441,PE P-36:2,0.0494170415037968,0.0272525047030065,0.0798015952367013,,Interaction,-0.00399786771409592,0.10283195072169
HC Genotype x Time_(joint),HMDB0011441,PE P-36:2,,,,0.178655941255511,Interaction,,
HC Genotype x Time_120,HMDB0008993,PE 36:1,0.274721627562753,0.0977716925053064,0.00864271754649209,,Interaction,0.0830891102523523,0.466354144873153
HC Genotype x Time_235,HMDB0008993,PE 36:1,0.353064448586931,0.0977716925053064,0.00109801131029698,,Interaction,0.16143193127653,0.544696965897331
HC Genotype x Time_(joint),HMDB0008993,PE 36:1,,,,0.00280733293530357,Interaction,,
HC Genotype x Time_120,HMDB0011244,PC P-36:2,0.0335681287555429,0.0301124409301634,0.273804569657755,,Interaction,-0.0254522554675774,0.0925885129786632
HC Genotype x Time_235,HMDB0011244,PC P-36:2,0.0680984671661732,0.0301124409301634,0.0311388670023919,,Interaction,0.00907808294305284,0.127118851389293
HC Genotype x Time_(joint),HMDB0011244,PC P-36:2,,,,0.0942981093622876,Interaction,,
HC Genotype x Time_120,HMDB0008038,PC 36:1,0.045499411492589,0.0297899891404657,0.137152447167573,,Interaction,-0.0128889672227237,0.103887790207902
HC Genotype x Time_235,HMDB0008038,PC 36:1,0.0985298125486932,0.0297899891404657,0.0024510553521862,,Interaction,0.0401414338333805,0.156918191264006
HC Genotype x Time_(joint),HMDB0008038,PC 36:1,,,,0.00936059146732774,Interaction,,
HC Genotype x Time_120,HMDB0013418,PC O-36:2,0.04168522800971,0.0303722693455752,0.180089923248333,,Interaction,-0.0178444199076174,0.101214875927037
HC Genotype x Time_235,HMDB0013418,PC O-36:2,0.0777034308345627,0.0303722693455752,0.0158054421860284,,Interaction,0.0181737829172353,0.13723307875189
HC Genotype x Time_(joint),HMDB0013418,PC O-36:2,,,,0.0515569692213297,Interaction,,
HC Genotype x Time_120,HMDB0008342,PC 40:4,0.0389924845609418,0.0301044789466267,0.205116993676994,,Interaction,-0.0200122941744465,0.0979972632963301
HC Genotype x Time_235,HMDB0008342,PC 40:4,0.0867366587633578,0.0301044789466267,0.00725015600793883,,Interaction,0.0277318800279696,0.145741437498746
HC Genotype x Time_(joint),HMDB0008342,PC 40:4,,,,0.0253417195201185,Interaction,,
HC Genotype x Time_120,HMDB0000152,Gentisic acid,0.00976509874035702,0.0467985807423759,0.836122191374622,,Interaction,-0.0819601195146998,0.101490316995414
HC Genotype x Time_235,HMDB0000152,Gentisic acid,0.0450560928469256,0.0467985807423759,0.34336152785249,,Interaction,-0.0466691254081313,0.136781311101982
HC Genotype x Time_(joint),HMDB0000152,Gentisic acid,,,,0.603828477535994,Interaction,,
HC Genotype x Time_120,HMDB0007170,DG 38:4_A,0.0299223088158937,0.117646511984442,0.800967583524538,,Interaction,-0.200664854673613,0.2605094723054
HC Genotype x Time_235,HMDB0007170,DG 38:4_A,0.096954116550387,0.117646511984442,0.416379082993351,,Interaction,-0.13363304693912,0.327541280039894
HC Genotype x Time_(joint),HMDB0007170,DG 38:4_A,,,,0.703278694801977,Interaction,,
HC Genotype x Time_120,HMDB0007102,DG 34:1,0.111061104436596,0.0614817986208103,0.080896524426077,,Interaction,-0.00944322086019167,0.231565429733385
HC Genotype x Time_235,HMDB0007102,DG 34:1,0.211131582216729,0.0614817986208103,0.00175851181721348,,Interaction,0.0906272569199406,0.331635907513517
HC Genotype x Time_(joint),HMDB0007102,DG 34:1,,,,0.00689687101007298,Interaction,,
HC Genotype x Time_120,HMDB0011393,PE P-40:5,0.0812285480121868,0.0430912947482922,0.0691447208129101,,Interaction,-0.00323038969446596,0.16568748571884
HC Genotype x Time_235,HMDB0011393,PE P-40:5,0.115658850817739,0.0430912947482922,0.0117258189010722,,Interaction,0.0311999131110863,0.200117788524392
HC Genotype x Time_(joint),HMDB0011393,PE P-40:5,,,,0.0338439169632775,Interaction,,
HC Genotype x Time_120,HMDB0008270,PC 38:2,0.0214253923818068,0.0310255090139433,0.495142356004662,,Interaction,-0.0393846052855221,0.0822353900491357
HC Genotype x Time_235,HMDB0008270,PC 38:2,0.0635385693369023,0.0310255090139433,0.0494062426361328,,Interaction,0.00272857166957333,0.124348567004231
HC Genotype x Time_(joint),HMDB0008270,PC 38:2,,,,0.131637618924708,Interaction,,
HC Genotype x Time_120,HMDB0000991,2-Aminooctanoic acid,0.00534723074032272,0.0734937492319968,0.942481923234314,,Interaction,-0.138700517754391,0.149394979235036
HC Genotype x Time_235,HMDB0000991,2-Aminooctanoic acid,-0.132484300159466,0.0734937492319968,0.0814965238117294,,Interaction,-0.276532048654179,0.0115634483352482
HC Genotype x Time_(joint),HMDB0000991,2-Aminooctanoic acid,,,,0.122110856506558,Interaction,,
HC Genotype x Time_120,HMDB0004951,Cer 38:1;O2,0.0151143203306117,0.0390329842392064,0.701327431314846,,Interaction,-0.0613903287782329,0.0916189694394563
HC Genotype x Time_235,HMDB0004951,Cer 38:1;O2,0.0358955086785529,0.0390329842392064,0.365107119112519,,Interaction,-0.0406091404302917,0.112400157787397
HC Genotype x Time_(joint),HMDB0004951,Cer 38:1;O2,,,,0.656773397017615,Interaction,,
HC Genotype x Time_120,HMDB0013444,PC P-40:4,0.0213971223747508,0.0306815652061948,0.490926388718602,,Interaction,-0.038738745429391,0.0815329901788925
HC Genotype x Time_235,HMDB0013444,PC P-40:4,0.0659191916557614,0.0306815652061948,0.0398682074218614,,Interaction,0.00578332385161961,0.126055059459903
HC Genotype x Time_(joint),HMDB0013444,PC P-40:4,,,,0.1076765915814,Interaction,,
HC Genotype x Time_120,HMDB0008318,PC 42:5,0.0396318242027307,0.0414489637844277,0.346633769457188,,Interaction,-0.0416081448147476,0.120871793220209
HC Genotype x Time_235,HMDB0008318,PC 42:5,0.101046201654562,0.0414489637844277,0.0209140186530233,,Interaction,0.0198062326370842,0.182286170672041
HC Genotype x Time_(joint),HMDB0008318,PC 42:5,,,,0.0639621544977174,Interaction,,
HC Genotype x Time_120,HMDB0011594,Hex2Cer 40:1;O2,0.00801230058973788,0.156157163610984,0.959419250433077,,Interaction,-0.298055740087791,0.314080341267267
HC Genotype x Time_235,HMDB0011594,Hex2Cer 40:1;O2,-0.178630028216677,0.156157163610984,0.261705949734298,,Interaction,-0.484698068894207,0.127438012460852
HC Genotype x Time_(joint),HMDB0011594,Hex2Cer 40:1;O2,,,,0.412087703291941,Interaction,,
HC Genotype x Time_120,HMDB0013405,PC O-34:0,0.0582732814747883,0.0376243171140545,0.131911073858265,,Interaction,-0.0154703800687585,0.132016943018335
HC Genotype x Time_235,HMDB0013405,PC O-34:0,0.0975852695647396,0.0376243171140545,0.0145432847740645,,Interaction,0.0238416080211928,0.171328931108286
HC Genotype x Time_(joint),HMDB0013405,PC O-34:0,,,,0.0464526839256293,Interaction,,
HC Genotype x Time_120,HMDB0004872,Hex2Cer 42:2;O2,0.0184780785783719,0.038591998238236,0.635548201234982,,Interaction,-0.0571622379685706,0.0941183951253145
HC Genotype x Time_235,HMDB0004872,Hex2Cer 42:2;O2,0.0695832204281305,0.038591998238236,0.0814344886815125,,Interaction,-0.0060570961188121,0.145223536975073
HC Genotype x Time_(joint),HMDB0004872,Hex2Cer 42:2;O2,,,,0.191973310862918,Interaction,,
HC Genotype x Time_120,HMDB0007218,DG 36:2,0.0449574300444264,0.053481709657034,0.40721497252902,,Interaction,-0.0598667208833602,0.149781580972213
HC Genotype x Time_235,HMDB0007218,DG 36:2,0.122608730353177,0.053481709657034,0.0290616253327101,,Interaction,0.0177845794253902,0.227432881280963
HC Genotype x Time_(joint),HMDB0007218,DG 36:2,,,,0.0842170061960734,Interaction,,
HC Genotype x Time_120,HMDB0011775,Cer 40:2;O2,-0.00311010714052321,0.0407618692291012,0.939687456854109,,Interaction,-0.0830033708295616,0.0767831565485152
HC Genotype x Time_235,HMDB0011775,Cer 40:2;O2,0.0552976343188653,0.0407618692291012,0.185029403901543,,Interaction,-0.0245956293701731,0.135190898007904
HC Genotype x Time_(joint),HMDB0011775,Cer 40:2;O2,,,,0.287498195131532,Interaction,,
HC Genotype x Time_120,HMDB0007952,PC 37:1,0.0216449949070153,0.0337809852984363,0.526553023644901,,Interaction,-0.0445657362779198,0.0878557260919504
HC Genotype x Time_235,HMDB0007952,PC 37:1,0.088871868849763,0.0337809852984363,0.013316519295555,,Interaction,0.0226611376648279,0.155082600034698
HC Genotype x Time_(joint),HMDB0007952,PC 37:1,,,,0.0347906559643238,Interaction,,
HC Genotype x Time_120,HMDB0004974,HexCer 40:1;O2,0.0272110660915663,0.0290320971255822,0.356101762757783,,Interaction,-0.0296918442745747,0.0841139764577073
HC Genotype x Time_235,HMDB0004974,HexCer 40:1;O2,0.0577955428129377,0.0290320971255821,0.0556861383250998,,Interaction,0.000892632446796687,0.114698453179079
HC Genotype x Time_(joint),HMDB0004974,HexCer 40:1;O2,,,,0.155185558875669,Interaction,,
HC Genotype x Time_120,HMDB0007387,DG 35:1,0.108451218593685,0.104388144043712,0.307142064310433,,Interaction,-0.0961495437319901,0.31305198091936
HC Genotype x Time_235,HMDB0007387,DG 35:1,0.321236075515928,0.104388144043712,0.00443296444356007,,Interaction,0.116635313190253,0.525836837841603
HC Genotype x Time_(joint),HMDB0007387,DG 35:1,,,,0.0143912114422363,Interaction,,
HC Genotype x Time_120,HMDB0240680,Cer 42:3;O2,0.0453209518339673,0.0552976276052447,0.418918286349903,,Interaction,-0.0630623982723123,0.153704301940247
HC Genotype x Time_235,HMDB0240680,Cer 42:3;O2,0.090527514414207,0.0552976276052447,0.112059358994534,,Interaction,-0.0178558356920727,0.198910864520487
HC Genotype x Time_(joint),HMDB0240680,Cer 42:3;O2,,,,0.277058408641598,Interaction,,
HC Genotype x Time_120,HMDB0011243,PC P-36:1,0.0371947385864324,0.0261707238723211,0.165560869196969,,Interaction,-0.0140998802033169,0.0884893573761816
HC Genotype x Time_235,HMDB0011243,PC P-36:1,0.0654985991492856,0.0261707238723211,0.0180004632247895,,Interaction,0.0142039803595364,0.116793217939035
HC Genotype x Time_(joint),HMDB0011243,PC P-36:1,,,,0.057256611971699,Interaction,,
HC Genotype x Time_120,HMDB0009610,PE P-40:4,0.234326678390148,0.11610636495335,0.0525888933285364,,Interaction,0.00675820308158209,0.461895153698713
HC Genotype x Time_235,HMDB0009610,PE P-40:4,0.332222197462449,0.11610636495335,0.0076142601829064,,Interaction,0.104653722153884,0.559790672771015
HC Genotype x Time_(joint),HMDB0009610,PE P-40:4,,,,0.0223859173509614,Interaction,,
HC Genotype x Time_120,HMDB0007169,DG 38:3,0.027856959616358,0.0724268218397161,0.70323054117936,,Interaction,-0.114099611189485,0.169813530422201
HC Genotype x Time_235,HMDB0007169,DG 38:3,0.0564448356806664,0.072426821839716,0.441886655790924,,Interaction,-0.085511735125177,0.19840140648651
HC Genotype x Time_(joint),HMDB0007169,DG 38:3,,,,0.740325166846786,Interaction,,
HC Genotype x Time_120,HMDB0240614,SM 41:2;O2,0.0270663323782782,0.0308546783095423,0.387338364698733,,Interaction,-0.0334088371084247,0.0875415018649811
HC Genotype x Time_235,HMDB0240614,SM 41:2;O2,0.0746799608479582,0.0308546783095423,0.0217689232634556,,Interaction,0.0142047913612553,0.135155130334661
HC Genotype x Time_(joint),HMDB0240614,SM 41:2;O2,,,,0.0647420666339878,Interaction,,
HC Genotype x Time_120,HMDB0013442,PC O-40:4,0.0310926340518516,0.0334787179095815,0.360442714850053,,Interaction,-0.034525653050928,0.0967109211546313
HC Genotype x Time_235,HMDB0013442,PC O-40:4,0.0646093771799438,0.0334787179095815,0.0631271790765414,,Interaction,-0.00100890992283588,0.130227664282723
HC Genotype x Time_(joint),HMDB0013442,PC O-40:4,,,,0.172711987235673,Interaction,,
HC Genotype x Time_120,HMDB0249814,Cer 39:1;O2,0.0162388789809958,0.063702700282646,0.800526933887705,,Interaction,-0.10861841357299,0.141096171534982
HC Genotype x Time_235,HMDB0249814,Cer 39:1;O2,0.128065345684944,0.063702700282646,0.053458163615975,,Interaction,0.00320805313095784,0.25292263823893
HC Genotype x Time_(joint),HMDB0249814,Cer 39:1;O2,,,,0.108296455294795,Interaction,,
HC Genotype x Time_120,HMDB0007100,DG 34:0,0.0492459376034877,0.0988389861407514,0.621945262788442,,Interaction,-0.144478475232385,0.24297035043936
HC Genotype x Time_235,HMDB0007100,DG 34:0,0.111806315106475,0.0988389861407514,0.266934448818491,,Interaction,-0.081918097729398,0.305530727942347
HC Genotype x Time_(joint),HMDB0007100,DG 34:0,,,,0.532893212054003,Interaction,,
HC Genotype x Time_120,HMDB0029723,Saccharin,0.740132559872182,0.322429813266885,0.0288709958460994,,Interaction,0.108170125869087,1.37209499387528
HC Genotype x Time_235,HMDB0029723,Saccharin,0.529441075373605,0.322429813266885,0.11102585480671,,Interaction,-0.102521358629489,1.1614035093767
HC Genotype x Time_(joint),HMDB0029723,Saccharin,,,,0.0769096875292236,Interaction,,
HC Genotype x Time_120,HMDB0000020,p-Hydroxyphenylacetic acid,-0.00734238877019591,0.0774393344217982,0.925092473701514,,Interaction,-0.15912348423692,0.144438706696529
HC Genotype x Time_235,HMDB0000020,p-Hydroxyphenylacetic acid,0.0773214571279012,0.0774393344217982,0.326033708424235,,Interaction,-0.0744596383388233,0.229102552594626
HC Genotype x Time_(joint),HMDB0000020,p-Hydroxyphenylacetic acid,,,,0.48852533882222,Interaction,,
HC Genotype x Time_120,HMDB0012103,SM 40:1;O2,0.0519328152890084,0.0340339161050098,0.137506135687252,,Interaction,-0.0147736602768107,0.118639290854828
HC Genotype x Time_235,HMDB0012103,SM 40:1;O2,0.0892551877694199,0.0340339161050098,0.0135816045057637,,Interaction,0.0225487122036007,0.155961663335239
HC Genotype x Time_(joint),HMDB0012103,SM 40:1;O2,,,,0.0441081906995429,Interaction,,
HC Genotype x Time_120,HMDB0008269,PC 38:1,0.0565815765062847,0.0366163256020701,0.132769301973086,,Interaction,-0.0151864216737727,0.128349574686342
HC Genotype x Time_235,HMDB0008269,PC 38:1,0.118178117494215,0.0366163256020701,0.00301692027181881,,Interaction,0.0464101193141581,0.189946115674273
HC Genotype x Time_(joint),HMDB0008269,PC 38:1,,,,0.0114135239530348,Interaction,,
HC Genotype x Time_120,HMDB0006344,alpha-N-Phenylacetylglutamine,0.129804804035904,0.106497980030699,0.232399839397615,,Interaction,-0.0789312368242656,0.338540844896073
HC Genotype x Time_235,HMDB0006344,alpha-N-Phenylacetylglutamine,0.18540524536353,0.106497980030699,0.0919448420309168,,Interaction,-0.0233307954966389,0.3941412862237
HC Genotype x Time_(joint),HMDB0006344,alpha-N-Phenylacetylglutamine,,,,0.219375767763081,Interaction,,
HC Genotype x Time_120,HMDB0011250,PC P-38:2,-0.244870932635837,0.197974289258281,0.225726088030346,,Interaction,-0.632900539582067,0.143158674310393
HC Genotype x Time_235,HMDB0011250,PC P-38:2,-0.0747934095989084,0.197974289258281,0.708243837912501,,Interaction,-0.462823016545139,0.313236197347322
HC Genotype x Time_(joint),HMDB0011250,PC P-38:2,,,,0.457141265382142,Interaction,,
HC Genotype x Time_120,HMDB0011382,PE P-38:2,0.0420103214561406,0.0714316513315725,0.560854047957973,,Interaction,-0.0979957151537416,0.182016358066023
HC Genotype x Time_235,HMDB0011382,PE P-38:2,0.0891749617992272,0.0714316513315725,0.22154148621631,,Interaction,-0.0508310748106549,0.229180998409109
HC Genotype x Time_(joint),HMDB0011382,PE P-38:2,,,,0.467430449959628,Interaction,,
HC Genotype x Time_120,HMDB0012107,SM 42:2;O2,0.0403787014986506,0.0340263139898589,0.244662485191964,,Interaction,-0.0263128739214729,0.107070276918774
HC Genotype x Time_235,HMDB0012107,SM 42:2;O2,0.0981454387077419,0.0340263139898589,0.00719276692240306,,Interaction,0.0314538632876184,0.164837014127865
HC Genotype x Time_(joint),HMDB0012107,SM 42:2;O2,,,,0.0245865220098544,Interaction,,
HC Genotype x Time_120,HMDB0013431,PC O-38:2,0.0399646867940601,0.0467831042641618,0.399734203719516,,Interaction,-0.051730197563697,0.131659571151817
HC Genotype x Time_235,HMDB0013431,PC O-38:2,0.0741819201361268,0.0467831042641618,0.123303231884396,,Interaction,-0.0175129642216303,0.165876804493884
HC Genotype x Time_(joint),HMDB0013431,PC O-38:2,,,,0.298327754403735,Interaction,,
HC Genotype x Time_120,HMDB0061652,3-Hydroxyhexanoic acid,0.121760082840186,0.120259066843141,0.319404643582853,,Interaction,-0.11394768817237,0.357467853852743
HC Genotype x Time_235,HMDB0061652,3-Hydroxyhexanoic acid,0.124065561818157,0.120259066843141,0.310480705899548,,Interaction,-0.111642209194399,0.359773332830714
HC Genotype x Time_(joint),HMDB0061652,3-Hydroxyhexanoic acid,,,,0.506157837622682,Interaction,,
HC Genotype x Time_120,HMDB0008621,PC P-40:3,0.0161952687289101,0.035937566363488,0.655482005833254,,Interaction,-0.0542423613435265,0.0866328988013467
HC Genotype x Time_235,HMDB0008621,PC P-40:3,0.0950513351901011,0.0359375663634881,0.0128773073900369,,Interaction,0.0246137051176645,0.165488965262538
HC Genotype x Time_(joint),HMDB0008621,PC P-40:3,,,,0.0287436145080505,Interaction,,
HC Genotype x Time_120,HMDB0004952,Cer 40:1;O2,0.0259735267431775,0.0299804788370085,0.393175649747507,,Interaction,-0.0327882117773591,0.0847352652637141
HC Genotype x Time_235,HMDB0004952,Cer 40:1;O2,0.0825095924975093,0.0299804788370085,0.00994880108369096,,Interaction,0.0237478539769727,0.141271331018046
HC Genotype x Time_(joint),HMDB0004952,Cer 40:1;O2,,,,0.0297649722382381,Interaction,,
HC Genotype x Time_120,HMDB0007216,DG 36:1,0.102013920475389,0.0701948535378226,0.156522925297329,,Interaction,-0.0355679924587428,0.239595833409522
HC Genotype x Time_235,HMDB0007216,DG 36:1,0.239533725615933,0.0701948535378225,0.0018617613209713,,Interaction,0.101951812681801,0.377115638550065
HC Genotype x Time_(joint),HMDB0007216,DG 36:1,,,,0.00708139093644629,Interaction,,
HC Genotype x Time_120,HMDB0013451,PC P-42:4,0.0179439840471599,0.0326144516368022,0.586265966339153,,Interaction,-0.0459803411609724,0.0818683092552922
HC Genotype x Time_235,HMDB0013451,PC P-42:4,0.0703298215644733,0.0326144516368022,0.0391928556896617,,Interaction,0.00640549635634098,0.134254146772606
HC Genotype x Time_(joint),HMDB0013451,PC P-42:4,,,,0.0981165945961558,Interaction,,
HC Genotype x Time_120,HMDB0004953,Cer 42:2;O2_A,0.0395263282659947,0.0380581308196992,0.307299926738135,,Interaction,-0.0350676081406157,0.114120264672605
HC Genotype x Time_235,HMDB0004953,Cer 42:2;O2_A,0.101872699466247,0.0380581308196992,0.0119323577146894,,Interaction,0.0272787630596362,0.176466635872857
HC Genotype x Time_(joint),HMDB0004953,Cer 42:2;O2_A,,,,0.0383548950512636,Interaction,,
HC Genotype x Time_120,HMDB0011699,SM 43:2;O2,0.0194285714922132,0.0346024553049462,0.578641351816118,,Interaction,-0.0483922409054814,0.0872493838899078
HC Genotype x Time_235,HMDB0011699,SM 43:2;O2,0.0491123254254461,0.0346024553049462,0.166110304467458,,Interaction,-0.0187084869722485,0.116933137823141
HC Genotype x Time_(joint),HMDB0011699,SM 43:2;O2,,,,0.372102910908154,Interaction,,
HC Genotype x Time_120,HMDB0008053,PC 40:2,0.0155925871033756,0.0380013835929863,0.684489661527352,,Interaction,-0.0588901247388775,0.0900752989456287
