genotype,meal_type,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
All,HC meal,Time_(joint),HMDB0013448,PC O-42:4,,,,0.166261124060054,Main,,
All,HC meal,Time_360,HMDB0013450,PC P-44:5,0.037487000277363,0.0146099084702555,0.033341528167332,,Main,0.00885157967566219,0.0661224208790638
All,HC meal,Time_(joint),HMDB0013450,PC P-44:5,,,,0.033341528167332,Main,,
All,HC meal,Time_360,HMDB0000950,Cer 41:1;O2,0.101363597670791,0.0272067892700408,0.00582378616103317,,Main,0.0480382907015112,0.154688904640071
All,HC meal,Time_(joint),HMDB0000950,Cer 41:1;O2,,,,0.00582378616103317,Main,,
All,HC meal,Time_360,HMDB0007820,DG 38:1,0.2268862288107,0.07316420529584,0.0146423597265938,,Main,0.0834843864308539,0.370288071190547
All,HC meal,Time_(joint),HMDB0007820,DG 38:1,,,,0.0146423597265938,Main,,
All,HC meal,Time_360,HMDB0242140,3-(N-Acetyl-L-cystein-S-yl) acetaminophen,-0.0728216832466476,0.0860598601074264,0.409932669453321,,Main,-0.241499009057203,0.0958556425639081
All,HC meal,Time_(joint),HMDB0242140,3-(N-Acetyl-L-cystein-S-yl) acetaminophen,,,,0.409932669453321,Main,,
All,HC meal,Time_360,HMDB0056036,DG 36:0,0.0660495231272794,0.0978959037452554,0.518890376302371,,Main,-0.125826448213421,0.25792549446798
All,HC meal,Time_(joint),HMDB0056036,DG 36:0,,,,0.518890376302371,Main,,
All,HC meal,Time_360,HMDB0011697,SM 42:1;O2,0.0208981622467695,0.0137807503137144,0.167871284366401,,Main,-0.00611210836811081,0.0479084328616497
All,HC meal,Time_(joint),HMDB0011697,SM 42:1;O2,,,,0.167871284366401,Main,,
All,HC meal,Time_360,HMDB0013461,SM 44:2;O2,0.0101906687127066,0.0113986926690412,0.39740854383502,,Main,-0.0121507689186141,0.0325321063440273
All,HC meal,Time_(joint),HMDB0013461,SM 44:2;O2,,,,0.39740854383502,Main,,
All,HC meal,Time_360,HMDB0011767,Cer 41:0;O2,0.146516576495442,0.0393335568970078,0.00582960868357845,,Main,0.0694228049773068,0.223610348013577
All,HC meal,Time_(joint),HMDB0011767,Cer 41:0;O2,,,,0.00582960868357844,Main,,
All,HC meal,Time_360,HMDB0007993,PC 40:1,0.0490714090284175,0.0190195575167869,0.0326137833199505,,Main,0.0117930762955153,0.0863497417613197
All,HC meal,Time_(joint),HMDB0007993,PC 40:1,,,,0.0326137833199505,Main,,
All,HC meal,Time_360,HMDB0004956,Cer 42:1;O2,0.0469937815779184,0.0249404431563086,0.0962755098604779,,Main,-0.00188948700844648,0.0958770501642832
All,HC meal,Time_(joint),HMDB0004956,Cer 42:1;O2,,,,0.0962755098604779,Main,,
All,HC meal,Time_360,HMDB0013456,PC P-44:4,0.023633434254849,0.0164261711528755,0.188166484348641,,Main,-0.00856186120478703,0.0558287297144851
All,HC meal,Time_(joint),HMDB0013456,PC P-44:4,,,,0.188166484348641,Main,,
All,HC meal,Time_360,HMDB0240674,SM 43:1;O2,0.0255943835209078,0.0174580335979459,0.180805047246031,,Main,-0.00862336233106619,0.0598121293728817
All,HC meal,Time_(joint),HMDB0240674,SM 43:1;O2,,,,0.180805047246031,Main,,
All,HC meal,Time_360,HMDB0008125,PC 42:2,0.0222546327289466,0.0221135602830052,0.343698740249134,,Main,-0.0210879454257436,0.0655972108836368
All,HC meal,Time_(joint),HMDB0008125,PC 42:2,,,,0.343698740249134,Main,,
All,HC meal,Time_360,HMDB0008421,PC 44:4,0.0461948194219828,0.0240480495166841,0.0909837791567773,,Main,-0.000939357630718014,0.0933289964746835
All,HC meal,Time_(joint),HMDB0008421,PC 44:4,,,,0.0909837791567773,Main,,
All,HC meal,Time_360,HMDB0013408,PC O-38:0,0.0559309073809939,0.0372940113790538,0.172072034577186,,Main,-0.0171653549219516,0.129027169683939
All,HC meal,Time_(joint),HMDB0013408,PC O-38:0,,,,0.172072034577186,Main,,
All,HC meal,Time_360,HMDB0011768,Cer 42:0;O2,0.0550031932395964,0.0356102275500658,0.161025204954595,,Main,-0.0147928527585326,0.124799239237725
All,HC meal,Time_(joint),HMDB0011768,Cer 42:0;O2,,,,0.161025204954595,Main,,
All,HC meal,Time_360,HMDB0047885,TG 42:3,0.966456229637822,0.280296806136408,0.00330768627637043,,Main,0.417074489610463,1.51583796966518
All,HC meal,Time_(joint),HMDB0047885,TG 42:3,,,,0.00330768627637043,Main,,
All,HC meal,Time_360,HMDB0004957,Cer 43:1;O2,0.0537604477614511,0.025775278563195,0.0704837515974097,,Main,0.00324090177758887,0.104279993745313
All,HC meal,Time_(joint),HMDB0004957,Cer 43:1;O2,,,,0.0704837515974097,Main,,
All,HC meal,Time_360,HMDB0011686,P-Cresol glucuronide,0.0837012271198224,0.0617117537986524,0.212031584650626,,Main,-0.0372538103255364,0.204656264565181
All,HC meal,Time_(joint),HMDB0011686,P-Cresol glucuronide,,,,0.212031584650626,Main,,
All,HC meal,Time_360,HMDB0007992,PC 40:0,0.115503408318015,0.090841657063201,0.2392758837611,,Main,-0.0625462395258589,0.293553056161889
All,HC meal,Time_(joint),HMDB0007992,PC 40:0,,,,0.2392758837611,Main,,
All,HC meal,Time_360,HMDB0013433,PC O-40:1,-0.0224117202747417,0.0344599204517633,0.533680878336087,,Main,-0.0899531643601979,0.0451297238107144
All,HC meal,Time_(joint),HMDB0013433,PC O-40:1,,,,0.533680878336087,Main,,
All,HC meal,Time_360,HMDB0003282,1-Methylguanine,0.00148445615705365,0.0290119969120861,0.959825816185722,,Main,-0.0553790577906352,0.0583479701047425
All,HC meal,Time_(joint),HMDB0003282,1-Methylguanine,,,,0.959825816185722,Main,,
All,HC meal,Time_360,HMDB0013438,PC P-42:1,0.0560572194821355,0.0255833996807793,0.0598130858211092,,Main,0.00591375610780803,0.106200682856463
All,HC meal,Time_(joint),HMDB0013438,PC P-42:1,,,,0.0598130858211092,Main,,
All,HC meal,Time_360,HMDB0011698,SM 44:1;O2,0.0124873689238081,0.0218905442110768,0.584037340000836,,Main,-0.0304180977299024,0.0553928355775186
All,HC meal,Time_(joint),HMDB0011698,SM 44:1;O2,,,,0.584037340000836,Main,,
All,HC meal,Time_360,HMDB0042278,TG 42:2,0.971528483293538,0.225129298782069,0.000533246010861409,,Main,0.530275057680683,1.41278190890639
All,HC meal,Time_(joint),HMDB0042278,TG 42:2,,,,0.000533246010861409,Main,,
All,HC meal,Time_360,HMDB0008059,PC 42:1,-0.00474866808734004,0.0281839850275812,0.870381145163718,,Main,-0.0599892787413992,0.0504919425667192
All,HC meal,Time_(joint),HMDB0008059,PC 42:1,,,,0.870381145163718,Main,,
All,HC meal,Time_360,HMDB0011264,PC P-42:1,0.0335288250206152,0.0386589592248242,0.41103737662058,,Main,-0.0422427350600401,0.109300385101271
All,HC meal,Time_(joint),HMDB0011264,PC P-42:1,,,,0.41103737662058,Main,,
All,HC meal,Time_360,HMDB0000703,Mandelic acid,0.247975824034552,0.0648418765751247,0.00505859716053223,,Main,0.120885745947308,0.375065902121797
All,HC meal,Time_(joint),HMDB0000703,Mandelic acid,,,,0.00505859716053223,Main,,
All,HC meal,Time_360,HMDB0004955,Cer 44:1;O2,0.0568786402651413,0.0301590508501497,0.0960216661907865,,Main,-0.00223309940115201,0.115990379931435
All,HC meal,Time_(joint),HMDB0004955,Cer 44:1;O2,,,,0.0960216661907865,Main,,
All,HC meal,Time_360,HMDB0047908,TG 44:3,0.747288217160739,0.215750645869827,0.0031998938867799,,Main,0.324416951255877,1.1701594830656
All,HC meal,Time_(joint),HMDB0047908,TG 44:3,,,,0.0031998938867799,Main,,
All,HC meal,Time_360,HMDB0013421,PC O-40:0,0.0617572389434683,0.0451210415119242,0.208289183333727,,Main,-0.0266800024199031,0.15019448030684
All,HC meal,Time_(joint),HMDB0013421,PC O-40:0,,,,0.208289183333727,Main,,
All,HC meal,Time_360,HMDB0099325,TG 40:0,1.50074160310669,0.258013538970286,2.62588476515224e-05,,Main,0.995035066724926,2.00644813948845
All,HC meal,Time_(joint),HMDB0099325,TG 40:0,,,,2.62588476515224e-05,Main,,
All,HC meal,Time_360,HMDB0043169,TG 43:2,1.3924093454128,0.30603544337332,0.00187479404778392,,Main,0.792579876401094,1.99223881442451
All,HC meal,Time_(joint),HMDB0043169,TG 43:2,,,,0.00187479404778392,Main,,
All,HC meal,Time_360,HMDB0042548,TG 46:4,0.537738335953135,0.199294043816992,0.0271503745472489,,Main,0.14712201007183,0.92835466183444
All,HC meal,Time_(joint),HMDB0042548,TG 46:4,,,,0.0271503745472489,Main,,
All,HC meal,Time_360,HMDB0042068,TG 42:1,1.36560959441963,0.227882661773471,0.000326071911460475,,Main,0.91895957734363,1.81225961149564
All,HC meal,Time_(joint),HMDB0042068,TG 42:1,,,,0.000326071911460475,Main,,
All,HC meal,Time_360,HMDB0013434,PC O-42:1,0.131943158639258,0.0410977975285002,0.0124155737822389,,Main,0.0513914754833978,0.212494841795119
All,HC meal,Time_(joint),HMDB0013434,PC O-42:1,,,,0.0124155737822389,Main,,
All,HC meal,Time_360,HMDB0042789,TG 48:5,0.0755726148620665,0.137223787399003,0.596861105285479,,Main,-0.19338600843998,0.344531238164113
All,HC meal,Time_(joint),HMDB0042789,TG 48:5,,,,0.596861105285479,Main,,
All,HC meal,Time_360,HMDB0004824,"N2,N2-Dimethylguanosine",0.0416977474563542,0.0281011473813394,0.176143062498094,,Main,-0.013380501411071,0.0967759963237794
All,HC meal,Time_(joint),HMDB0004824,"N2,N2-Dimethylguanosine",,,,0.176143062498094,Main,,
All,HC meal,Time_360,HMDB0072022,TG 41:0,2.33338013146488,0.493472200187479,0.00148580747409595,,Main,1.36617461909742,3.30058564383234
All,HC meal,Time_(joint),HMDB0072022,TG 41:0,,,,0.00148580747409595,Main,,
All,HC meal,Time_360,HMDB0000840,Salicyluric acid,0.0430404444409097,0.0874923999747688,0.63597985006474,,Main,-0.128444659509637,0.214525548391457
All,HC meal,Time_(joint),HMDB0000840,Salicyluric acid,,,,0.63597985006474,Main,,
All,HC meal,Time_360,HMDB0047745,TG 50:7,0.200760216737757,0.100441373613498,0.0806685446809063,,Main,0.00389512445530044,0.397625309020213
All,HC meal,Time_(joint),HMDB0047745,TG 50:7,,,,0.0806685446809063,Main,,
All,HC meal,Time_360,HMDB0042279,TG 44:2,0.861495035294885,0.20318073617615,0.00062403145994151,,Main,0.463260792389631,1.25972927820014
All,HC meal,Time_(joint),HMDB0042279,TG 44:2,,,,0.000624031459941511,Main,,
All,HC meal,Time_360,HMDB0043186,TG 47:5,0.292060114963742,0.135631742598024,0.0634451466491801,,Main,0.0262218994716154,0.557898330455868
All,HC meal,Time_(joint),HMDB0043186,TG 47:5,,,,0.0634451466491801,Main,,
All,HC meal,Time_360,HMDB0048587,TG 52:8,0.019809426594425,0.101951523524534,0.850782422838763,,Main,-0.180015559513661,0.219634412702511
All,HC meal,Time_(joint),HMDB0048587,TG 52:8,,,,0.850782422838763,Main,,
All,HC meal,Time_360,HMDB0042098,TG 43:1,1.65703510908304,0.257449555237819,0.000201202783280313,,Main,1.15243398081691,2.16163623734916
All,HC meal,Time_(joint),HMDB0042098,TG 43:1,,,,0.000201202783280313,Main,,
All,HC meal,Time_360,HMDB0042751,TG 46:3,0.486838252794374,0.150436282737912,0.0119460720977742,,Main,0.191983138628067,0.781693366960681
All,HC meal,Time_(joint),HMDB0042751,TG 46:3,,,,0.0119460720977742,Main,,
All,HC meal,Time_360,HMDB0008910,PE 37:4,0.0178433950511432,0.0527158872197284,0.743712018869365,,Main,-0.0854797438995246,0.121166534001811
All,HC meal,Time_(joint),HMDB0008910,PE 37:4,,,,0.743712018869365,Main,,
All,HC meal,Time_360,HMDB0072780,TG 42:0,1.46431824315414,0.264039138267801,0.000543621818578878,,Main,0.946801532149252,1.98183495415903
All,HC meal,Time_(joint),HMDB0072780,TG 42:0,,,,0.000543621818578878,Main,,
All,HC meal,Time_360,HMDB0043170,TG 45:2,0.829559969760472,0.190695862136382,0.00244471072323073,,Main,0.455796079973164,1.20332385954778
All,HC meal,Time_(joint),HMDB0043170,TG 45:2,,,,0.00244471072323073,Main,,
All,HC meal,Time_360,HMDB0000019,Ketoisovaleric acid,-0.0601911065614616,0.0357719567991829,0.13094666402779,,Main,-0.13030414188786,0.00992192876493694
All,HC meal,Time_(joint),HMDB0000019,Ketoisovaleric acid,,,,0.13094666402779,Main,,
All,HC meal,Time_360,HMDB0010497,TG 50:6,0.134829226516742,0.0700604555603612,0.0904895143524916,,Main,-0.00248926638156619,0.27214771941505
All,HC meal,Time_(joint),HMDB0010497,TG 50:6,,,,0.0904895143524916,Main,,
All,HC meal,Time_360,HMDB0010498,TG 54:9,0.086923033281421,0.084300504568271,0.332651822103836,,Main,-0.0783059556723901,0.252152022235232
All,HC meal,Time_(joint),HMDB0010498,TG 54:9,,,,0.332651822103836,Main,,
All,HC meal,Time_360,HMDB0042811,TG 48:4,0.0441191841100274,0.108940431101239,0.696102069155258,,Main,-0.169404060848401,0.257642429068455
All,HC meal,Time_(joint),HMDB0042811,TG 48:4,,,,0.696102069155258,Main,,
All,HC meal,Time_360,HMDB0010514,TG 58:12,-0.0821394189226036,0.0586094431416932,0.198655468832659,,Main,-0.197013927480322,0.032735089635115
All,HC meal,Time_(joint),HMDB0010514,TG 58:12,,,,0.198655468832659,Main,,
All,HC meal,Time_360,HMDB0000157,Hypoxanthine,0.0355250456751908,0.0520806411158582,0.51442591345434,,Main,-0.0665530109118913,0.137603102262273
All,HC meal,Time_(joint),HMDB0000157,Hypoxanthine,,,,0.51442591345434,Main,,
All,HC meal,Time_360,HMDB0042301,TG 44:1,1.14139614247841,0.17796981596944,0.000206164676157112,,Main,0.792575303178305,1.49021698177851
All,HC meal,Time_(joint),HMDB0042301,TG 44:1,,,,0.000206164676157112,Main,,
All,HC meal,Time_360,HMDB0042752,TG 47:3,0.505368310740071,0.123827083329126,0.00352807287384216,,Main,0.262667227414984,0.748069394065157
All,HC meal,Time_(joint),HMDB0042752,TG 47:3,,,,0.00352807287384216,Main,,
All,HC meal,Time_360,HMDB0010513,TG 56:10,0.0309676276961252,0.0446124643830681,0.507242500349732,,Main,-0.0564728024946882,0.118408057886939
All,HC meal,Time_(joint),HMDB0010513,TG 56:10,,,,0.507242500349732,Main,,
All,HC meal,Time_360,HMDB0010471,TG 50:5,0.121053663586903,0.0479174633213974,0.0354594120734305,,Main,0.0271354354769642,0.214971891696842
All,HC meal,Time_(joint),HMDB0010471,TG 50:5,,,,0.0354594120734305,Main,,
All,HC meal,Time_360,HMDB0042902,TG 51:6,0.20643303745245,0.0597234361350053,0.00861223324119847,,Main,0.0893751026278393,0.32349097227706
All,HC meal,Time_(joint),HMDB0042902,TG 51:6,,,,0.00861223324119847,Main,,
All,HC meal,Time_360,HMDB0000779,Phenyllactic acid,0.331770015473922,0.0618647562170099,0.00067538016308475,,Main,0.210515093288582,0.453024937659261
All,HC meal,Time_(joint),HMDB0000779,Phenyllactic acid,,,,0.00067538016308475,Main,,
All,HC meal,Time_360,HMDB0010517,TG 52:7,0.104911190203899,0.0391148026151338,0.0278337497850638,,Main,0.0282461770782371,0.181576203329562
All,HC meal,Time_(joint),HMDB0010517,TG 52:7,,,,0.0278337497850638,Main,,
All,HC meal,Time_360,HMDB0042062,TG 43:0,1.69852200976116,0.296461702620269,0.000439304357346929,,Main,1.11745707262544,2.27958694689689
All,HC meal,Time_(joint),HMDB0042062,TG 43:0,,,,0.000439304357346929,Main,,
All,HC meal,Time_360,HMDB0010419,TG 46:2,0.393857649423353,0.11181462207885,0.00282650048538222,,Main,0.174700990148807,0.613014308697899
All,HC meal,Time_(joint),HMDB0010419,TG 46:2,,,,0.00282650048538222,Main,,
All,HC meal,Time_360,HMDB0042632,TG 49:4,0.193259390048711,0.0561389539604823,0.00879112586774658,,Main,0.0832270402861655,0.303291739811256
All,HC meal,Time_(joint),HMDB0042632,TG 49:4,,,,0.00879112586774659,Main,,
All,HC meal,Time_360,HMDB0005436,TG 52:6,0.0632276105387999,0.0251014807298396,0.0358713139195683,,Main,0.0140287083083144,0.112426512769285
All,HC meal,Time_(joint),HMDB0005436,TG 52:6,,,,0.0358713139195683,Main,,
All,HC meal,Time_360,HMDB0010518,TG 54:8,-0.00280788076433522,0.0336425983184877,0.935534789111701,,Main,-0.0687473734685711,0.0631316119399006
All,HC meal,Time_(joint),HMDB0010518,TG 54:8,,,,0.935534789111701,Main,,
All,HC meal,Time_360,HMDB0042099,TG 45:1,1.17310576824172,0.185383431443444,0.000225880013341892,,Main,0.809754242612566,1.53645729387087
All,HC meal,Time_(joint),HMDB0042099,TG 45:1,,,,0.000225880013341892,Main,,
All,HC meal,Time_360,HMDB0010531,TG 58:11,-0.0767717956393817,0.0374385299130386,0.0744377213688917,,Main,-0.150151314268937,-0.00339227700982615
All,HC meal,Time_(joint),HMDB0010531,TG 58:11,,,,0.0744377213688917,Main,,
All,HC meal,Time_360,HMDB0005432,TG 48:3,0.1512156330845,0.0715326399674424,0.0674585512432437,,Main,0.0110116587483127,0.291419607420687
All,HC meal,Time_(joint),HMDB0005432,TG 48:3,,,,0.0674585512432437,Main,,
All,HC meal,Time_360,HMDB0048455,TG 53:7,-0.0538551947264524,0.0700144128025528,0.463876065209975,,Main,-0.191083443819456,0.083373054366551
All,HC meal,Time_(joint),HMDB0048455,TG 53:7,,,,0.463876065209975,Main,,
All,HC meal,Time_360,HMDB0005447,TG 54:7,-0.0634068753365682,0.028116810188247,0.0541327748910425,,Main,-0.118515823305532,-0.00829792736760413
All,HC meal,Time_(joint),HMDB0005447,TG 54:7,,,,0.0541327748910425,Main,,
All,HC meal,Time_360,HMDB0042063,TG 44:0,0.99749615693279,0.178493851629736,0.000517176780155231,,Main,0.647648207738507,1.34734410612707
All,HC meal,Time_(joint),HMDB0042063,TG 44:0,,,,0.000517176780155232,Main,,
All,HC meal,Time_360,HMDB0005448,TG 56:9,-0.0415517825110782,0.0279114486848964,0.174889634690903,,Main,-0.0962582219334751,0.0131546569113188
All,HC meal,Time_(joint),HMDB0005448,TG 56:9,,,,0.174889634690903,Main,,
All,HC meal,Time_360,HMDB0043199,TG 47:2,0.555073607650273,0.118014842627561,0.00153466130931035,,Main,0.323764516100254,0.786382699200292
All,HC meal,Time_(joint),HMDB0043199,TG 47:2,,,,0.00153466130931035,Main,,
All,HC meal,Time_360,HMDB0043518,TG 51:5,0.0405428998635766,0.0272931781511428,0.175725490967039,,Main,-0.0129517293126633,0.0940375290398164
All,HC meal,Time_(joint),HMDB0043518,TG 51:5,,,,0.175725490967039,Main,,
All,HC meal,Time_360,HMDB0005435,TG 50:4,0.0954012584535157,0.0268449963968704,0.00746812653888942,,Main,0.0427850655156497,0.148017451391382
All,HC meal,Time_(joint),HMDB0005435,TG 50:4,,,,0.00746812653888942,Main,,
All,HC meal,Time_360,HMDB0010367,CE 14:1,-0.166859140167582,0.048883617479194,0.00917699263423101,,Main,-0.262671030426802,-0.0710472499083618
All,HC meal,Time_(joint),HMDB0010367,CE 14:1,,,,0.00917699263423101,Main,,
All,HC meal,Time_360,HMDB0005478,TG 60:12,-0.129251481535694,0.047775243561804,0.0268483121576099,,Main,-0.22289095891683,-0.0356120041545585
All,HC meal,Time_(joint),HMDB0005478,TG 60:12,,,,0.0268483121576099,Main,,
All,HC meal,Time_360,HMDB0060058,CE 16:2,-0.223243998601573,0.0524882921927853,0.00278695088725065,,Main,-0.326121051299433,-0.120366945903714
All,HC meal,Time_(joint),HMDB0060058,CE 16:2,,,,0.00278695088725065,Main,,
All,HC meal,Time_360,HMDB0010412,TG 46:1,0.614602931065204,0.109042543332968,3.71551481049996e-05,,Main,0.400879546132586,0.828326315997821
All,HC meal,Time_(joint),HMDB0010412,TG 46:1,,,,3.71551481049996e-05,Main,,
All,HC meal,Time_360,HMDB0042103,TG 49:3,0.380755764805988,0.0880222021636546,0.00252665113096647,,Main,0.208232248565224,0.553279281046751
All,HC meal,Time_(joint),HMDB0042103,TG 49:3,,,,0.00252665113096646,Main,,
All,HC meal,Time_360,HMDB0000982,5-Methylcytidine,-0.0122499959728578,0.0220115127514254,0.593072654311683,,Main,-0.0553925609656516,0.030892569019936
All,HC meal,Time_(joint),HMDB0000982,5-Methylcytidine,,,,0.593072654311683,Main,,
All,HC meal,Time_360,HMDB0005380,TG 52:5,0.0361415075712444,0.00699747294915334,0.000858446317383219,,Main,0.0224264605909038,0.0498565545515849
All,HC meal,Time_(joint),HMDB0005380,TG 52:5,,,,0.000858446317383219,Main,,
All,HC meal,Time_360,HMDB0006731,CE 20:5,-0.148770979035261,0.0422289005894325,0.00781193606687592,,Main,-0.231539624190548,-0.0660023338799728
All,HC meal,Time_(joint),HMDB0006731,CE 20:5,,,,0.00781193606687592,Main,,
All,HC meal,Time_360,HMDB0042093,TG 45:0,1.50992444212529,0.247337108137431,0.000287968969251161,,Main,1.02514371017592,1.99470517407465
All,HC meal,Time_(joint),HMDB0042093,TG 45:0,,,,0.000287968969251161,Main,,
All,HC meal,Time_360,HMDB0052415,TG 53:6,0.167028327086014,0.0446457767310111,0.00569564371931556,,Main,0.079522604693232,0.254534049478796
All,HC meal,Time_(joint),HMDB0052415,TG 53:6,,,,0.00569564371931556,Main,,
All,HC meal,Time_360,HMDB0054031,TG 57:9,0.0526723574088237,0.0736489568564453,0.494836492088259,,Main,-0.0916795980298091,0.197024312847457
All,HC meal,Time_(joint),HMDB0054031,TG 57:9,,,,0.494836492088259,Main,,
All,HC meal,Time_360,HMDB0005476,TG 58:10,0.0824502807758892,0.0349710722865672,0.0461256128033101,,Main,0.0139069790942174,0.150993582457561
All,HC meal,Time_(joint),HMDB0005476,TG 58:10,,,,0.0461256128033101,Main,,
All,HC meal,Time_360,HMDB0005376,TG 48:2,0.318944417500726,0.0794360610486397,0.00386746734326137,,Main,0.163249737845393,0.47463909715606
All,HC meal,Time_(joint),HMDB0005376,TG 48:2,,,,0.00386746734326137,Main,,
All,HC meal,Time_360,HMDB0052411,TG 51:4,0.130890552712275,0.0247676829530109,0.000741948975302842,,Main,0.0823458941243735,0.179435211300176
All,HC meal,Time_(joint),HMDB0052411,TG 51:4,,,,0.000741948975302844,Main,,
All,HC meal,Time_360,HMDB0005391,TG 54:6,-0.0417675641644514,0.0201739018392792,0.0721868801376119,,Main,-0.0813084117694386,-0.00222671655946425
All,HC meal,Time_(joint),HMDB0005391,TG 54:6,,,,0.0721868801376119,Main,,
All,HC meal,Time_360,HMDB0050279,TG 62:13,-0.000148655617879134,0.0895712909173698,0.998716442474755,,Main,-0.175708385815924,0.175411074580166
All,HC meal,Time_(joint),HMDB0050279,TG 62:13,,,,0.998716442474755,Main,,
All,HC meal,Time_360,HMDB0005392,TG 56:8,-0.0208911986540558,0.0296464293682046,0.501006871256198,,Main,-0.0789982002157369,0.0372158029076252
All,HC meal,Time_(joint),HMDB0005392,TG 56:8,,,,0.501006871256198,Main,,
All,HC meal,Time_360,HMDB0042100,TG 47:1,1.139094947674,0.209448355432789,0.000617051156990823,,Main,0.728576171025738,1.54961372432227
All,HC meal,Time_(joint),HMDB0042100,TG 47:1,,,,0.000617051156990823,Main,,
All,HC meal,Time_360,HMDB0006733,CE 22:6,-0.13604819985417,0.0455834304025715,0.0174773742935911,,Main,-0.22539172344321,-0.0467046762651296
All,HC meal,Time_(joint),HMDB0006733,CE 22:6,,,,0.0174773742935911,Main,,
All,HC meal,Time_360,HMDB0010370,CE 18:3,-0.109441465999553,0.0385946050192349,0.0219578512541083,,Main,-0.185086891837253,-0.0337960401618526
All,HC meal,Time_(joint),HMDB0010370,CE 18:3,,,,0.0219578512541083,Main,,
All,HC meal,Time_360,HMDB0005433,TG 50:3,0.152698808634998,0.026850671191202,0.000461266109326898,,Main,0.100071493100242,0.205326124169754
All,HC meal,Time_(joint),HMDB0005433,TG 50:3,,,,0.000461266109326898,Main,,
All,HC meal,Time_360,HMDB0049730,TG 53:5,0.178620514101807,0.0355740751347011,0.00102548494073921,,Main,0.108895326837793,0.248345701365821
All,HC meal,Time_(joint),HMDB0049730,TG 53:5,,,,0.00102548494073921,Main,,
All,HC meal,Time_360,HMDB0050099,TG 60:11,0.0372223163007688,0.0279522878649335,0.219670527319723,,Main,-0.0175641679145009,0.0920088005160384
All,HC meal,Time_(joint),HMDB0050099,TG 60:11,,,,0.219670527319723,Main,,
All,HC meal,Time_360,HMDB0010411,TG 46:0,1.1521805421289,0.211636092121849,0.000612940067721903,,Main,0.737373801570079,1.56698728268773
All,HC meal,Time_(joint),HMDB0010411,TG 46:0,,,,0.000612940067721903,Main,,
All,HC meal,Time_360,HMDB0049739,TG 55:7,0.129886550339519,0.046317073415239,0.0230449144988364,,Main,0.0391050864456505,0.220668014233387
All,HC meal,Time_(joint),HMDB0049739,TG 55:7,,,,0.0230449144988364,Main,,
All,HC meal,Time_360,HMDB0045449,TG 62:12,0.187151874843772,0.148558410470576,0.243254086073671,,Main,-0.104022609678558,0.478326359366101
All,HC meal,Time_(joint),HMDB0045449,TG 62:12,,,,0.243254086073671,Main,,
All,HC meal,Time_360,HMDB0005463,TG 58:9,0.0590214691535998,0.0274011036441783,0.0633809446641257,,Main,0.00531530601101045,0.112727632296189
All,HC meal,Time_(joint),HMDB0005463,TG 58:9,,,,0.0633809446641257,Main,,
All,HC meal,Time_360,HMDB0006725,CE 14:0,-0.124179727929383,0.0423515093019296,0.0189365869957635,,Main,-0.207188686161165,-0.0411707696976009
All,HC meal,Time_(joint),HMDB0006725,CE 14:0,,,,0.0189365869957635,Main,,
All,HC meal,Time_360,HMDB0011706,TG 49:2,0.445754243267568,0.105668509328943,0.00292210798756821,,Main,0.238643964982839,0.652864521552297
All,HC meal,Time_(joint),HMDB0011706,TG 49:2,,,,0.00292210798756821,Main,,
All,HC meal,Time_360,HMDB0005363,TG 52:4,0.0633594943884077,0.0188051174321112,0.00979619673759764,,Main,0.0265014642214698,0.100217524555346
All,HC meal,Time_(joint),HMDB0005363,TG 52:4,,,,0.00979619673759764,Main,,
All,HC meal,Time_360,HMDB0005462,TG 56:7_A,0.0577427171195034,0.052300720873094,0.301668677409575,,Main,-0.0447666957917608,0.160252130030768
All,HC meal,Time_(joint),HMDB0005462,TG 56:7_A,,,,0.301668677409575,Main,,
All,HC meal,Time_360,HMDB0006726,CE 20:4,-0.0803053315610595,0.0173513290336139,0.00169202476969799,,Main,-0.114313936466943,-0.0462967266551763
All,HC meal,Time_(joint),HMDB0006726,CE 20:4,,,,0.00169202476969799,Main,,
All,HC meal,Time_360,HMDB0054025,TG 57:8,-0.274937376701738,0.125998264110939,0.060666123211922,,Main,-0.52189397435918,-0.0279807790442972
All,HC meal,Time_(joint),HMDB0054025,TG 57:8,,,,0.060666123211922,Main,,
All,HC meal,Time_360,HMDB0005359,TG 48:1,0.655201113422297,0.140140075820504,0.00159148930848338,,Main,0.38052656481411,0.929875662030484
All,HC meal,Time_(joint),HMDB0005359,TG 48:1,,,,0.00159148930848338,Main,,
All,HC meal,Time_360,HMDB0011701,TG 51:3,0.2109467909077,0.0385843554483076,0.000596451483812908,,Main,0.135321454229017,0.286572127586383
All,HC meal,Time_(joint),HMDB0011701,TG 51:3,,,,0.000596451483812908,Main,,
All,HC meal,Time_360,HMDB0000658,CE 16:1,-0.0612627059843855,0.0129029736745375,0.00144905805270913,,Main,-0.086552534386479,-0.035972877582292
All,HC meal,Time_(joint),HMDB0000658,CE 16:1,,,,0.00144905805270913,Main,,
All,HC meal,Time_360,HMDB0005413,TG 58:8_A,0.114643640038521,0.0340686103918397,0.00985744349116504,,Main,0.0478691636705153,0.181418116406527
All,HC meal,Time_(joint),HMDB0005413,TG 58:8_A,,,,0.00985744349116504,Main,,
