Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome
Time_120,-0.267682592643385,0.135795334960322,0.0553110153402325,,,Main,-0.533841449165616,-0.0015237361211542,"1,3-Dimethyluric acid","-0.3 (-0.5, 0)",0.055,0.055,,HMDB0001857
Time_235,-0.478147134372318,0.135795334960322,0.00104963407497702,,,Main,-0.744305990894549,-0.211988277850087,"1,3-Dimethyluric acid","-0.5 (-0.7, -0.2)",1.0e-03,1.0e-03**,,HMDB0001857
Time_(joint),,,,6.22861543878445,0.00427630292710138,Main,,,"1,3-Dimethyluric acid","NA (NA, NA)",,,4.3e-03**,HMDB0001857
Time_120,0.0373480506591625,0.0461807811619594,0.423224793923878,,,Main,-0.0531662804182779,0.127862381736603,Suberic acid,"0 (-0.1, 0.1)",0.423,0.423,,HMDB0000893
Time_235,-0.108180159750649,0.0461807811619594,0.023966588616625,,,Main,-0.198694490828089,-0.0176658286732084,Suberic acid,"-0.1 (-0.2, 0)",0.024,0.024*,,HMDB0000893
Time_(joint),,,,5.3573488459509,0.00846581887656197,Main,,,Suberic acid,"NA (NA, NA)",,,8.5e-03**,HMDB0000893
Time_120,0.168461105041095,0.020211103209478,1.91537014362253e-10,,,Main,0.128847342750518,0.208074867331672,Glucosan,"0.2 (0.1, 0.2)",1.9e-10,1.9e-10***,,HMDB0000640
Time_235,0.0563694071753314,0.020211103209478,0.00791197682284168,,,Main,0.0167556448847546,0.0959831694659082,Glucosan,"0.1 (0, 0.1)",7.9e-03,7.9e-03**,,HMDB0000640
Time_(joint),,,,36.0036099484928,7.81008243663749e-10,Main,,,Glucosan,"NA (NA, NA)",,,7.8e-10***,HMDB0000640
Time_120,-0.0456606778087795,0.0444549255888967,0.310241866150395,,,Main,-0.132792331963017,0.041470976345458,N-palmitoyl glutamine,"0 (-0.1, 0)",0.31,0.31,,HMDB0241924
Time_235,-0.244045397494577,0.0444549255888967,2.14444867239591e-06,,,Main,-0.331177051648814,-0.156913743340339,N-palmitoyl glutamine,"-0.2 (-0.3, -0.2)",2.1e-06,2.1e-06***,,HMDB0241924
Time_(joint),,,,17.0356383220128,3.82472571321191e-06,Main,,,N-palmitoyl glutamine,"NA (NA, NA)",,,3.8e-06***,HMDB0241924
Time_120,-0.0337568227470569,0.0212454215204323,0.119583745986413,,,Main,-0.0753978489271041,0.00788420343299034,SM 35:1;O2,"0 (-0.1, 0)",0.12,0.12,,HMDB0240622
Time_235,-0.0278128572824341,0.0212454215204322,0.197610248075128,,,Main,-0.0694538834624813,0.0138281688976131,SM 35:1;O2,"0 (-0.1, 0)",0.198,0.198,,HMDB0240622
Time_(joint),,,,1.43889178062429,0.248642695066894,Main,,,SM 35:1;O2,"NA (NA, NA)",,,0.249,HMDB0240622
Time_120,-0.0111945158421055,0.060446337924895,0.853965519536035,,,Main,-0.1296693381749,0.107280306490689,Deoxyuridine,"0 (-0.1, 0.1)",0.854,0.854,,HMDB0000012
Time_235,-0.0251569660910969,0.060446337924895,0.679392462616349,,,Main,-0.143631788423891,0.0933178562416974,Deoxyuridine,"0 (-0.1, 0.1)",0.679,0.679,,HMDB0000012
Time_(joint),,,,0.0869551918376056,0.916882767355758,Main,,,Deoxyuridine,"NA (NA, NA)",,,0.917,HMDB0000012
Time_120,0.00730230046475363,0.0151638007667513,0.632617317755147,,,Main,-0.0224187490380789,0.0370233499675862,PC 34:2,"0 (0, 0)",0.633,0.633,,HMDB0007973
Time_235,0.0645462882491518,0.0151638007667513,0.000113938844441539,,,Main,0.0348252387463192,0.0942673377519843,PC 34:2,"0.1 (0, 0.1)",1.1e-04,1.1e-04***,,HMDB0007973
Time_(joint),,,,10.867172921296,0.00015717769230134,Main,,,PC 34:2,"NA (NA, NA)",,,1.6e-04***,HMDB0007973
Time_120,-0.268580540592133,0.0352919860325902,1.97320256026019e-09,,,Main,-0.33775283321601,-0.199408247968257,7-Methylxanthine,"-0.3 (-0.3, -0.2)",2.0e-09,2.0e-09***,,HMDB0001991
Time_235,-0.439773153255982,0.0352919860325902,1.06842606525468e-15,,,Main,-0.508945445879859,-0.370600860632105,7-Methylxanthine,"-0.4 (-0.5, -0.4)",1.1e-15,1.1e-15***,,HMDB0001991
Time_(joint),,,,78.907292005074,5.95750242642146e-15,Main,,,7-Methylxanthine,"NA (NA, NA)",,,6e-15***,HMDB0001991
Time_120,0.014849672206379,0.0305458155109493,0.629391865779521,,,Main,-0.0450201261950816,0.0747194706078395,Allopurinol,"0 (0, 0.1)",0.629,0.629,,HMDB0014581
Time_235,0.0271900373583615,0.0305458155109493,0.378461611096566,,,Main,-0.0326797610430991,0.0870598357598221,Allopurinol,"0 (0, 0.1)",0.378,0.378,,HMDB0014581
Time_(joint),,,,0.397298918754495,0.674632345815179,Main,,,Allopurinol,"NA (NA, NA)",,,0.675,HMDB0014581
Time_120,0.000165915884470505,0.0394628252163482,0.996665323553732,,,Main,-0.077181221539572,0.0775130533085131,PC 40:7,"0 (-0.1, 0.1)",0.997,0.997,,HMDB0008123
Time_235,0.0476169482832948,0.0394628252163482,0.234328043961257,,,Main,-0.0297301891407478,0.124964085707337,PC 40:7,"0 (0, 0.1)",0.234,0.234,,HMDB0008123
Time_(joint),,,,0.967263742105134,0.388427473413393,Main,,,PC 40:7,"NA (NA, NA)",,,0.388,HMDB0008123
Time_120,0.197815058417791,0.252664860057994,0.438069552140713,,,Main,-0.297408067295878,0.693038184131459,DG 36:5,"0.2 (-0.3, 0.7)",0.438,0.438,,HMDB0007505
Time_235,0.458507194484748,0.252664860057994,0.0767186877161231,,,Main,-0.036715931228921,0.953730320198416,DG 36:5,"0.5 (0, 1)",0.077,0.077,,HMDB0007505
Time_(joint),,,,1.6568627987601,0.202959750057651,Main,,,DG 36:5,"NA (NA, NA)",,,0.203,HMDB0007505
Time_120,-0.438709360713445,0.037145939547131,6.22992857537716e-15,,,Main,-0.511515402225822,-0.365903319201068,Xanthine,"-0.4 (-0.5, -0.4)",6.2e-15,6.2e-15***,,HMDB0000292
Time_235,-0.650385032451957,0.037145939547131,6.5256254901581e-21,,,Main,-0.723191073964334,-0.577578990939581,Xanthine,"-0.7 (-0.7, -0.6)",6.5e-21,6.5e-21***,,HMDB0000292
Time_(joint),,,,159.5069861572,2.40010834503342e-20,Main,,,Xanthine,"NA (NA, NA)",,,2.4e-20***,HMDB0000292
Time_120,-0.0385870296473663,0.0227983486286678,0.0979505576822998,,,Main,-0.0832717929595552,0.00609773366482265,N-Acetylalanine,"0 (-0.1, 0)",0.098,0.098,,HMDB0000766
Time_235,-0.0785624486552156,0.0227983486286678,0.00130426213613291,,,Main,-0.123247211967405,-0.0338776853430266,N-Acetylalanine,"-0.1 (-0.1, 0)",1.3e-03,1.3e-03**,,HMDB0000766
Time_(joint),,,,5.93797624008347,0.00535723765926986,Main,,,N-Acetylalanine,"NA (NA, NA)",,,5.4e-03**,HMDB0000766
Time_120,-0.0290202789912118,0.0258002839640218,0.267059101202974,,,Main,-0.0795888355606945,0.0215482775782708,PC 32:0,"0 (-0.1, 0)",0.267,0.267,,HMDB0007871
Time_235,0.0202834967707288,0.0258002839640218,0.436179213139679,,,Main,-0.0302850597987539,0.0708520533402114,PC 32:0,"0 (0, 0.1)",0.436,0.436,,HMDB0007871
Time_(joint),,,,1.84503036413586,0.170599854794629,Main,,,PC 32:0,"NA (NA, NA)",,,0.171,HMDB0007871
Time_120,0.163271330661498,0.0530962883150193,0.00369297078541282,,,Main,0.0592026055640597,0.267340055758935,PE 38:5,"0.2 (0.1, 0.3)",3.7e-03,3.7e-03**,,HMDB0009069
Time_235,0.178939348644928,0.0530962883150193,0.00162083298962663,,,Main,0.0748706235474907,0.283008073742366,PE 38:5,"0.2 (0.1, 0.3)",1.6e-03,1.6e-03**,,HMDB0009069
Time_(joint),,,,6.96674869784555,0.00243850477064192,Main,,,PE 38:5,"NA (NA, NA)",,,2.4e-03**,HMDB0009069
Time_120,0.00435134475147052,0.0301114439201504,0.885790548462687,,,Main,-0.0546670853320242,0.0633697748349652,PC 39:6,"0 (-0.1, 0.1)",0.886,0.886,,HMDB0240629
Time_235,0.0431607832969528,0.0301114439201504,0.159155401779503,,,Main,-0.0158576467865419,0.102179213380448,PC 39:6,"0 (0, 0.1)",0.159,0.159,,HMDB0240629
Time_(joint),,,,1.24552901268558,0.29820003572363,Main,,,PC 39:6,"NA (NA, NA)",,,0.298,HMDB0240629
Time_120,-0.0177204284391395,0.0210713428077464,0.405125701846993,,,Main,-0.0590202603423225,0.0235794034640435,PC O-32:1,"0 (-0.1, 0)",0.405,0.405,,HMDB0013404
Time_235,0.0179145245760391,0.0210713428077464,0.400043408382822,,,Main,-0.0233853073271439,0.0592143564792222,PC O-32:1,"0 (0, 0.1)",0.4,0.4,,HMDB0013404
Time_(joint),,,,1.43002047209404,0.25071604021437,Main,,,PC O-32:1,"NA (NA, NA)",,,0.251,HMDB0013404
Time_120,0.00574202810614193,0.236903769018772,0.980777714204122,,,Main,-0.458589359170651,0.470073415382935,Pantothenol,"0 (-0.5, 0.5)",0.981,0.981,,HMDB0004231
Time_235,-0.318545366459312,0.236903769018772,0.185965355490822,,,Main,-0.782876753736106,0.145786020817481,Pantothenol,"-0.3 (-0.8, 0.1)",0.186,0.186,,HMDB0004231
Time_(joint),,,,1.22745266805158,0.303334363799144,Main,,,Pantothenol,"NA (NA, NA)",,,0.303,HMDB0004231
Time_120,-0.275281211710039,0.0328675038125563,1.68439165425633e-10,,,Main,-0.33970151918265,-0.210860904237429,1-Methyluric acid,"-0.3 (-0.3, -0.2)",1.7e-10,1.7e-10***,,HMDB0003099
Time_235,-0.448359718528821,0.0328675038125563,4.9863385189569e-17,,,Main,-0.512780026001431,-0.383939411056211,1-Methyluric acid,"-0.4 (-0.5, -0.4)",5.0e-17,5.0e-17***,,HMDB0003099
Time_(joint),,,,94.6558283833514,2.75478151317234e-16,Main,,,1-Methyluric acid,"NA (NA, NA)",,,2.8e-16***,HMDB0003099
Time_120,0.580314248875417,0.180049001968517,0.00245373351901362,,,Main,0.227418205017124,0.933210292733711,DG 30:0,"0.6 (0.2, 0.9)",2.5e-03,2.5e-03**,,HMDB0007011
Time_235,0.484503190105729,0.180049001968517,0.0101830854785178,,,Main,0.131607146247435,0.837399233964023,DG 30:0,"0.5 (0.1, 0.8)",0.01,0.01*,,HMDB0007011
Time_(joint),,,,5.97090217905069,0.00522155956722638,Main,,,DG 30:0,"NA (NA, NA)",,,5.2e-03**,HMDB0007011
Time_120,-0.0480038858395756,0.10040647939531,0.635061424847542,,,Main,-0.244800585454384,0.148792813775233,Biotin,"0 (-0.2, 0.1)",0.635,0.635,,HMDB0000030
Time_235,-0.215576853458613,0.10040647939531,0.0376091335650228,,,Main,-0.412373553073421,-0.0187801538438047,Biotin,"-0.2 (-0.4, 0)",0.038,0.038*,,HMDB0000030
Time_(joint),,,,2.5412471295024,0.0908210236993078,Main,,,Biotin,"NA (NA, NA)",,,0.091,HMDB0000030
Time_120,-0.0627922703725648,0.0784559908231221,0.428011986347039,,,Main,-0.216566012385884,0.0909814716407545,PC P-31:0,"-0.1 (-0.2, 0.1)",0.428,0.428,,HMDB0011205
Time_235,-0.098576735083473,0.0784559908231221,0.215893296153638,,,Main,-0.252350477096792,0.0551970069298463,PC P-31:0,"-0.1 (-0.3, 0.1)",0.216,0.216,,HMDB0011205
Time_(joint),,,,0.809094963306107,0.452079355267058,Main,,,PC P-31:0,"NA (NA, NA)",,,0.452,HMDB0011205
Time_120,-0.0379619390383778,0.0301536457866747,0.215000888265352,,,Main,-0.0970630847802603,0.0211392067035047,Theophylline,"0 (-0.1, 0)",0.215,0.215,,HMDB0001889
Time_235,-0.153413090148789,0.0301536457866747,8.00382846335554e-06,,,Main,-0.212514235890672,-0.0943119444069066,Theophylline,"-0.2 (-0.2, -0.1)",8.0e-06,8.0e-06***,,HMDB0001889
Time_(joint),,,,14.0430667940696,2.13776981833065e-05,Main,,,Theophylline,"NA (NA, NA)",,,2.1e-05***,HMDB0001889
Time_120,-0.0176590446854115,0.0205444636184578,0.394915521199176,,,Main,-0.0579261933775889,0.0226081040067658,PC O-38:6,"0 (-0.1, 0)",0.395,0.395,,HMDB0013409
Time_235,-0.00223208040748382,0.0205444636184578,0.914000430126814,,,Main,-0.0424992290996612,0.0380350682846935,PC O-38:6,"0 (0, 0)",0.914,0.914,,HMDB0013409
Time_(joint),,,,0.438164850804687,0.648134978876341,Main,,,PC O-38:6,"NA (NA, NA)",,,0.648,HMDB0013409
Time_120,0.00639836894785103,0.0319449969118541,0.842217915218899,,,Main,-0.0562138249993831,0.0690105628950851,PC 37:4,"0 (-0.1, 0.1)",0.842,0.842,,HMDB0007955
Time_235,0.0578135538681786,0.0319449969118541,0.0774889574214541,,,Main,-0.00479864007905549,0.120425747815413,PC 37:4,"0.1 (0, 0.1)",0.077,0.077,,HMDB0007955
Time_(joint),,,,1.96863262920562,0.152323606848495,Main,,,PC 37:4,"NA (NA, NA)",,,0.152,HMDB0007955
Time_120,-0.0299058726012368,0.0156606000149543,0.0630275469696352,,,Main,-0.0606006486305473,0.000788903428073747,PC P-34:1 or PC O-34:2_A,"0 (-0.1, 0)",0.063,0.063,,HMDB0011151
Time_235,-0.00998407828812428,0.0156606000149543,0.527241104487158,,,Main,-0.0406788543174348,0.0207106977411862,PC P-34:1 or PC O-34:2_A,"0 (0, 0)",0.527,0.527,,HMDB0011151
Time_(joint),,,,1.89044649777456,0.163631022408638,Main,,,PC P-34:1 or PC O-34:2_A,"NA (NA, NA)",,,0.164,HMDB0011151
Time_120,-0.00164306013458362,0.0273469282595786,0.952375252277791,,,Main,-0.0552430395233577,0.0519569192541904,PC 34:1,"0 (-0.1, 0.1)",0.952,0.952,,HMDB0007972
Time_235,0.0279500254115169,0.0273469282595786,0.312606707224644,,,Main,-0.0256499539772571,0.0815500048002909,PC 34:1,"0 (0, 0.1)",0.313,0.313,,HMDB0007972
Time_(joint),,,,0.739740289061105,0.483352319491339,Main,,,PC 34:1,"NA (NA, NA)",,,0.483,HMDB0007972
Time_120,0.459412435824306,0.109985842046454,0.000145920947199443,,,Main,0.243840185413255,0.674984686235357,PE 34:1,"0.5 (0.2, 0.7)",1.5e-04,1.5e-04***,,HMDB0008927
Time_235,0.788278442754338,0.109985842046454,8.39265045556235e-09,,,Main,0.572706192343287,1.00385069316539,PE 34:1,"0.8 (0.6, 1)",8.4e-09,8.4e-09***,,HMDB0008927
Time_(joint),,,,25.9183942801139,4.66014278944695e-08,Main,,,PE 34:1,"NA (NA, NA)",,,4.7e-08***,HMDB0008927
Time_120,-0.0202782634524891,0.015994597321411,0.21184607019105,,,Main,-0.0516276742024546,0.0110711472974764,PC O-36:4,"0 (-0.1, 0)",0.212,0.212,,HMDB0013435
Time_235,-0.00412163767229502,0.015994597321411,0.797905093108968,,,Main,-0.0354710484222605,0.0272277730776705,PC O-36:4,"0 (0, 0)",0.798,0.798,,HMDB0013435
Time_(joint),,,,0.898044428217968,0.415043107121594,Main,,,PC O-36:4,"NA (NA, NA)",,,0.415,HMDB0013435
Time_120,0.585007423037783,0.187784817966886,0.00330715244501921,,,Main,0.216949179822685,0.95306566625288,DG 38:6,"0.6 (0.2, 1)",3.3e-03,3.3e-03**,,HMDB0007257
Time_235,0.583967991403047,0.187784817966886,0.00335779225966378,,,Main,0.215909748187949,0.952026234618144,DG 38:6,"0.6 (0.2, 1)",3.4e-03,3.4e-03**,,HMDB0007257
Time_(joint),,,,6.45861771335184,0.00358387705845777,Main,,,DG 38:6,"NA (NA, NA)",,,3.6e-03**,HMDB0007257
Time_120,0.0850803400747012,0.0587140566406805,0.154745941614793,,,Main,-0.0299992109410324,0.200159891090435,DG 36:4,"0.1 (0, 0.2)",0.155,0.155,,HMDB0007248
Time_235,0.257627405678702,0.0587140566406805,7.55367012027494e-05,,,Main,0.142547854662968,0.372706956694436,DG 36:4,"0.3 (0.1, 0.4)",7.6e-05,7.6e-05***,,HMDB0007248
Time_(joint),,,,9.99640504090969,0.000281233667796713,Main,,,DG 36:4,"NA (NA, NA)",,,2.8e-04***,HMDB0007248
Time_120,-0.0483400159784713,0.0272266053047605,0.0830668458613595,,,Main,-0.101704162375802,0.0050241304188592,PE P-40:7,"0 (-0.1, 0)",0.083,0.083,,HMDB0011460
Time_235,-0.00209867783507064,0.0272266053047605,0.938924449721443,,,Main,-0.0554628242324012,0.0512654685622599,PE P-40:7,"0 (-0.1, 0.1)",0.939,0.939,,HMDB0011460
Time_(joint),,,,2.01425209754828,0.146106992967938,Main,,,PE P-40:7,"NA (NA, NA)",,,0.146,HMDB0011460
Time_120,0.411703951917292,0.16039591520791,0.0139177279720517,,,Main,0.0973279581097893,0.726079945724795,DG 32:1,"0.4 (0.1, 0.7)",0.014,0.014*,,HMDB0007099
Time_235,0.404672250693222,0.16039591520791,0.0155111570378318,,,Main,0.0902962568857191,0.719048244500725,DG 32:1,"0.4 (0.1, 0.7)",0.016,0.016*,,HMDB0007099
Time_(joint),,,,4.31856503109294,0.0196962861269472,Main,,,DG 32:1,"NA (NA, NA)",,,0.02*,HMDB0007099
Time_120,-0.0470511115167585,0.0293124421999622,0.115952941268412,,,Main,-0.104503498228684,0.0104012751951673,SM 36:0;O2,"0 (-0.1, 0)",0.116,0.116,,HMDB0012087
Time_235,0.00450409276581517,0.0293124421999621,0.878615298018606,,,Main,-0.0529482939461106,0.061956479477741,SM 36:0;O2,"0 (-0.1, 0.1)",0.879,0.879,,HMDB0012087
Time_(joint),,,,1.89785976602143,0.162522117486714,Main,,,SM 36:0;O2,"NA (NA, NA)",,,0.163,HMDB0012087
Time_120,-0.0191004446434043,0.0321489510604064,0.555616450617761,,,Main,-0.0821123887218008,0.0439114994349922,SM 38:2;O2,"0 (-0.1, 0)",0.556,0.556,,HMDB0240610
Time_235,0.016951762159606,0.0321489510604064,0.600767898902601,,,Main,-0.0460601819187905,0.0799637062380025,SM 38:2;O2,"0 (0, 0.1)",0.601,0.601,,HMDB0240610
Time_(joint),,,,0.629526485040537,0.537796459275091,Main,,,SM 38:2;O2,"NA (NA, NA)",,,0.538,HMDB0240610
Time_120,-0.0188809476892273,0.0216726083212347,0.388603402325854,,,Main,-0.0613592599988473,0.0235973646203928,PC P-40:6 or PC O-40:7_A,"0 (-0.1, 0)",0.389,0.389,,HMDB0011294
Time_235,0.00815127119744316,0.0216726083212347,0.708728808542421,,,Main,-0.0343270411121768,0.0506295835070632,PC P-40:6 or PC O-40:7_A,"0 (0, 0.1)",0.709,0.709,,HMDB0011294
Time_(joint),,,,0.818727891991704,0.447906372345414,Main,,,PC P-40:6 or PC O-40:7_A,"NA (NA, NA)",,,0.448,HMDB0011294
Time_120,0.558325002413973,0.142634678627899,0.000326430986997555,,,Main,0.278761032303291,0.837888972524655,PE 40:6,"0.6 (0.3, 0.8)",3.3e-04,3.3e-04***,,HMDB0009012
Time_235,0.739476685545828,0.142634678627899,5.83855666720943e-06,,,Main,0.459912715435145,1.01904065565651,PE 40:6,"0.7 (0.5, 1)",5.8e-06,5.8e-06***,,HMDB0009012
Time_(joint),,,,14.6044691732408,1.53112401232914e-05,Main,,,PE 40:6,"NA (NA, NA)",,,1.5e-05***,HMDB0009012
Time_120,-0.157713157264612,0.0377393617164068,0.00014502132015533,,,Main,-0.231682306228769,-0.0837440083004542,Levulinic acid,"-0.2 (-0.2, -0.1)",1.5e-04,1.5e-04***,,HMDB0000720
Time_235,-0.11989814658,0.0377393617164068,0.00278939647566121,,,Main,-0.193867295544157,-0.0459289976158422,Levulinic acid,"-0.1 (-0.2, 0)",2.8e-03,2.8e-03**,,HMDB0000720
Time_(joint),,,,9.52049884327196,0.000389207323875538,Main,,,Levulinic acid,"NA (NA, NA)",,,3.9e-04***,HMDB0000720
Time_120,0.00578094357230584,0.0348730738379805,0.869132590672795,,,Main,-0.0625702811501359,0.0741321682947476,PC 40:6,"0 (-0.1, 0.1)",0.869,0.869,,HMDB0008057
Time_235,0.0517331415658787,0.0348730738379805,0.145415773327592,,,Main,-0.0166180831565631,0.12008436628832,PC 40:6,"0.1 (0, 0.1)",0.145,0.145,,HMDB0008057
Time_(joint),,,,1.32149706447982,0.277597466392133,Main,,,PC 40:6,"NA (NA, NA)",,,0.278,HMDB0008057
Time_120,-0.0231432028222512,0.0152135468299266,0.13569755002266,,,Main,-0.0529617546089074,0.00667534896440498,PC O-36:3,"0 (-0.1, 0)",0.136,0.136,,HMDB0013429
Time_235,-0.00771748269619708,0.0152135468299266,0.614613860207997,,,Main,-0.0375360344828533,0.0221010690904591,PC O-36:3,"0 (0, 0)",0.615,0.615,,HMDB0013429
Time_(joint),,,,1.19984588845157,0.311355138857227,Main,,,PC O-36:3,"NA (NA, NA)",,,0.311,HMDB0013429
Time_120,-0.0291910720586822,0.0246435791237871,0.242863099123519,,,Main,-0.077492487141305,0.0191103430239406,PC P-40:7 or PC O-40:8,"0 (-0.1, 0)",0.243,0.243,,HMDB0011328
Time_235,-0.014917530676899,0.0246435791237871,0.548216008240486,,,Main,-0.0632189457595218,0.0333838844057238,PC P-40:7 or PC O-40:8,"0 (-0.1, 0)",0.548,0.548,,HMDB0011328
Time_(joint),,,,0.701670113465619,0.501474532219555,Main,,,PC P-40:7 or PC O-40:8,"NA (NA, NA)",,,0.501,HMDB0011328
Time_120,-0.00886770845518607,0.0151036943103091,0.560265027972482,,,Main,-0.0384709493033919,0.0207355323930197,PC O-38:5,"0 (0, 0)",0.56,0.56,,HMDB0013432
Time_235,0.00577747427502885,0.0151036943103091,0.704004225670852,,,Main,-0.023825766573177,0.0353807151232347,PC O-38:5,"0 (0, 0)",0.704,0.704,,HMDB0013432
Time_(joint),,,,0.477080155886438,0.623914661677442,Main,,,PC O-38:5,"NA (NA, NA)",,,0.624,HMDB0013432
Time_120,0.0193052527138583,0.0191720284432337,0.319725617451322,,,Main,-0.0182719230348798,0.0568824284625964,PC 36:2,"0 (0, 0.1)",0.32,0.32,,HMDB0008039
Time_235,0.0773175677018777,0.0191720284432337,0.000227537119452916,,,Main,0.0397403919531396,0.114894743450616,PC 36:2,"0.1 (0, 0.1)",2.3e-04,2.3e-04***,,HMDB0008039
Time_(joint),,,,8.81121568649512,0.000637722539029917,Main,,,PC 36:2,"NA (NA, NA)",,,6.4e-04***,HMDB0008039
Time_120,-0.069276334537213,0.0327954404713975,0.0406414054853254,,,Main,-0.133555397861152,-0.00499727121327399,4-Hydroxyphenyllactic acid,"-0.1 (-0.1, 0)",0.041,0.041*,,HMDB0000755
Time_235,-0.18206968799921,0.0327954404713975,1.74858809949813e-06,,,Main,-0.246348751323149,-0.117790624675271,4-Hydroxyphenyllactic acid,"-0.2 (-0.2, -0.1)",1.7e-06,1.7e-06***,,HMDB0000755
Time_(joint),,,,15.7040120185029,8.08389895281412e-06,Main,,,4-Hydroxyphenyllactic acid,"NA (NA, NA)",,,8.1e-06***,HMDB0000755
Time_120,-0.123326002387941,0.0762964890760576,0.113494516732398,,,Main,-0.272867120977014,0.0262151162011323,Salicyluric acid,"-0.1 (-0.3, 0)",0.113,0.113,,HMDB0000840
Time_235,-0.350308049197765,0.0762964890760577,3.96467589786966e-05,,,Main,-0.499849167786838,-0.200766930608692,Salicyluric acid,"-0.4 (-0.5, -0.2)",4.0e-05,4.0e-05***,,HMDB0000840
Time_(joint),,,,10.8481281539423,0.000159163334740595,Main,,,Salicyluric acid,"NA (NA, NA)",,,1.6e-04***,HMDB0000840
Time_120,0.0145816927648693,0.0268072031133972,0.589354159716408,,,Main,-0.0379604253373893,0.067123810867128,PC 38:4,"0 (0, 0.1)",0.589,0.589,,HMDB0008048
Time_235,0.0432031786323822,0.0268072031133972,0.11453393829797,,,Main,-0.00933893946987643,0.0957452967346408,PC 38:4,"0 (0, 0.1)",0.115,0.115,,HMDB0008048
Time_(joint),,,,1.34438465508833,0.271686969003878,Main,,,PC 38:4,"NA (NA, NA)",,,0.272,HMDB0008048
Time_120,0.00470315998752211,0.0236871533384742,0.84357028042793,,,Main,-0.0417236605558873,0.0511299805309315,PC P-40:5 or PC O-40:6_A,"0 (0, 0.1)",0.844,0.844,,HMDB0013422
Time_235,0.0120545556008554,0.0236871533384742,0.613480699050078,,,Main,-0.034372264942554,0.0584813761442649,PC P-40:5 or PC O-40:6_A,"0 (0, 0.1)",0.613,0.613,,HMDB0013422
Time_(joint),,,,0.131576338047176,0.877072296937682,Main,,,PC P-40:5 or PC O-40:6_A,"NA (NA, NA)",,,0.877,HMDB0013422
Time_120,0.00826397553384068,0.0322179141934523,0.798815162088957,,,Main,-0.0548831362853258,0.0714110873530072,PC 35:1,"0 (-0.1, 0.1)",0.799,0.799,,HMDB0256160
Time_235,0.0365815336583229,0.0322179141934523,0.262628802713359,,,Main,-0.0265655781608436,0.0997286454774894,PC 35:1,"0 (0, 0.1)",0.263,0.263,,HMDB0256160
Time_(joint),,,,0.709183934023954,0.497842221135768,Main,,,PC 35:1,"NA (NA, NA)",,,0.498,HMDB0256160
Time_120,-0.003782435125391,0.0379605178602892,0.921103201943542,,,Main,-0.0781850501315578,0.0706201798807758,PC 40:5,"0 (-0.1, 0.1)",0.921,0.921,,HMDB0008312
Time_235,0.0439949913389758,0.0379605178602892,0.253016739433162,,,Main,-0.030407623667191,0.118397606345143,PC 40:5,"0 (0, 0.1)",0.253,0.253,,HMDB0008312
Time_(joint),,,,0.979076073745354,0.384067106287459,Main,,,PC 40:5,"NA (NA, NA)",,,0.384,HMDB0008312
Time_120,0.0669134976227833,0.0527041612009125,0.211214996863505,,,Main,-0.0363866583310052,0.170213653576572,DG 34:2,"0.1 (0, 0.2)",0.211,0.211,,HMDB0007103
Time_235,0.109722440266446,0.0527041612009125,0.0434869201543125,,,Main,0.00642228431265735,0.213022596220234,DG 34:2,"0.1 (0, 0.2)",0.043,0.043*,,HMDB0007103
Time_(joint),,,,2.20192325248228,0.123197383738968,Main,,,DG 34:2,"NA (NA, NA)",,,0.123,HMDB0007103
Time_120,-0.0130774238994724,0.0356013324885492,0.715217664570464,,,Main,-0.0828560355770289,0.0567011877780841,SM 42:4;O2,"0 (-0.1, 0.1)",0.715,0.715,,HMDB0240644
Time_235,0.0270131394534003,0.0356013324885492,0.452228880981188,,,Main,-0.0427654722241562,0.0967917511309567,SM 42:4;O2,"0 (0, 0.1)",0.452,0.452,,HMDB0240644
Time_(joint),,,,0.659584820591668,0.522339066864485,Main,,,SM 42:4;O2,"NA (NA, NA)",,,0.522,HMDB0240644
Time_120,-0.0124756388964333,0.0240344276884744,0.606433954748238,,,Main,-0.0595831171658431,0.0346318393729765,PC O-34:1,"0 (-0.1, 0)",0.606,0.606,,HMDB0013426
Time_235,0.019939425708571,0.0240344276884744,0.411444676238542,,,Main,-0.0271680525608387,0.0670469039779808,PC O-34:1,"0 (0, 0.1)",0.411,0.411,,HMDB0013426
Time_(joint),,,,0.92555951606023,0.404241416092433,Main,,,PC O-34:1,"NA (NA, NA)",,,0.404,HMDB0013426
Time_120,-0.0425275833931503,0.0371308091078603,0.258550913926057,,,Main,-0.115303969244557,0.030248802458256,PC 34:0,"0 (-0.1, 0)",0.259,0.259,,HMDB0007970
Time_235,0.00945780841559826,0.0371308091078603,0.800185608835195,,,Main,-0.063318577435808,0.0822341942670045,PC 34:0,"0 (-0.1, 0.1)",0.8,0.8,,HMDB0007970
Time_(joint),,,,1.11228851126221,0.338296615544291,Main,,,PC 34:0,"NA (NA, NA)",,,0.338,HMDB0007970
Time_120,0.00905517810715393,0.0354157211059076,0.799444132264513,,,Main,-0.060359635260425,0.0784699914747329,SM 39:2;O2,"0 (-0.1, 0.1)",0.799,0.799,,HMDB0240676
