genotype,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC genotype,Time_(joint),HMDB0011328,PC P-40:7 or PC O-40:8,,,,0.0811932062439491,Main,,
HC genotype,Time_120,HMDB0011387,PE P-38:5,-0.00905721533029016,0.0182607512306885,0.626642995043511,,Main,-0.0448482877424396,0.0267338570818593
HC genotype,Time_235,HMDB0011387,PE P-38:5,0.0194262969005907,0.0182607512306885,0.303199359926652,,Main,-0.0163647755115587,0.0552173693127402
HC genotype,Time_(joint),HMDB0011387,PE P-38:5,,,,0.307598532302828,Main,,
HC genotype,Time_120,HMDB0013432,PC O-38:5,0.00906200525835168,0.0165430374131636,0.591401124786171,,Main,-0.0233623480714489,0.0414863585881523
HC genotype,Time_235,HMDB0013432,PC O-38:5,0.0209453472393199,0.0165430374131636,0.223597344437496,,Main,-0.0114790060904807,0.0533697005691205
HC genotype,Time_(joint),HMDB0013432,PC O-38:5,,,,0.463815454716228,Main,,
HC genotype,Time_120,HMDB0007896,PC P-32:0,0.0111392299989513,0.0150291325688134,0.469326274962517,,Main,-0.018317869835923,0.0405963298338257
HC genotype,Time_235,HMDB0007896,PC P-32:0,0.0166728827455502,0.0150291325688134,0.283666551989279,,Main,-0.0127842170893241,0.0461299825804246
HC genotype,Time_(joint),HMDB0007896,PC P-32:0,,,,0.541000954715079,Main,,
HC genotype,Time_120,HMDB0008994,PE 36:2,0.484698922533738,0.0559292330621504,1.93491496704713e-07,,Main,0.375077625731923,0.594320219335553
HC genotype,Time_235,HMDB0008994,PE 36:2,0.76396274468985,0.0559292330621504,3.08384475066044e-10,,Main,0.654341447888035,0.873584041491665
HC genotype,Time_(joint),HMDB0008994,PE 36:2,,,,1.27024953950733e-09,Main,,
HC genotype,Time_120,HMDB0008039,PC 36:2,0.0233163375988006,0.0155037593186181,0.152085351648383,,Main,-0.00707103066569092,0.0537037058632922
HC genotype,Time_235,HMDB0008039,PC 36:2,0.0691411826965351,0.0155037593186181,0.000395210123917097,,Main,0.0387538144320435,0.0995285509610267
HC genotype,Time_(joint),HMDB0008039,PC 36:2,,,,0.00133649814519497,Main,,
HC genotype,Time_120,HMDB0009003,PE 38:4,0.178073076561156,0.0329430789799041,5.83289630565037e-05,,Main,0.113504641760544,0.242641511361768
HC genotype,Time_235,HMDB0009003,PE 38:4,0.295359453460302,0.0329430789799041,1.22665025529163e-07,,Main,0.23079101865969,0.359927888260914
HC genotype,Time_(joint),HMDB0009003,PE 38:4,,,,5.25077923878919e-07,Main,,
HC genotype,Time_120,HMDB0008048,PC 38:4,0.0304435764056017,0.0164295467757031,0.0824209690165119,,Main,-0.00175833527477627,0.0626454880859797
HC genotype,Time_235,HMDB0008048,PC 38:4,0.052658761214241,0.0164295467757031,0.00551794409471926,,Main,0.020456849533863,0.084860672894619
HC genotype,Time_(joint),HMDB0008048,PC 38:4,,,,0.0184444561992081,Main,,
HC genotype,Time_120,HMDB0013422,PC P-40:5 or PC O-40:6_A,0.0156983329214349,0.0208479210305808,0.462390683920542,,Main,-0.0251635922985035,0.0565602581413734
HC genotype,Time_235,HMDB0013422,PC P-40:5 or PC O-40:6_A,0.014463477116822,0.0208479210305808,0.497781372069959,,Main,-0.0263984481031165,0.0553254023367604
HC genotype,Time_(joint),HMDB0013422,PC P-40:5 or PC O-40:6_A,,,,0.709540077761567,Main,,
HC genotype,Time_120,HMDB0256160,PC 35:1,0.0320428429403964,0.0186898747006765,0.105747474987056,,Main,-0.00458931147292955,0.0686749973537223
HC genotype,Time_235,HMDB0256160,PC 35:1,0.0412051174725851,0.0186898747006765,0.0424595016115927,,Main,0.00457296305925913,0.077837271885911
HC genotype,Time_(joint),HMDB0256160,PC 35:1,,,,0.0991110898032873,Main,,
HC genotype,Time_120,HMDB0008312,PC 40:5,0.0174776096274753,0.0166070056791231,0.308240568291303,,Main,-0.015072121503606,0.0500273407585566
HC genotype,Time_235,HMDB0008312,PC 40:5,0.0393678382901391,0.0166070056791231,0.0306614701367424,,Main,0.00681810715905775,0.0719175694212204
HC genotype,Time_(joint),HMDB0008312,PC 40:5,,,,0.0892090648206775,Main,,
HC genotype,Time_120,HMDB0007103,DG 34:2,0.105251736655986,0.0752249237401762,0.180852040414781,,Main,-0.0421891138747593,0.252692587186731
HC genotype,Time_235,HMDB0007103,DG 34:2,0.225700712661899,0.0752249237401762,0.00847340165245271,,Main,0.0782598621311535,0.373141563192644
HC genotype,Time_(joint),HMDB0007103,DG 34:2,,,,0.0280067180538955,Main,,
HC genotype,Time_120,HMDB0240644,SM 42:4;O2,0.0190153375369092,0.0218545919334136,0.397120479190068,,Main,-0.0238196626525815,0.0618503377263998
HC genotype,Time_235,HMDB0240644,SM 42:4;O2,0.0345061858502637,0.0218545919334136,0.133923451725163,,Main,-0.00832881433922691,0.0773411860397544
HC genotype,Time_(joint),HMDB0240644,SM 42:4;O2,,,,0.31281486545158,Main,,
HC genotype,Time_120,HMDB0011210,PC P-34:1 or PC O-34:2_B,-0.00853725336370143,0.0191149650387756,0.661130550666714,,Main,-0.0460025848397015,0.0289280781122987
HC genotype,Time_235,HMDB0011210,PC P-34:1 or PC O-34:2_B,0.000370172471198032,0.0191149650387756,0.984788908564865,,Main,-0.0370951590048021,0.0378355039471981
HC genotype,Time_(joint),HMDB0011210,PC P-34:1 or PC O-34:2_B,,,,0.87126771397042,Main,,
HC genotype,Time_120,HMDB0013426,PC O-34:1,0.0209756481679497,0.0191286226508673,0.289065172940423,,Main,-0.0165164522277502,0.0584677485636495
HC genotype,Time_235,HMDB0013426,PC O-34:1,0.0427088267134053,0.0191286226508673,0.0402063134349001,,Main,0.00521672631770547,0.0802009271091052
HC genotype,Time_(joint),HMDB0013426,PC O-34:1,,,,0.11418166023927,Main,,
HC genotype,Time_120,HMDB0007970,PC 34:0,-0.00380361058409972,0.0211402697669382,0.859472373078607,,Main,-0.0452385393272986,0.0376313181590992
HC genotype,Time_235,HMDB0007970,PC 34:0,0.0235922358683358,0.0211402697669382,0.280908929010332,,Main,-0.0178426928748631,0.0650271646115347
HC genotype,Time_(joint),HMDB0007970,PC 34:0,,,,0.394725409214331,Main,,
HC genotype,Time_120,HMDB0240676,SM 39:2;O2,0.0479522608559923,0.0191948551807116,0.0237609180603764,,Main,0.0103303447017975,0.0855741770101871
HC genotype,Time_235,HMDB0240676,SM 39:2;O2,0.0453305970860773,0.0191948551807116,0.0312105824346199,,Main,0.00770868093188253,0.0829525132402721
HC genotype,Time_(joint),HMDB0240676,SM 39:2;O2,,,,0.0404634158283766,Main,,
HC genotype,Time_120,HMDB0008047,PC 38:3,0.0367319704667813,0.0151375349883802,0.0274287510851517,,Main,0.00706240188955617,0.0664015390440065
HC genotype,Time_235,HMDB0008047,PC 38:3,0.0679221203470048,0.0151375349883802,0.000373447966592292,,Main,0.0382525517697797,0.09759168892423
HC genotype,Time_(joint),HMDB0008047,PC 38:3,,,,0.00146358608282963,Main,,
HC genotype,Time_120,HMDB0007199,DG 38:5,0.0902390668317298,0.071325404657468,0.22392488376514,,Main,-0.0495587262969075,0.230036859960367
HC genotype,Time_235,HMDB0007199,DG 38:5,0.264460359507083,0.071325404657468,0.00191063266996933,,Main,0.124662566378446,0.404258152635721
HC genotype,Time_(joint),HMDB0007199,DG 38:5,,,,0.00619104440995374,Main,,
HC genotype,Time_120,HMDB0011238,PC P-33:0,-0.0384757973105238,0.0328684421680396,0.258900035102847,,Main,-0.102897943959881,0.0259463493388338
HC genotype,Time_235,HMDB0011238,PC P-33:0,-0.0348390259314898,0.0328684421680396,0.304905216291658,,Main,-0.0992611725808474,0.0295831207178677
HC genotype,Time_(joint),HMDB0011238,PC P-33:0,,,,0.451783124737387,Main,,
HC genotype,Time_120,HMDB0013420,PC O-38:4,0.0182341367213052,0.018510475403377,0.339251953570625,,Main,-0.0180463950693136,0.0545146685119241
HC genotype,Time_235,HMDB0013420,PC O-38:4,0.0340167298446606,0.018510475403377,0.0847483564119766,,Main,-0.00226380194595825,0.0702972616352795
HC genotype,Time_(joint),HMDB0013420,PC O-38:4,,,,0.215572312083053,Main,,
HC genotype,Time_120,HMDB0007219,DG 36:3,0.0299477941365319,0.0448232572691281,0.513573772588024,,Main,-0.0579057901109592,0.117801378384023
HC genotype,Time_235,HMDB0007219,DG 36:3,0.146979944784588,0.0448232572691281,0.00472267942690088,,Main,0.0591263605370968,0.234833529032079
HC genotype,Time_(joint),HMDB0007219,DG 36:3,,,,0.0113335930144584,Main,,
HC genotype,Time_120,HMDB0011394,PE P-40:6 or PE O-40:7,-0.00119393889391384,0.0223706718813714,0.958097235791021,,Main,-0.0450404557814017,0.042652577993574
HC genotype,Time_235,HMDB0011394,PE P-40:6 or PE O-40:7,0.0145286487257748,0.0223706718813713,0.525261571408624,,Main,-0.029317868161713,0.0583751656132627
HC genotype,Time_(joint),HMDB0011394,PE P-40:6 or PE O-40:7,,,,0.740460426019893,Main,,
HC genotype,Time_120,HMDB0256163,PC 37:2,0.018765301814143,0.01719128349547,0.291191996859554,,Main,-0.0149296138369781,0.0524602174652641
HC genotype,Time_235,HMDB0256163,PC 37:2,0.0718696464007102,0.01719128349547,0.000706613209042616,,Main,0.0381747307495891,0.105564562051831
HC genotype,Time_(joint),HMDB0256163,PC 37:2,,,,0.00199342956917779,Main,,
HC genotype,Time_120,HMDB0007098,DG 32:0,0.0774553335891268,0.0617220538425099,0.227534233553024,,Main,-0.0435198919421926,0.198430559120446
HC genotype,Time_235,HMDB0007098,DG 32:0,0.0558662584503571,0.0617220538425099,0.378826467970368,,Main,-0.0651089670809623,0.176841483981677
HC genotype,Time_(joint),HMDB0007098,DG 32:0,,,,0.450375979980223,Main,,
HC genotype,Time_120,HMDB0008702,PC 42:6,0.0384355768455919,0.0299912600525835,0.218258952616979,,Main,-0.0203472928574718,0.0972184465486556
HC genotype,Time_235,HMDB0008702,PC 42:6,0.0672060480194363,0.0299912600525835,0.039573656141381,,Main,0.00842317831637257,0.1259889177225
HC genotype,Time_(joint),HMDB0008702,PC 42:6,,,,0.111159143342126,Main,,
HC genotype,Time_120,HMDB0011261,PC P-40:5 or PC O-40:6_C,-0.00545183203764937,0.0208521595187435,0.797079940657166,,Main,-0.0463220646943866,0.0354184006190879
HC genotype,Time_235,HMDB0011261,PC P-40:5 or PC O-40:6_C,0.0219761274405268,0.0208521595187435,0.307583866523622,,Main,-0.0188941052162105,0.062846360097264
HC genotype,Time_(joint),HMDB0011261,PC P-40:5 or PC O-40:6_C,,,,0.400387944077294,Main,,
HC genotype,Time_120,HMDB0007080,DG 35:2,0.414141145058761,0.212573802805396,0.0691503827720761,,Main,-0.00250350843981456,0.830785798557337
HC genotype,Time_235,HMDB0007080,DG 35:2,0.325419271760186,0.212573802805396,0.145336466084497,,Main,-0.0912253817383898,0.742063925258762
HC genotype,Time_(joint),HMDB0007080,DG 35:2,,,,0.154392553446001,Main,,
HC genotype,Time_120,HMDB0000289,Uric acid,4.0605926572452,0.54215670224502,1.29009040616121e-06,,Main,2.99796552084496,5.12321979364544
HC genotype,Time_235,HMDB0000289,Uric acid,4.05021826435057,0.54215670224502,1.33246950954404e-06,,Main,2.98759112795034,5.11284540075081
HC genotype,Time_(joint),HMDB0000289,Uric acid,,,,9.45793516350163e-07,Main,,
HC genotype,Time_120,HMDB0012102,SM 38:1;O2,0.00613683195500238,0.020914125584533,0.772965347405852,,Main,-0.0348548541906822,0.047128518100687
HC genotype,Time_235,HMDB0012102,SM 38:1;O2,0.0252633282492933,0.020914125584533,0.244616828677723,,Main,-0.0157283578963913,0.066255014394978
HC genotype,Time_(joint),HMDB0012102,SM 38:1;O2,,,,0.469114758899781,Main,,
HC genotype,Time_120,HMDB0011441,PE P-36:2 or PE O-36:3,-0.00732408611499234,0.0173029247970424,0.677721481332666,,Main,-0.0412378187171955,0.0265896464872109
HC genotype,Time_235,HMDB0011441,PE P-36:2 or PE O-36:3,0.00777278507042181,0.0173029247970424,0.659299605399315,,Main,-0.0261409475317814,0.041686517672625
HC genotype,Time_(joint),HMDB0011441,PE P-36:2 or PE O-36:3,,,,0.689381179846426,Main,,
HC genotype,Time_120,HMDB0008993,PE 36:1,0.750530611871772,0.0722498095094481,1.61325430267375e-08,,Main,0.608920985233254,0.892140238510291
HC genotype,Time_235,HMDB0008993,PE 36:1,1.13287870024333,0.0722498095094481,3.92279434319798e-11,,Main,0.991269073604808,1.27448832688185
HC genotype,Time_(joint),HMDB0008993,PE 36:1,,,,1.49751635745698e-10,Main,,
HC genotype,Time_120,HMDB0011244,PC P-36:2,-0.0192024662501737,0.0192054643522521,0.33226823625635,,Main,-0.0568451763805879,0.0184402438802405
HC genotype,Time_235,HMDB0011244,PC P-36:2,-0.00818686766622739,0.0192054643522521,0.67558487107028,,Main,-0.0458295777966416,0.0294558424641868
HC genotype,Time_(joint),HMDB0011244,PC P-36:2,,,,0.613697997086319,Main,,
HC genotype,Time_120,HMDB0008038,PC 36:1,0.0178648324718308,0.0180445476331907,0.336891323919285,,Main,-0.0175024808892229,0.0532321458328846
HC genotype,Time_235,HMDB0008038,PC 36:1,0.070305764048154,0.0180445476331907,0.00128392066654142,,Main,0.0349384506871002,0.105673077409208
HC genotype,Time_(joint),HMDB0008038,PC 36:1,,,,0.00353277478599495,Main,,
HC genotype,Time_120,HMDB0013418,PC O-36:2,0.00285301647369582,0.0183224147584341,0.878207782926735,,Main,-0.0330589164528351,0.0387649494002268
HC genotype,Time_235,HMDB0013418,PC O-36:2,0.0274651437944718,0.0183224147584341,0.153346729655318,,Main,-0.00844678913205916,0.0633770767210027
HC genotype,Time_(joint),HMDB0013418,PC O-36:2,,,,0.285137835497352,Main,,
HC genotype,Time_120,HMDB0008342,PC 40:4,0.0166007902520588,0.0161814183361291,0.320192055296141,,Main,-0.0151147896867542,0.0483163701908717
HC genotype,Time_235,HMDB0008342,PC 40:4,0.0540626407967163,0.0161814183361291,0.00414492351694714,,Main,0.0223470608579033,0.0857782207355293
HC genotype,Time_(joint),HMDB0008342,PC 40:4,,,,0.0123325195600578,Main,,
HC genotype,Time_120,HMDB0000152,Gentisic acid,0.00890144848194928,0.0325837058575783,0.788204191038153,,Main,-0.0549626149989043,0.0727655119628028
HC genotype,Time_235,HMDB0000152,Gentisic acid,0.000577796844515726,0.0325837058575783,0.986071347151329,,Main,-0.0632862666363378,0.0644418603253693
HC genotype,Time_(joint),HMDB0000152,Gentisic acid,,,,0.954470802087244,Main,,
HC genotype,Time_120,HMDB0007170,DG 38:4_A,0.124537180445173,0.0624848453656384,0.0635928807965883,,Main,0.00206688352852204,0.247007477361824
HC genotype,Time_235,HMDB0007170,DG 38:4_A,0.244545019336764,0.0624848453656384,0.00123764188252567,,Main,0.122074722420113,0.367015316253415
HC genotype,Time_(joint),HMDB0007170,DG 38:4_A,,,,0.00464036779703216,Main,,
HC genotype,Time_120,HMDB0007102,DG 34:1,0.0360178477869306,0.0466431930928133,0.45125248108307,,Main,-0.0554028106749836,0.127438506248845
HC genotype,Time_235,HMDB0007102,DG 34:1,0.112478820322773,0.0466431930928133,0.0282660019617303,,Main,0.0210581618608592,0.203899478784688
HC genotype,Time_(joint),HMDB0007102,DG 34:1,,,,0.0764189112318952,Main,,
HC genotype,Time_120,HMDB0011393,PE P-40:5,0.0138485399807557,0.0282929986108743,0.631152509871986,,Main,-0.0416057372965579,0.0693028172580693
HC genotype,Time_235,HMDB0011393,PE P-40:5,0.0602105173056574,0.0282929986108743,0.0492199819962753,,Main,0.00475624002834377,0.115664794582971
HC genotype,Time_(joint),HMDB0011393,PE P-40:5,,,,0.114903282080598,Main,,
HC genotype,Time_120,HMDB0008270,PC 38:2,0.00224757284533148,0.0197393918071706,0.910763462279581,,Main,-0.0364416350967229,0.0409367807873859
HC genotype,Time_235,HMDB0008270,PC 38:2,0.0447462606207317,0.0197393918071706,0.0376136565593455,,Main,0.00605705267867732,0.0834354685627861
HC genotype,Time_(joint),HMDB0008270,PC 38:2,,,,0.0648185320917177,Main,,
HC genotype,Time_120,HMDB0000991,2-Aminooctanoic acid,-0.092132001706484,0.0375376110525561,0.0259436601460181,,Main,-0.165705719369494,-0.018558284043474
HC genotype,Time_235,HMDB0000991,2-Aminooctanoic acid,-0.239540127724862,0.0375376110525561,9.09871590112786e-06,,Main,-0.313113845387872,-0.165966410061852
HC genotype,Time_(joint),HMDB0000991,2-Aminooctanoic acid,,,,3.62230783041852e-05,Main,,
HC genotype,Time_120,HMDB0004951,Cer 38:1;O2,-0.0571714414115584,0.0268696963740878,0.0492556168266615,,Main,-0.109836046304771,-0.00450683651834626
HC genotype,Time_235,HMDB0004951,Cer 38:1;O2,-0.143432467592692,0.0268696963740878,6.66222858515648e-05,,Main,-0.196097072485905,-0.0907678626994803
HC genotype,Time_(joint),HMDB0004951,Cer 38:1;O2,,,,0.00026067118795059,Main,,
HC genotype,Time_120,HMDB0013444,PC P-40:4 or PC O-40:5,0.00152104363749497,0.0193954214856358,0.938464131341732,,Main,-0.0364939824743512,0.0395360697493412
HC genotype,Time_235,HMDB0013444,PC P-40:4 or PC O-40:5,0.0306456016979924,0.0193954214856358,0.133661113641059,,Main,-0.00736942441385379,0.0686606278098386
HC genotype,Time_(joint),HMDB0013444,PC P-40:4 or PC O-40:5,,,,0.23532870030094,Main,,
HC genotype,Time_120,HMDB0008318,PC 42:5,0.0396568977780258,0.0262962175584783,0.151024163433443,,Main,-0.0118836886365916,0.0911974841926432
HC genotype,Time_235,HMDB0008318,PC 42:5,0.0382420351641047,0.0262962175584783,0.165204733212243,,Main,-0.0132985512505128,0.0897826215787221
HC genotype,Time_(joint),HMDB0008318,PC 42:5,,,,0.260678414563916,Main,,
HC genotype,Time_120,HMDB0011594,Hex2Cer 40:1;O2,-0.122533264625449,0.110131618324904,0.282314733124274,,Main,-0.338391236542262,0.0933247072913629
HC genotype,Time_235,HMDB0011594,Hex2Cer 40:1;O2,-0.118388275804813,0.110131618324904,0.298331848539365,,Main,-0.334246247721625,0.0974696961119997
HC genotype,Time_(joint),HMDB0011594,Hex2Cer 40:1;O2,,,,0.46723262256882,Main,,
HC genotype,Time_120,HMDB0013405,PC O-34:0,0.0166224205741016,0.0241633115898091,0.501355470945822,,Main,-0.0307376701419243,0.0639825112901274
HC genotype,Time_235,HMDB0013405,PC O-34:0,0.0577587477304359,0.0241633115898091,0.0294797987829576,,Main,0.01039865701441,0.105118838446462
HC genotype,Time_(joint),HMDB0013405,PC O-34:0,,,,0.076667758230792,Main,,
HC genotype,Time_120,HMDB0004872,Hex2Cer 42:2;O2,0.00315616561368786,0.0304522877336409,0.918740687450066,,Main,-0.0565303183442483,0.0628426495716241
HC genotype,Time_235,HMDB0004872,Hex2Cer 42:2;O2,0.0304051042318297,0.0304522877336409,0.332922545301808,,Main,-0.0292813797261066,0.0900915881897659
HC genotype,Time_(joint),HMDB0004872,Hex2Cer 42:2;O2,,,,0.559256753753018,Main,,
HC genotype,Time_120,HMDB0007218,DG 36:2,-0.00268777443439361,0.0304505497748993,0.930759925544502,,Main,-0.0623708519931962,0.056995303124409
HC genotype,Time_235,HMDB0007218,DG 36:2,0.0789303083864405,0.0304505497748993,0.0196542788649758,,Main,0.0192472308276379,0.138613385945243
HC genotype,Time_(joint),HMDB0007218,DG 36:2,,,,0.0257972258672351,Main,,
HC genotype,Time_120,HMDB0011775,Cer 40:2;O2,-0.0760313112797143,0.0239004028691324,0.00580275234245919,,Main,-0.122876100903214,-0.0291865216562148
HC genotype,Time_235,HMDB0011775,Cer 40:2;O2,-0.139397796373591,0.0239004028691324,2.5470820771912e-05,,Main,-0.186242585997091,-0.0925530067500916
HC genotype,Time_(joint),HMDB0011775,Cer 40:2;O2,,,,0.000108017479562186,Main,,
HC genotype,Time_120,HMDB0007952,PC 37:1,0.00718186880227672,0.0202940423664109,0.728041316673925,,Main,-0.0325944542358887,0.0469581918404421
HC genotype,Time_235,HMDB0007952,PC 37:1,0.0609690291081895,0.0202940423664109,0.00840408500756321,,Main,0.0211927060700241,0.100745352146355
HC genotype,Time_(joint),HMDB0007952,PC 37:1,,,,0.0162180037313781,Main,,
HC genotype,Time_120,HMDB0004974,HexCer 40:1;O2,-0.00315469611813188,0.0169671735041322,0.854836904984248,,Main,-0.0364103561862309,0.0301009639499672
HC genotype,Time_235,HMDB0004974,HexCer 40:1;O2,0.0132333119640249,0.0169671735041322,0.44681324610726,,Main,-0.0200223481040742,0.0464889720321239
HC genotype,Time_(joint),HMDB0004974,HexCer 40:1;O2,,,,0.601257748587492,Main,,
HC genotype,Time_120,HMDB0007387,DG 35:1,0.11142540632135,0.0656615829974692,0.109066949831727,,Main,-0.0172712963536894,0.24012210899639
HC genotype,Time_235,HMDB0007387,DG 35:1,0.173943679853696,0.0656615829974692,0.0175015200800457,,Main,0.0452469771786568,0.302640382528736
HC genotype,Time_(joint),HMDB0007387,DG 35:1,,,,0.0511284986775241,Main,,
HC genotype,Time_120,HMDB0240680,Cer 42:3;O2,-0.0476896419516056,0.0223476364864797,0.0486672831437254,,Main,-0.0914910094651058,-0.00388827443810542
HC genotype,Time_235,HMDB0240680,Cer 42:3;O2,-0.110152552774771,0.0223476364864797,0.000151044534445534,,Main,-0.153953920288271,-0.0663511852612707
HC genotype,Time_(joint),HMDB0240680,Cer 42:3;O2,,,,0.00060030193783763,Main,,
HC genotype,Time_120,HMDB0011243,PC P-36:1,-0.022435571923608,0.0162817806287397,0.187184609751504,,Main,-0.0543478619559378,0.00947671810872173
HC genotype,Time_235,HMDB0011243,PC P-36:1,-0.00693533745728574,0.0162817806287397,0.675814031149094,,Main,-0.0388476274896155,0.024976952575044
HC genotype,Time_(joint),HMDB0011243,PC P-36:1,,,,0.391306517885012,Main,,
HC genotype,Time_120,HMDB0009610,PE P-40:4,0.053056137910106,0.066354353587469,0.435660371359308,,Main,-0.0769983951213331,0.183110670941545
HC genotype,Time_235,HMDB0009610,PE P-40:4,0.16128603118173,0.066354353587469,0.027203585766856,,Main,0.0312314981502908,0.291340564213169
HC genotype,Time_(joint),HMDB0009610,PE P-40:4,,,,0.0744302616689566,Main,,
HC genotype,Time_120,HMDB0007169,DG 38:3,0.0665414570273055,0.0471345666082531,0.177180174056925,,Main,-0.0258422935248705,0.158925207579481
HC genotype,Time_235,HMDB0007169,DG 38:3,0.14289664350012,0.0471345666082531,0.00793696982569726,,Main,0.0505128929479443,0.235280394052296
HC genotype,Time_(joint),HMDB0007169,DG 38:3,,,,0.0263631707664205,Main,,
HC genotype,Time_120,HMDB0240614,SM 41:2;O2,0.0100861549047251,0.0183379899488209,0.589905902455998,,Main,-0.0258563053949639,0.046028615204414
HC genotype,Time_235,HMDB0240614,SM 41:2;O2,0.0313434678072453,0.0183379899488209,0.106732936770192,,Main,-0.00459899249244368,0.0672859281069342
HC genotype,Time_(joint),HMDB0240614,SM 41:2;O2,,,,0.248138518817844,Main,,
HC genotype,Time_120,HMDB0013442,PC O-40:4,0.000870954278344159,0.0203480612546366,0.966388332957478,,Main,-0.0390112457807436,0.0407531543374319
HC genotype,Time_235,HMDB0013442,PC O-40:4,0.0252267579711214,0.0203480612546366,0.232939428185066,,Main,-0.0146554420879664,0.0651089580302092
HC genotype,Time_(joint),HMDB0013442,PC O-40:4,,,,0.393044868926064,Main,,
HC genotype,Time_120,HMDB0249814,Cer 39:1;O2,-0.0434767756579248,0.0238851378290227,0.0874793180065151,,Main,-0.0902916458028094,0.00333809448695973
HC genotype,Time_235,HMDB0249814,Cer 39:1;O2,-0.0269406882129851,0.0238851378290227,0.275981238236183,,Main,-0.0737555583578697,0.0198741819318995
HC genotype,Time_(joint),HMDB0249814,Cer 39:1;O2,,,,0.216147431308128,Main,,
HC genotype,Time_120,HMDB0007100,DG 34:0,0.0573604165491569,0.074606911929358,0.453191379966446,,Main,-0.0888691308323848,0.203589963930698
HC genotype,Time_235,HMDB0007100,DG 34:0,0.0664659695322547,0.074606911929358,0.386193250851002,,Main,-0.0797635778492869,0.212695516913796
HC genotype,Time_(joint),HMDB0007100,DG 34:0,,,,0.635425712907885,Main,,
HC genotype,Time_120,HMDB0029723,Saccharin,-0.197805934328588,0.254411570618425,0.448206023339762,,Main,-0.696452612740701,0.300840744083524
HC genotype,Time_235,HMDB0029723,Saccharin,-0.718864361919094,0.254411570618425,0.0121803858828703,,Main,-1.21751104033121,-0.220217683506982
HC genotype,Time_(joint),HMDB0029723,Saccharin,,,,0.0328469418172152,Main,,
HC genotype,Time_120,HMDB0000020,p-Hydroxyphenylacetic acid,0.0496170323112819,0.05103847307012,0.345444664335186,,Main,-0.0504183749061534,0.149652439528717
HC genotype,Time_235,HMDB0000020,p-Hydroxyphenylacetic acid,0.0921675344263888,0.05103847307012,0.0897901141918341,,Main,-0.00786787279104648,0.192202941643824
HC genotype,Time_(joint),HMDB0000020,p-Hydroxyphenylacetic acid,,,,0.226132771983603,Main,,
HC genotype,Time_120,HMDB0012103,SM 40:1;O2,0.025184724257403,0.0210897734429731,0.249816628331535,,Main,-0.0161512316908243,0.0665206802056303
HC genotype,Time_235,HMDB0012103,SM 40:1;O2,0.0436209130639577,0.0210897734429731,0.0551691295534499,,Main,0.00228495711573037,0.084956869012185
HC genotype,Time_(joint),HMDB0012103,SM 40:1;O2,,,,0.148220282162759,Main,,
HC genotype,Time_120,HMDB0008269,PC 38:1,0.0303793830243095,0.0209635397915166,0.166611210217362,,Main,-0.0107091549670631,0.0714679210156821
HC genotype,Time_235,HMDB0008269,PC 38:1,0.0704124040487009,0.0209635397915166,0.00399248345011528,,Main,0.0293238660573283,0.111500942040074
HC genotype,Time_(joint),HMDB0008269,PC 38:1,,,,0.0137093259512813,Main,,
HC genotype,Time_120,HMDB0006344,alpha-N-Phenylacetylglutamine,0.0358704748009746,0.0926448976732327,0.703722767014345,,Main,-0.145713524638562,0.217454474240511
HC genotype,Time_235,HMDB0006344,alpha-N-Phenylacetylglutamine,0.207567550378163,0.0926448976732327,0.0396038098466288,,Main,0.025983550938627,0.389151549817699
HC genotype,Time_(joint),HMDB0006344,alpha-N-Phenylacetylglutamine,,,,0.0861979947112432,Main,,
HC genotype,Time_120,HMDB0011250,PC P-38:2,-0.217015994164621,0.167145905683608,0.212566210040452,,Main,-0.544621969304493,0.110589980975251
HC genotype,Time_235,HMDB0011250,PC P-38:2,-0.09447362661488,0.167145905683608,0.57976643503765,,Main,-0.422079601754752,0.233132348524992
HC genotype,Time_(joint),HMDB0011250,PC P-38:2,,,,0.446813968480609,Main,,
HC genotype,Time_120,HMDB0011382,PE P-38:2,0.00906897252619443,0.0358468280519021,0.803495883853192,,Main,-0.0611908104555337,0.0793287555079225
HC genotype,Time_235,HMDB0011382,PE P-38:2,0.0233748203802475,0.0358468280519021,0.523610623553601,,Main,-0.0468849626014806,0.0936346033619756
HC genotype,Time_(joint),HMDB0011382,PE P-38:2,,,,0.807922403657364,Main,,
HC genotype,Time_120,HMDB0012107,SM 42:2;O2,0.0146132465524702,0.0210477485355826,0.497458354892425,,Main,-0.0266403405772716,0.055866833682212
HC genotype,Time_235,HMDB0012107,SM 42:2;O2,0.0408138953524826,0.0210477485355826,0.0703315921976215,,Main,-0.000439691777259221,0.0820674824822244
HC genotype,Time_(joint),HMDB0012107,SM 42:2;O2,,,,0.177386464942345,Main,,
HC genotype,Time_120,HMDB0013431,PC O-38:2,-0.034660959134846,0.0333260668283315,0.313776460305353,,Main,-0.0999800501183758,0.0306581318486838
HC genotype,Time_235,HMDB0013431,PC O-38:2,0.0230970533075221,0.0333260668283315,0.498207939360061,,Main,-0.0422220376760077,0.0884161442910519
HC genotype,Time_(joint),HMDB0013431,PC O-38:2,,,,0.248270368203119,Main,,
