Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome,model
Genotype_(joint),,,,2.13031487825253e-05,0.996408128515017,Main,,,HMDB0000950,"NA (NA, NA)",,,0.996,Cer 41:1;O2,primary
Genotype_ x time(joint),,,,3.56689202724516,0.0407643674170549,Interaction,,,HMDB0000950,"NA (NA, NA)",,,0.041*,Cer 41:1;O2,primary
Genotype_HC Genotype_,-0.243555562888525,0.273625782353929,0.396005854308756,,,Main,-0.779862096302226,0.292750970525176,HMDB0011768,"-0.2 (-0.8, 0.3)",0.396,0.396,,Cer 42:0;O2,bmi
Genotype_HC Genotype_ x time120,0.0294072443701395,0.0536610129419018,0.587733922765234,,,Interaction,-0.0757683409959881,0.134582829736267,HMDB0011768,"0 (-0.1, 0.1)",0.588,0.588,,Cer 42:0;O2,bmi
Genotype_HC Genotype_ x time235,0.0516206574515053,0.0536610129419018,0.343751359378733,,,Interaction,-0.0535549279146223,0.156796242817633,HMDB0011768,"0.1 (-0.1, 0.2)",0.344,0.344,,Cer 42:0;O2,bmi
Genotype_(joint),,,,0.634440562560618,0.44623260357758,Main,,,HMDB0011768,"NA (NA, NA)",,,0.446,Cer 42:0;O2,bmi
Genotype_ x time(joint),,,,0.465695201310842,0.632160248992194,Interaction,,,HMDB0011768,"NA (NA, NA)",,,0.632,Cer 42:0;O2,bmi
Genotype_HC Genotype_,-0.243881783846004,0.259901060027409,0.369561188821473,,,Main,-0.753287861499726,0.265524293807717,HMDB0011768,"-0.2 (-0.8, 0.3)",0.37,0.37,,Cer 42:0;O2,primary
Genotype_HC Genotype_ x time120,0.0294072443701169,0.0536610129588353,0.587733922881986,,,Interaction,-0.0757683410292002,0.134582829769434,HMDB0011768,"0 (-0.1, 0.1)",0.588,0.588,,Cer 42:0;O2,primary
Genotype_HC Genotype_ x time235,0.0516206574514711,0.0536610129588352,0.343751359526788,,,Interaction,-0.053554927947846,0.156796242850788,HMDB0011768,"0.1 (-0.1, 0.2)",0.344,0.344,,Cer 42:0;O2,primary
Genotype_(joint),,,,0.706330903421409,0.420305082794095,Main,,,HMDB0011768,"NA (NA, NA)",,,0.42,Cer 42:0;O2,primary
Genotype_ x time(joint),,,,0.465695201016308,0.632160249171649,Interaction,,,HMDB0011768,"NA (NA, NA)",,,0.632,Cer 42:0;O2,primary
Genotype_HC Genotype_,-0.139299058726299,0.283746684747235,0.63515223949678,,,Main,-0.69544256083088,0.416844443378282,HMDB0004956,"-0.1 (-0.7, 0.4)",0.635,0.635,,Cer 42:1;O2,bmi
Genotype_HC Genotype_ x time120,0.0179262132800063,0.0278010406592105,0.523955019789113,,,Interaction,-0.0365638264120464,0.0724162529720589,HMDB0004956,"0 (0, 0.1)",0.524,0.524,,Cer 42:1;O2,bmi
Genotype_HC Genotype_ x time235,0.0677729797214218,0.0278010406592105,0.0209169283057461,,,Interaction,0.0132829400293691,0.122263019413474,HMDB0004956,"0.1 (0, 0.1)",0.021,0.021*,,Cer 42:1;O2,bmi
Genotype_(joint),,,,0.152785394590583,0.704979376565683,Main,,,HMDB0004956,"NA (NA, NA)",,,0.705,Cer 42:1;O2,bmi
Genotype_ x time(joint),,,,3.19111851378613,0.0553959272360937,Interaction,,,HMDB0004956,"NA (NA, NA)",,,0.055,Cer 42:1;O2,bmi
Genotype_HC Genotype_,-0.138843882243452,0.26949611465476,0.617532763564438,,,Main,-0.667056266966782,0.389368502479877,HMDB0004956,"-0.1 (-0.7, 0.4)",0.618,0.618,,Cer 42:1;O2,primary
Genotype_HC Genotype_ x time120,0.0179262132799409,0.0278010404868228,0.523955017205636,,,Interaction,-0.0365638260742319,0.0724162526341137,HMDB0004956,"0 (0, 0.1)",0.524,0.524,,Cer 42:1;O2,primary
Genotype_HC Genotype_ x time235,0.0677729797213504,0.0278010404868228,0.0209169275406684,,,Interaction,0.0132829403671776,0.122263019075523,HMDB0004956,"0.1 (0, 0.1)",0.021,0.021*,,Cer 42:1;O2,primary
Genotype_(joint),,,,0.168039744600061,0.690503564267272,Main,,,HMDB0004956,"NA (NA, NA)",,,0.691,Cer 42:1;O2,primary
Genotype_ x time(joint),,,,3.19111855335543,0.0553959253410686,Interaction,,,HMDB0004956,"NA (NA, NA)",,,0.055,Cer 42:1;O2,primary
Genotype_HC Genotype_,0.141153873142975,0.244963383774424,0.578365344045641,,,Main,-0.338974359054897,0.621282105340846,HMDB0004953,"0.1 (-0.3, 0.6)",0.578,0.578,,Cer 42:2;O2_A,bmi
Genotype_HC Genotype_ x time120,0.0395263282659775,0.038058131255822,0.307299932280034,,,Interaction,-0.0350676089954336,0.114120265527389,HMDB0004953,"0 (0, 0.1)",0.307,0.307,,Cer 42:2;O2_A,bmi
Genotype_HC Genotype_ x time235,0.101872699466229,0.038058131255822,0.0119323586496287,,,Interaction,0.0272787622048181,0.17646663672764,HMDB0004953,"0.1 (0, 0.2)",0.012,0.012*,,Cer 42:2;O2_A,bmi
Genotype_(joint),,,,0.595588301422655,0.460048958550743,Main,,,HMDB0004953,"NA (NA, NA)",,,0.46,Cer 42:2;O2_A,bmi
Genotype_ x time(joint),,,,3.64245930540566,0.0383548977738761,Interaction,,,HMDB0004953,"NA (NA, NA)",,,0.038*,Cer 42:2;O2_A,bmi
Genotype_HC Genotype_,0.138992066114624,0.239709140215531,0.574645165009548,,,Main,-0.330837848707817,0.608821980937066,HMDB0004953,"0.1 (-0.3, 0.6)",0.575,0.575,,Cer 42:2;O2_A,primary
Genotype_HC Genotype_ x time120,0.0395263282660025,0.0380581310342089,0.307299929459159,,,Interaction,-0.035067608561047,0.114120265093052,HMDB0004953,"0 (0, 0.1)",0.307,0.307,,Cer 42:2;O2_A,primary
Genotype_HC Genotype_ x time235,0.101872699466254,0.0380581310342089,0.0119323581715892,,,Interaction,0.0272787626392047,0.176466636293304,HMDB0004953,"0.1 (0, 0.2)",0.012,0.012*,,Cer 42:2;O2_A,primary
Genotype_(joint),,,,0.608002136456072,0.453600233201518,Main,,,HMDB0004953,"NA (NA, NA)",,,0.454,Cer 42:2;O2_A,primary
Genotype_ x time(joint),,,,3.64245934782748,0.038354896382898,Interaction,,,HMDB0004953,"NA (NA, NA)",,,0.038*,Cer 42:2;O2_A,primary
Genotype_HC Genotype_,0.302069307810161,0.243861038078408,0.245761469315543,,,Main,-0.175898326823518,0.78003694244384,HMDB0240680,"0.3 (-0.2, 0.8)",0.246,0.246,,Cer 42:3;O2,bmi
Genotype_HC Genotype_ x time120,0.0453209518339521,0.0552976248970511,0.418918263496754,,,Interaction,-0.0630623929642681,0.153704296632172,HMDB0240680,"0 (-0.1, 0.2)",0.419,0.419,,Cer 42:3;O2,bmi
Genotype_HC Genotype_ x time235,0.0905275144141915,0.0552976248970511,0.112059341635371,,,Interaction,-0.0178558303840286,0.198910859212412,HMDB0240680,"0.1 (0, 0.2)",0.112,0.112,,Cer 42:3;O2,bmi
Genotype_(joint),,,,2.06425504707148,0.184626401523213,Main,,,HMDB0240680,"NA (NA, NA)",,,0.185,Cer 42:3;O2,bmi
Genotype_ x time(joint),,,,1.34004218878557,0.277058374520428,Interaction,,,HMDB0240680,"NA (NA, NA)",,,0.277,Cer 42:3;O2,bmi
Genotype_HC Genotype_,0.300394281887335,0.23593476333816,0.230730631464226,,,Main,-0.16203785425546,0.762826418030129,HMDB0240680,"0.3 (-0.2, 0.8)",0.231,0.231,,Cer 42:3;O2,primary
Genotype_HC Genotype_ x time120,0.0453209518339438,0.0552976276511561,0.418918286738616,,,Interaction,-0.0630623983623223,0.15370430203021,HMDB0240680,"0 (-0.1, 0.2)",0.419,0.419,,Cer 42:3;O2,primary
Genotype_HC Genotype_ x time235,0.0905275144141788,0.0552976276511561,0.112059359290545,,,Interaction,-0.0178558357820873,0.198910864610445,HMDB0240680,"0.1 (0, 0.2)",0.112,0.112,,Cer 42:3;O2,primary
Genotype_(joint),,,,2.18667048906415,0.170004507869639,Main,,,HMDB0240680,"NA (NA, NA)",,,0.17,Cer 42:3;O2,primary
Genotype_ x time(joint),,,,1.34004205530326,0.277058409222358,Interaction,,,HMDB0240680,"NA (NA, NA)",,,0.277,Cer 42:3;O2,primary
Genotype_HC Genotype_,-0.467262601570397,0.321417241541759,0.179743493665001,,,Main,-1.09724039499224,0.16271519185145,HMDB0004957,"-0.5 (-1.1, 0.2)",0.18,0.18,,Cer 43:1;O2,bmi
Genotype_HC Genotype_ x time120,0.0310395503623756,0.0332154324664055,0.357511635534494,,,Interaction,-0.0340626972717791,0.0961417979965303,HMDB0004957,"0 (0, 0.1)",0.358,0.358,,Cer 43:1;O2,bmi
Genotype_HC Genotype_ x time235,0.0800637713155865,0.0332154324664055,0.0222694258767697,,,Interaction,0.0149615236814318,0.145166018949741,HMDB0004957,"0.1 (0, 0.1)",0.022,0.022*,,Cer 43:1;O2,bmi
Genotype_(joint),,,,1.79807613634827,0.212803668437509,Main,,,HMDB0004957,"NA (NA, NA)",,,0.213,Cer 43:1;O2,bmi
Genotype_ x time(joint),,,,2.95397020428982,0.0674468051518461,Interaction,,,HMDB0004957,"NA (NA, NA)",,,0.067,Cer 43:1;O2,bmi
Genotype_HC Genotype_,-0.471955780477531,0.330285633447055,0.183307775045647,,,Main,-1.11931562203376,0.175404061078698,HMDB0004957,"-0.5 (-1.1, 0.2)",0.183,0.183,,Cer 43:1;O2,primary
Genotype_HC Genotype_ x time120,0.0310395503623866,0.0332154329718079,0.357511642866152,,,Interaction,-0.0340626982623568,0.09614179898713,HMDB0004957,"0 (0, 0.1)",0.358,0.358,,Cer 43:1;O2,primary
Genotype_HC Genotype_ x time235,0.08006377131561,0.0332154329718079,0.0222694278510578,,,Interaction,0.0149615226908666,0.145166019940353,HMDB0004957,"0.1 (0, 0.1)",0.022,0.022*,,Cer 43:1;O2,primary
Genotype_(joint),,,,1.73983724757937,0.216564669918968,Main,,,HMDB0004957,"NA (NA, NA)",,,0.217,Cer 43:1;O2,primary
Genotype_ x time(joint),,,,2.95397011439696,0.0674468104673363,Interaction,,,HMDB0004957,"NA (NA, NA)",,,0.067,Cer 43:1;O2,primary
Genotype_HC Genotype_,-0.393834011969434,0.297357597570201,0.217563484802842,,,Main,-0.976654903207029,0.188986879268161,HMDB0004955,"-0.4 (-1, 0.2)",0.218,0.218,,Cer 44:1;O2,bmi
Genotype_HC Genotype_ x time120,0.0368851012376849,0.0428758199925232,0.396459275731037,,,Interaction,-0.0471515059476606,0.12092170842303,HMDB0004955,"0 (0, 0.1)",0.396,0.396,,Cer 44:1;O2,bmi
Genotype_HC Genotype_ x time235,0.1197210177313,0.0428758199925232,0.00902187788668573,,,Interaction,0.0356844105459546,0.203757624916646,HMDB0004955,"0.1 (0, 0.2)",9.0e-03,9.0e-03**,,Cer 44:1;O2,bmi
Genotype_(joint),,,,1.32916585051084,0.278653646499939,Main,,,HMDB0004955,"NA (NA, NA)",,,0.279,Cer 44:1;O2,bmi
Genotype_ x time(joint),,,,4.08982590361699,0.026874436704895,Interaction,,,HMDB0004955,"NA (NA, NA)",,,0.027*,Cer 44:1;O2,bmi
Genotype_HC Genotype_,-0.39706648833301,0.295399866515118,0.208189552696353,,,Main,-0.976050226702642,0.181917250036622,HMDB0004955,"-0.4 (-1, 0.2)",0.208,0.208,,Cer 44:1;O2,primary
Genotype_HC Genotype_ x time120,0.0368851012376612,0.042875819860739,0.396459274264857,,,Interaction,-0.0471515056893872,0.12092170816471,HMDB0004955,"0 (0, 0.1)",0.396,0.396,,Cer 44:1;O2,primary
Genotype_HC Genotype_ x time235,0.119721017731267,0.0428758198607389,0.00902187767708983,,,Interaction,0.0356844108042192,0.203757624658316,HMDB0004955,"0.1 (0, 0.2)",9.0e-03,9.0e-03**,,Cer 44:1;O2,primary
Genotype_(joint),,,,1.37257728239414,0.268526988533089,Main,,,HMDB0004955,"NA (NA, NA)",,,0.269,Cer 44:1;O2,primary
Genotype_ x time(joint),,,,4.08982592875619,0.0268744361218346,Interaction,,,HMDB0004955,"NA (NA, NA)",,,0.027*,Cer 44:1;O2,primary
Genotype_HC Genotype_,-0.043777277191798,0.706956484512569,0.951612321940406,,,Main,-1.42941198683643,1.34185743245284,HMDB0000518,"0 (-1.4, 1.3)",0.952,0.952,,Chenodeoxycholic acid,bmi
Genotype_HC Genotype_ x time120,-0.538316373788691,0.476397862741642,0.2674418045568,,,Interaction,-1.47205618476231,0.395423437184926,HMDB0000518,"-0.5 (-1.5, 0.4)",0.267,0.267,,Chenodeoxycholic acid,bmi
Genotype_HC Genotype_ x time235,-0.336277677366164,0.476397862741642,0.485711244852291,,,Interaction,-1.27001748833978,0.597462133607453,HMDB0000518,"-0.3 (-1.3, 0.6)",0.486,0.486,,Chenodeoxycholic acid,bmi
Genotype_(joint),,,,0.265084551412477,0.619053563607545,Main,,,HMDB0000518,"NA (NA, NA)",,,0.619,Chenodeoxycholic acid,bmi
Genotype_ x time(joint),,,,0.651651911533166,0.528404094989736,Interaction,,,HMDB0000518,"NA (NA, NA)",,,0.528,Chenodeoxycholic acid,bmi
Genotype_HC Genotype_,-0.0485874624833264,0.688636406313179,0.944749870627876,,,Main,-1.39831481885716,1.3011398938905,HMDB0000518,"0 (-1.4, 1.3)",0.945,0.945,,Chenodeoxycholic acid,primary
Genotype_HC Genotype_ x time120,-0.538316373788679,0.476397864691765,0.267441806520359,,,Interaction,-1.47205618858454,0.39542344100718,HMDB0000518,"-0.5 (-1.5, 0.4)",0.267,0.267,,Chenodeoxycholic acid,primary
Genotype_HC Genotype_ x time235,-0.336277677366153,0.476397864691765,0.485711246651275,,,Interaction,-1.27001749216201,0.597462137429706,HMDB0000518,"-0.3 (-1.3, 0.6)",0.486,0.486,,Chenodeoxycholic acid,primary
Genotype_(joint),,,,0.290240696760875,0.601852349404422,Main,,,HMDB0000518,"NA (NA, NA)",,,0.602,Chenodeoxycholic acid,primary
Genotype_ x time(joint),,,,0.651651906198092,0.528404097727708,Interaction,,,HMDB0000518,"NA (NA, NA)",,,0.528,Chenodeoxycholic acid,primary
Genotype_HC Genotype_,-0.0601270414942668,0.0773132218307345,0.454884023201282,,,Main,-0.211660956282506,0.0914068732939728,HMDB0000921,"-0.1 (-0.2, 0.1)",0.455,0.455,,Cholestenone,bmi
Genotype_HC Genotype_ x time120,0.0064872309235653,0.029339738298852,0.82650691199159,,,Interaction,-0.0510186561421846,0.0639931179893152,HMDB0000921,"0 (-0.1, 0.1)",0.827,0.827,,Cholestenone,bmi
Genotype_HC Genotype_ x time235,0.069530550822354,0.029339738298852,0.024424872716957,,,Interaction,0.0120246637566041,0.127036437888104,HMDB0000921,"0.1 (0, 0.1)",0.024,0.024*,,Cholestenone,bmi
Genotype_(joint),,,,0.212672415472423,0.655622907235533,Main,,,HMDB0000921,"NA (NA, NA)",,,0.656,Cholestenone,bmi
Genotype_ x time(joint),,,,3.42736744942766,0.0456477573933073,Interaction,,,HMDB0000921,"NA (NA, NA)",,,0.046*,Cholestenone,bmi
Genotype_HC Genotype_,-0.0610323005831173,0.0774990424399359,0.447584087254138,,,Main,-0.212930423765392,0.090865822599157,HMDB0000921,"-0.1 (-0.2, 0.1)",0.448,0.448,,Cholestenone,primary
Genotype_HC Genotype_ x time120,0.00648723092356868,0.0293397382900304,0.826506911940046,,,Interaction,-0.0510186561248908,0.0639931179720282,HMDB0000921,"0 (-0.1, 0.1)",0.827,0.827,,Cholestenone,primary
Genotype_HC Genotype_ x time235,0.0695305508223597,0.0293397382900304,0.0244248726762713,,,Interaction,0.0120246637739002,0.127036437870819,HMDB0000921,"0.1 (0, 0.1)",0.024,0.024*,,Cholestenone,primary
Genotype_(joint),,,,0.22275875332886,0.647076023183009,Main,,,HMDB0000921,"NA (NA, NA)",,,0.647,Cholestenone,primary
Genotype_ x time(joint),,,,3.42736745148913,0.0456477573145112,Interaction,,,HMDB0000921,"NA (NA, NA)",,,0.046*,Cholestenone,primary
Genotype_HC Genotype_,0.0541277248155589,0.215990939044132,0.807611808754233,,,Main,-0.369214515710939,0.477469965342057,HMDB0000067,"0.1 (-0.4, 0.5)",0.808,0.808,,Cholesterol,bmi
Genotype_HC Genotype_ x time120,0.0236478488220771,0.041881715985061,0.576520524890982,,,Interaction,-0.0584403145086425,0.105736012152797,HMDB0000067,"0 (-0.1, 0.1)",0.577,0.577,,Cholesterol,bmi
Genotype_HC Genotype_ x time235,0.0851389039696573,0.041881715985061,0.0510008457330401,,,Interaction,0.0030507406389378,0.167227067300377,HMDB0000067,"0.1 (0, 0.2)",0.051,0.051,,Cholesterol,bmi
Genotype_(joint),,,,0.177356401590163,0.683534017811825,Main,,,HMDB0000067,"NA (NA, NA)",,,0.684,Cholesterol,bmi
Genotype_ x time(joint),,,,2.20229710458995,0.128106811770283,Interaction,,,HMDB0000067,"NA (NA, NA)",,,0.128,Cholesterol,bmi
Genotype_HC Genotype_,0.0537063270399077,0.205351802082248,0.798845506184578,,,Main,-0.348783205041298,0.456195859121114,HMDB0000067,"0.1 (-0.3, 0.5)",0.799,0.799,,Cholesterol,primary
Genotype_HC Genotype_ x time120,0.0236478488220866,0.0418817156961745,0.576520522247952,,,Interaction,-0.0584403139424155,0.105736011586589,HMDB0000067,"0 (-0.1, 0.1)",0.577,0.577,,Cholesterol,primary
Genotype_HC Genotype_ x time235,0.0851389039696736,0.0418817156961746,0.0510008441740523,,,Interaction,0.00305074120517143,0.167227066734176,HMDB0000067,"0.1 (0, 0.2)",0.051,0.051,,Cholesterol,primary
Genotype_(joint),,,,0.194647315610409,0.668462519563567,Main,,,HMDB0000067,"NA (NA, NA)",,,0.668,Cholesterol,primary
Genotype_ x time(joint),,,,2.20229713497218,0.128106808265882,Interaction,,,HMDB0000067,"NA (NA, NA)",,,0.128,Cholesterol,primary
Genotype_HC Genotype_,0.0116902357845329,0.468305476231568,0.980477404363981,,,Main,-0.906188497629339,0.929568969198405,HMDB0000619,"0 (-0.9, 0.9)",0.98,0.98,,Cholic acid,bmi
Genotype_HC Genotype_ x time120,0.0698863673485102,0.321680362989517,0.829481165432441,,,Interaction,-0.560607144110943,0.700379878807964,HMDB0000619,"0.1 (-0.6, 0.7)",0.829,0.829,,Cholic acid,bmi
Genotype_HC Genotype_ x time235,0.100760705504363,0.321680362989517,0.756271531413503,,,Interaction,-0.52973280595509,0.731254216963816,HMDB0000619,"0.1 (-0.5, 0.7)",0.756,0.756,,Cholic acid,bmi
Genotype_(joint),,,,0.025442426780792,0.876791851415907,Main,,,HMDB0000619,"NA (NA, NA)",,,0.877,Cholic acid,bmi
Genotype_ x time(joint),,,,0.0515085632476986,0.949879326255803,Interaction,,,HMDB0000619,"NA (NA, NA)",,,0.95,Cholic acid,bmi
Genotype_HC Genotype_,0.0090104718994418,0.453927498005701,0.984438594154889,,,Main,-0.880687424191733,0.898708367990616,HMDB0000619,"0 (-0.9, 0.9)",0.984,0.984,,Cholic acid,primary
Genotype_HC Genotype_ x time120,0.0698863673484933,0.32168036430198,0.829481166124604,,,Interaction,-0.560607146683388,0.700379881380375,HMDB0000619,"0.1 (-0.6, 0.7)",0.829,0.829,,Cholic acid,primary
Genotype_HC Genotype_ x time235,0.100760705504355,0.32168036430198,0.756271532386051,,,Interaction,-0.529732808527527,0.731254219536237,HMDB0000619,"0.1 (-0.5, 0.7)",0.756,0.756,,Cholic acid,primary
Genotype_(joint),,,,0.0253085188743568,0.876767821863417,Main,,,HMDB0000619,"NA (NA, NA)",,,0.877,Cholic acid,primary
Genotype_ x time(joint),,,,0.0515085628273751,0.94987932665413,Interaction,,,HMDB0000619,"NA (NA, NA)",,,0.95,Cholic acid,primary
Genotype_HC Genotype_,-0.474813662484,0.340764141697802,0.193064023432796,,,Main,-1.14271138021169,0.193084055243692,HMDB0001565,"-0.5 (-1.1, 0.2)",0.193,0.193,,Choline phosphate,bmi
Genotype_HC Genotype_ x time120,0.0832213520969405,0.147234195169792,0.57611963485635,,,Interaction,-0.205357670435853,0.371800374629733,HMDB0001565,"0.1 (-0.2, 0.4)",0.576,0.576,,Choline phosphate,bmi
Genotype_HC Genotype_ x time235,0.16038619500414,0.147234195169792,0.28468304115163,,,Interaction,-0.128192827528653,0.448965217536933,HMDB0001565,"0.2 (-0.1, 0.4)",0.285,0.285,,Choline phosphate,bmi
Genotype_(joint),,,,1.42275435570952,0.263447329049584,Main,,,HMDB0001565,"NA (NA, NA)",,,0.263,Choline phosphate,bmi
Genotype_ x time(joint),,,,0.593598754530385,0.558693425313649,Interaction,,,HMDB0001565,"NA (NA, NA)",,,0.559,Choline phosphate,bmi
Genotype_HC Genotype_,-0.473363605316212,0.326730802474422,0.174145365930961,,,Main,-1.11375597816608,0.167028767533655,HMDB0001565,"-0.5 (-1.1, 0.2)",0.174,0.174,,Choline phosphate,primary
Genotype_HC Genotype_ x time120,0.0832213520969355,0.147234195153898,0.576119634814028,,,Interaction,-0.205357670404704,0.371800374598575,HMDB0001565,"0.1 (-0.2, 0.4)",0.576,0.576,,Choline phosphate,primary
Genotype_HC Genotype_ x time235,0.160386195004143,0.147234195153898,0.284683041098093,,,Interaction,-0.128192827497496,0.448965217505783,HMDB0001565,"0.2 (-0.1, 0.4)",0.285,0.285,,Choline phosphate,primary
Genotype_(joint),,,,1.54521137576629,0.242199163850293,Main,,,HMDB0001565,"NA (NA, NA)",,,0.242,Choline phosphate,primary
Genotype_ x time(joint),,,,0.593598754658574,0.558693425242729,Interaction,,,HMDB0001565,"NA (NA, NA)",,,0.559,Choline phosphate,primary
Genotype_HC Genotype_,1.31735532758868,0.885532886790541,0.168306839699858,,,Main,-0.418289130520783,3.05299978569814,HMDB0011621,"1.3 (-0.4, 3.1)",0.168,0.168,,Cinnamoylglycine,bmi
Genotype_HC Genotype_ x time120,-0.169148235596068,0.313653213767256,0.593670933925728,,,Interaction,-0.783908534579889,0.445612063387753,HMDB0011621,"-0.2 (-0.8, 0.4)",0.594,0.594,,Cinnamoylglycine,bmi
Genotype_HC Genotype_ x time235,-0.40789812444921,0.313653213767256,0.203340317662467,,,Interaction,-1.02265842343303,0.206862174534612,HMDB0011621,"-0.4 (-1, 0.2)",0.203,0.203,,Cinnamoylglycine,bmi
Genotype_(joint),,,,1.68442995512919,0.226611123529071,Main,,,HMDB0011621,"NA (NA, NA)",,,0.227,Cinnamoylglycine,bmi
Genotype_ x time(joint),,,,0.853824526778702,0.435871206238795,Interaction,,,HMDB0011621,"NA (NA, NA)",,,0.436,Cinnamoylglycine,bmi
Genotype_HC Genotype_,1.3230771935896,0.856066245496157,0.150610497044698,,,Main,-0.354812647582865,3.00096703476207,HMDB0011621,"1.3 (-0.4, 3)",0.151,0.151,,Cinnamoylglycine,primary
Genotype_HC Genotype_ x time120,-0.169148235596071,0.313653215076156,0.593670935476938,,,Interaction,-0.783908537145336,0.445612065953194,HMDB0011621,"-0.2 (-0.8, 0.4)",0.594,0.594,,Cinnamoylglycine,primary
Genotype_HC Genotype_ x time235,-0.407898124449214,0.313653215076156,0.20334031954166,,,Interaction,-1.02265842599848,0.206862177100051,HMDB0011621,"-0.4 (-1, 0.2)",0.203,0.203,,Cinnamoylglycine,primary
Genotype_(joint),,,,1.82634762145127,0.2063381409528,Main,,,HMDB0011621,"NA (NA, NA)",,,0.206,Cinnamoylglycine,primary
Genotype_ x time(joint),,,,0.853824519652564,0.435871209221764,Interaction,,,HMDB0011621,"NA (NA, NA)",,,0.436,Cinnamoylglycine,primary
Genotype_HC Genotype_,0.254880639476325,0.0625940520267353,0.000632316442064158,,,Main,0.132196297503923,0.377564981448726,HMDB0000094,"0.3 (0.1, 0.4)",6.3e-04,6.3e-04***,,Citric and or Isocitric acid,bmi
Genotype_HC Genotype_ x time120,-0.0226256608798568,0.0635524684624601,0.724320469044614,,,Interaction,-0.147188499066279,0.101937177306565,HMDB0000094,"0 (-0.1, 0.1)",0.724,0.724,,Citric and or Isocitric acid,bmi
Genotype_HC Genotype_ x time235,-0.109794926600486,0.0635524684624601,0.0943384189067194,,,Interaction,-0.234357764786908,0.0147679115859358,HMDB0000094,"-0.1 (-0.2, 0)",0.094,0.094,,Citric and or Isocitric acid,bmi
Genotype_(joint),,,,17.2692634873347,0.00246366529656156,Main,,,HMDB0000094,"NA (NA, NA)",,,2.5e-03**,Citric and or Isocitric acid,bmi
Genotype_ x time(joint),,,,1.66425232968153,0.20633903251183,Interaction,,,HMDB0000094,"NA (NA, NA)",,,0.206,Citric and or Isocitric acid,bmi
Genotype_HC Genotype_,0.254710694216952,0.0606763600466491,0.000361074276602299,,,Main,0.13578502852552,0.373636359908384,HMDB0000094,"0.3 (0.1, 0.4)",3.6e-04,3.6e-04***,,Citric and or Isocitric acid,primary
Genotype_HC Genotype_ x time120,-0.0226256608798585,0.0635524684813604,0.724320469125547,,,Interaction,-0.147188499103325,0.101937177343608,HMDB0000094,"0 (-0.1, 0.1)",0.724,0.724,,Citric and or Isocitric acid,primary
Genotype_HC Genotype_ x time235,-0.10979492660049,0.0635524684813604,0.094338419011689,,,Interaction,-0.234357764823956,0.0147679116229768,HMDB0000094,"-0.1 (-0.2, 0)",0.094,0.094,,Citric and or Isocitric acid,primary
Genotype_(joint),,,,18.9867028088256,0.00142700590449387,Main,,,HMDB0000094,"NA (NA, NA)",,,1.4e-03**,Citric and or Isocitric acid,primary
Genotype_ x time(joint),,,,1.66425232869174,0.206339032713287,Interaction,,,HMDB0000094,"NA (NA, NA)",,,0.206,Citric and or Isocitric acid,primary
Genotype_HC Genotype_,0.113068443030364,0.117930022905853,0.357159994801742,,,Main,-0.118074401865108,0.344211287925837,HMDB0000904,"0.1 (-0.1, 0.3)",0.357,0.357,,Citrulline,bmi
Genotype_HC Genotype_ x time120,-0.0570293744295005,0.071745462114985,0.432924486780127,,,Interaction,-0.197650480174871,0.0835917313158701,HMDB0000904,"-0.1 (-0.2, 0.1)",0.433,0.433,,Citrulline,bmi
Genotype_HC Genotype_ x time235,-0.0955743163785149,0.071745462114985,0.192849317713863,,,Interaction,-0.236195422123886,0.0450467893668558,HMDB0000904,"-0.1 (-0.2, 0)",0.193,0.193,,Citrulline,bmi
Genotype_(joint),,,,0.317339898745741,0.586969129792665,Main,,,HMDB0000904,"NA (NA, NA)",,,0.587,Citrulline,bmi
Genotype_ x time(joint),,,,0.898348778217378,0.417915598385135,Interaction,,,HMDB0000904,"NA (NA, NA)",,,0.418,Citrulline,bmi
Genotype_HC Genotype_,0.112741662300379,0.112981455822047,0.336226855409912,,,Main,-0.108701991110833,0.334185315711591,HMDB0000904,"0.1 (-0.1, 0.3)",0.336,0.336,,Citrulline,primary
Genotype_HC Genotype_ x time120,-0.057029374429494,0.0717454618282783,0.432924484930509,,,Interaction,-0.197650479612919,0.0835917307539314,HMDB0000904,"-0.1 (-0.2, 0.1)",0.433,0.433,,Citrulline,primary
Genotype_HC Genotype_ x time235,-0.0955743163785068,0.0717454618282783,0.192849315936838,,,Interaction,-0.236195421561932,0.0450467888049185,HMDB0000904,"-0.1 (-0.2, 0)",0.193,0.193,,Citrulline,primary
Genotype_(joint),,,,0.34648941362239,0.569163413145169,Main,,,HMDB0000904,"NA (NA, NA)",,,0.569,Citrulline,primary
Genotype_ x time(joint),,,,0.898348785397124,0.417915595503447,Interaction,,,HMDB0000904,"NA (NA, NA)",,,0.418,Citrulline,primary
Genotype_HC Genotype_,0.0141926110338185,0.0322094145600682,0.666106743993661,,,Main,-0.0489378415039152,0.0773230635715522,HMDB0000063,"0 (0, 0.1)",0.666,0.666,,Cortisol,bmi
Genotype_HC Genotype_ x time120,-0.00262429959749697,0.0257295622939312,0.919438941503396,,,Interaction,-0.053054241693602,0.0478056424986081,HMDB0000063,"0 (-0.1, 0)",0.919,0.919,,Cortisol,bmi
