Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome
Time_(joint),,,,4.27992248821602,0.0225350782414267,Main,,,DG 36:3,"NA (NA, NA)",,,0.023*,HMDB0007219
Time_120,-0.0160221386999102,0.0155052072945045,0.309191907906325,,,Main,-0.046412344997139,0.0143680675973187,PE P-40:6 or PE O-40:7,"0 (0, 0)",0.309,0.309,,HMDB0011394
Time_235,-0.0143666880460383,0.0155052072945045,0.361084831834912,,,Main,-0.0447568943432671,0.0160235182511906,PE P-40:6 or PE O-40:7,"0 (0, 0)",0.361,0.361,,HMDB0011394
Time_(joint),,,,0.645908177431858,0.53088420987708,Main,,,PE P-40:6 or PE O-40:7,"NA (NA, NA)",,,0.531,HMDB0011394
Time_120,0.0114227520772385,0.0129484523529894,0.384263108134072,,,Main,-0.0139562145346208,0.0368017186890978,PC 37:2,"0 (0, 0)",0.384,0.384,,HMDB0256163
Time_235,0.0530046929394641,0.0129484523529894,0.000269110781983409,,,Main,0.0276257263276048,0.0783836595513234,PC 37:2,"0.1 (0, 0.1)",2.7e-04,2.7e-04***,,HMDB0256163
Time_(joint),,,,9.28261004222599,0.000661864701535672,Main,,,PC 37:2,"NA (NA, NA)",,,6.6e-04***,HMDB0256163
Time_120,0.0594558543165842,0.0400257059739502,0.14721275756009,,,Main,-0.018994529392358,0.137906238025527,DG 32:0,"0.1 (0, 0.1)",0.147,0.147,,HMDB0007098
Time_235,0.023272810783011,0.0400257059739502,0.565013135612063,,,Main,-0.0551775729259313,0.101723194491953,DG 32:0,"0 (-0.1, 0.1)",0.565,0.565,,HMDB0007098
Time_(joint),,,,1.1206081737999,0.338542123555375,Main,,,DG 32:0,"NA (NA, NA)",,,0.339,HMDB0007098
Time_120,0.0158062296370546,0.0243065156184379,0.520148143031674,,,Main,-0.0318345409750837,0.0634470002491929,PC 42:6,"0 (0, 0.1)",0.52,0.52,,HMDB0008702
Time_235,0.013347799552973,0.0243065156184379,0.586717910750296,,,Main,-0.0342929710591653,0.0609885701651112,PC 42:6,"0 (0, 0.1)",0.587,0.587,,HMDB0008702
Time_(joint),,,,0.244888063284257,0.78424571070973,Main,,,PC 42:6,"NA (NA, NA)",,,0.784,HMDB0008702
Time_120,-0.0163107084765168,0.0156699715426606,0.305727686062113,,,Main,-0.0470238527001317,0.014402435747098,PC P-40:5 or PC O-40:6_C,"0 (0, 0)",0.306,0.306,,HMDB0011261
Time_235,-0.00542957371397324,0.0156699715426606,0.731238540576502,,,Main,-0.0361427179375881,0.0252835705096416,PC P-40:5 or PC O-40:6_C,"0 (0, 0)",0.731,0.731,,HMDB0011261
Time_(joint),,,,0.561897689667386,0.575649541109023,Main,,,PC P-40:5 or PC O-40:6_C,"NA (NA, NA)",,,0.576,HMDB0011261
Time_120,0.169118514537176,0.15004639023016,0.268077774949291,,,Main,-0.124972410313937,0.463209439388289,DG 35:2,"0.2 (-0.1, 0.5)",0.268,0.268,,HMDB0007080
Time_235,0.154743999159704,0.15004639023016,0.310128626285702,,,Main,-0.139346925691409,0.448834924010817,DG 35:2,"0.2 (-0.1, 0.4)",0.31,0.31,,HMDB0007080
Time_(joint),,,,0.781048728262487,0.46645971931952,Main,,,DG 35:2,"NA (NA, NA)",,,0.466,HMDB0007080
Time_120,3.08939429396594,0.401562633587331,9.04664613687249e-09,,,Main,2.30233153213478,3.87645705579711,Uric acid,"3.1 (2.3, 3.9)",9.0e-09,9.0e-09***,,HMDB0000289
Time_235,3.04649533369735,0.401562633587331,1.21330742807808e-08,,,Main,2.25943257186618,3.83355809552852,Uric acid,"3 (2.3, 3.8)",1.2e-08,1.2e-08***,,HMDB0000289
Time_(joint),,,,38.9189326414851,2.69380600589909e-09,Main,,,Uric acid,"NA (NA, NA)",,,2.7e-09***,HMDB0000289
Time_120,-0.0147661091562654,0.0172130888872211,0.397359492743154,,,Main,-0.0485037633752189,0.018971545062688,SM 38:1;O2,"0 (0, 0)",0.397,0.397,,HMDB0012102
Time_235,-0.0132367894564274,0.0172130888872211,0.447534886073127,,,Main,-0.0469744436753808,0.020500864762526,SM 38:1;O2,"0 (0, 0)",0.448,0.448,,HMDB0012102
Time_(joint),,,,0.445046880471766,0.644700294202489,Main,,,SM 38:1;O2,"NA (NA, NA)",,,0.645,HMDB0012102
Time_120,-0.0256346149968298,0.0139489700078923,0.0754007779239286,,,Main,-0.0529745962122986,0.00170536621863902,PE P-36:2 or PE O-36:3,"0 (-0.1, 0)",0.075,0.075,,HMDB0011441
Time_235,-0.015482293284295,0.0139489700078923,0.275303216486786,,,Main,-0.0428222744997638,0.0118576879311738,PE P-36:2 or PE O-36:3,"0 (0, 0)",0.275,0.275,,HMDB0011441
Time_(joint),,,,1.71298278783187,0.196450216662092,Main,,,PE P-36:2 or PE O-36:3,"NA (NA, NA)",,,0.196,HMDB0011441
Time_120,0.621249845959924,0.0574742039286953,3.26624587940754e-12,,,Main,0.508600406259681,0.733899285660166,PE 36:1,"0.6 (0.5, 0.7)",3.3e-12,3.3e-12***,,HMDB0008993
Time_235,0.966730724437747,0.0574742039286953,1.90099892514113e-17,,,Main,0.854081284737504,1.07938016413799,PE 36:1,"1 (0.9, 1.1)",1.9e-17,1.9e-17***,,HMDB0008993
Time_(joint),,,,145.297492936134,8.78775148055497e-17,Main,,,PE 36:1,"NA (NA, NA)",,,8.8e-17***,HMDB0008993
Time_120,-0.0349992327233778,0.0157446189142502,0.033407780588195,,,Main,-0.0658586857953083,-0.00413977965144736,PC P-36:2,"0 (-0.1, 0)",0.033,0.033*,,HMDB0011244
Time_235,-0.0402332051561987,0.0157446189142502,0.0155623626050295,,,Main,-0.0710926582281292,-0.00937375208426824,PC P-36:2,"0 (-0.1, 0)",0.016,0.016*,,HMDB0011244
Time_(joint),,,,3.86060554229175,0.0314803785595062,Main,,,PC P-36:2,"NA (NA, NA)",,,0.031*,HMDB0011244
Time_120,-0.00354665528940531,0.0168227323929093,0.834360508974575,,,Main,-0.0365192107795075,0.0294259002006969,PC 36:1,"0 (0, 0)",0.834,0.834,,HMDB0008038
Time_235,0.0239387934369865,0.0168227323929093,0.164412013442579,,,Main,-0.00903376205311575,0.0569113489270887,PC 36:1,"0 (0, 0.1)",0.164,0.164,,HMDB0008038
Time_(joint),,,,1.57959245072454,0.221706732498293,Main,,,PC 36:1,"NA (NA, NA)",,,0.222,HMDB0008038
Time_120,-0.0167635614132383,0.0162033182491439,0.308622668395306,,,Main,-0.0485220651815603,0.0149949423550837,PC O-36:2,"0 (0, 0)",0.309,0.309,,HMDB0013418
Time_235,-0.00910117659827537,0.0162033182491439,0.57824309268684,,,Main,-0.0408596803665974,0.0226573271700466,PC O-36:2,"0 (0, 0)",0.578,0.578,,HMDB0013418
Time_(joint),,,,0.536487698311418,0.589966522462479,Main,,,PC O-36:2,"NA (NA, NA)",,,0.59,HMDB0013418
Time_120,-0.00174861424721777,0.0164452145187736,0.91598458577748,,,Main,-0.033981234704014,0.0304840062095785,PC 40:4,"0 (0, 0)",0.916,0.916,,HMDB0008342
Time_235,0.0132453896139499,0.0164452145187736,0.426518944075402,,,Main,-0.0189872308428464,0.0454780100707461,PC 40:4,"0 (0, 0)",0.427,0.427,,HMDB0008342
Time_(joint),,,,0.49710419179109,0.612909348395957,Main,,,PC 40:4,"NA (NA, NA)",,,0.613,HMDB0008342
Time_120,0.00430610789824304,0.0230005660730573,0.852672130806943,,,Main,-0.0407750016049492,0.0493872174014353,Gentisic acid,"0 (0, 0)",0.853,0.853,,HMDB0000152
Time_235,-0.0206250703775757,0.0230005660730573,0.376565159488266,,,Main,-0.0657061798807679,0.0244560391256165,Gentisic acid,"0 (-0.1, 0)",0.377,0.377,,HMDB0000152
Time_(joint),,,,0.67135935575387,0.518064120360291,Main,,,Gentisic acid,"NA (NA, NA)",,,0.518,HMDB0000152
Time_120,0.110456093943565,0.057527800846837,0.0638034354709494,,,Main,-0.00229839571623544,0.223210583603365,DG 38:4_A,"0.1 (0, 0.2)",0.064,0.064,,HMDB0007170
Time_235,0.198919552724806,0.057527800846837,0.00156073959465449,,,Main,0.0861650630650055,0.311674042384606,DG 38:4_A,"0.2 (0.1, 0.3)",1.6e-03,1.6e-03**,,HMDB0007170
Time_(joint),,,,6.00254413234644,0.00611439244258219,Main,,,DG 38:4_A,"NA (NA, NA)",,,6.1e-03**,HMDB0007170
Time_120,-0.0162462013597216,0.035074739826442,0.646364437910684,,,Main,-0.0849926914195479,0.0525002887001047,DG 34:1,"0 (-0.1, 0.1)",0.646,0.646,,HMDB0007102
Time_235,0.0131227816325295,0.035074739826442,0.710769633378527,,,Main,-0.0556237084272968,0.0818692716923558,DG 34:1,"0 (-0.1, 0.1)",0.711,0.711,,HMDB0007102
Time_(joint),,,,0.351878872038503,0.706052735860029,Main,,,DG 34:1,"NA (NA, NA)",,,0.706,HMDB0007102
Time_120,-0.0243766590837852,0.0233136259679382,0.303581433068636,,,Main,-0.070071365980944,0.0213180478133736,PE P-40:5,"0 (-0.1, 0)",0.304,0.304,,HMDB0011393
Time_235,0.00578282280320954,0.0233136259679382,0.80568462493355,,,Main,-0.0399118840939493,0.0514775297003684,PE P-40:5,"0 (0, 0.1)",0.806,0.806,,HMDB0011393
Time_(joint),,,,0.942769547416384,0.400100656093945,Main,,,PE P-40:5,"NA (NA, NA)",,,0.4,HMDB0011393
Time_120,-0.00783496474613929,0.0160426417219159,0.628608233316724,,,Main,-0.0392785425210944,0.0236086130288158,PC 38:2,"0 (0, 0)",0.629,0.629,,HMDB0008270
Time_235,0.0148457574033337,0.0160426417219159,0.36168781099116,,,Main,-0.0165978203716214,0.0462893351782888,PC 38:2,"0 (0, 0)",0.362,0.362,,HMDB0008270
Time_(joint),,,,1.03121268197413,0.368120976041204,Main,,,PC 38:2,"NA (NA, NA)",,,0.368,HMDB0008270
Time_120,-0.0946483455842759,0.0380973604246424,0.018400032999129,,,Main,-0.169319172016575,-0.0199775191519768,2-Aminooctanoic acid,"-0.1 (-0.2, 0)",0.018,0.018*,,HMDB0000991
Time_235,-0.177194574708636,0.0380973604246424,5.46244444707573e-05,,,Main,-0.251865401140935,-0.102523748276337,2-Aminooctanoic acid,"-0.2 (-0.3, -0.1)",5.5e-05,5.5e-05***,,HMDB0000991
Time_(joint),,,,10.8331767619235,0.000255367865619657,Main,,,2-Aminooctanoic acid,"NA (NA, NA)",,,2.6e-04***,HMDB0000991
Time_120,-0.0642840627436194,0.0191302598523343,0.00202670438662712,,,Main,-0.101779372054195,-0.0267887534330442,Cer 38:1;O2,"-0.1 (-0.1, 0)",2.0e-03,2.0e-03**,,HMDB0004951
Time_235,-0.160324471676726,0.0191302598523343,1.41451037355967e-09,,,Main,-0.197819780987301,-0.122829162366151,Cer 38:1;O2,"-0.2 (-0.2, -0.1)",1.4e-09,1.4e-09***,,HMDB0004951
Time_(joint),,,,35.5771184751048,7.35540364010727e-09,Main,,,Cer 38:1;O2,"NA (NA, NA)",,,7.4e-09***,HMDB0004951
Time_120,-0.00854819042124021,0.015971404167766,0.596199010692709,,,Main,-0.0398521425900615,0.0227557617475811,PC P-40:4 or PC O-40:5,"0 (0, 0)",0.596,0.596,,HMDB0013444
Time_235,-0.000375194375335978,0.015971404167766,0.98140399238462,,,Main,-0.0316791465441573,0.0309287577934854,PC P-40:4 or PC O-40:5,"0 (0, 0)",0.981,0.981,,HMDB0013444
Time_(joint),,,,0.182958337297799,0.833667873548412,Main,,,PC P-40:4 or PC O-40:5,"NA (NA, NA)",,,0.834,HMDB0013444
Time_120,0.0210066275649925,0.0219542805666049,0.345823920390407,,,Main,-0.0220237623455531,0.064037017475538,PC 42:5,"0 (0, 0.1)",0.346,0.346,,HMDB0008318
Time_235,-0.00930911855567301,0.0219542805666048,0.67438604853617,,,Main,-0.0523395084662185,0.0337212713548725,PC 42:5,"0 (-0.1, 0)",0.674,0.674,,HMDB0008318
Time_(joint),,,,1.00069935495608,0.37883589894171,Main,,,PC 42:5,"NA (NA, NA)",,,0.379,HMDB0008318
Time_120,-0.126303759020617,0.0777317704641732,0.114001438327762,,,Main,-0.278658029130397,0.0260505110891623,Hex2Cer 40:1;O2,"-0.1 (-0.3, 0)",0.114,0.114,,HMDB0011594
Time_235,-0.034327086055785,0.0777317704641732,0.661741704597499,,,Main,-0.186681356165565,0.118027184053994,Hex2Cer 40:1;O2,"0 (-0.2, 0.1)",0.662,0.662,,HMDB0011594
Time_(joint),,,,1.41176930974773,0.258483752742604,Main,,,Hex2Cer 40:1;O2,"NA (NA, NA)",,,0.258,HMDB0011594
Time_120,-0.0108003001199175,0.0201420914889496,0.595524640763735,,,Main,-0.0502787994382587,0.0286781991984238,PC O-34:0,"0 (-0.1, 0)",0.596,0.596,,HMDB0013405
Time_235,0.0118362679352633,0.0201420914889496,0.560899184266529,,,Main,-0.0276422313830779,0.0513147672536045,PC O-34:0,"0 (0, 0.1)",0.561,0.561,,HMDB0013405
Time_(joint),,,,0.631953525941877,0.538056048477386,Main,,,PC O-34:0,"NA (NA, NA)",,,0.538,HMDB0013405
Time_120,-0.00553940077615972,0.0197054576460761,0.780435763662298,,,Main,-0.0441620977624689,0.0330832962101495,Hex2Cer 42:2;O2,"0 (0, 0)",0.78,0.78,,HMDB0004872
Time_235,-0.00233994067555135,0.0197054576460761,0.906219047501485,,,Main,-0.0409626376618605,0.0362827563107578,Hex2Cer 42:2;O2,"0 (0, 0)",0.906,0.906,,HMDB0004872
Time_(joint),,,,0.0398285033378853,0.961001784327269,Main,,,Hex2Cer 42:2;O2,"NA (NA, NA)",,,0.961,HMDB0004872
Time_120,-0.0238442121023291,0.0280687647622033,0.401918080652571,,,Main,-0.0788589910362476,0.0311705668315895,DG 36:2,"0 (-0.1, 0)",0.402,0.402,,HMDB0007218
Time_235,0.0212320823379166,0.0280687647622033,0.454924091450813,,,Main,-0.0337826965960019,0.0762468612718351,DG 36:2,"0 (0, 0.1)",0.455,0.455,,HMDB0007218
Time_(joint),,,,1.2909388746097,0.288949877164021,Main,,,DG 36:2,"NA (NA, NA)",,,0.289,HMDB0007218
Time_120,-0.0745677314488713,0.0205353709068042,0.000974661541573182,,,Main,-0.114817058426208,-0.0343184044715352,Cer 40:2;O2,"-0.1 (-0.1, 0)",9.7e-04,9.7e-04***,,HMDB0011775
Time_235,-0.165420212523637,0.0205353709068042,3.38005336012935e-09,,,Main,-0.205669539500973,-0.125170885546301,Cer 40:2;O2,"-0.2 (-0.2, -0.1)",3.4e-09,3.4e-09***,,HMDB0011775
Time_(joint),,,,32.5493828186649,1.93633410599754e-08,Main,,,Cer 40:2;O2,"NA (NA, NA)",,,1.9e-08***,HMDB0011775
Time_120,-0.00300401115393803,0.0182596812271534,0.870359704443884,,,Main,-0.0387929863591587,0.0327849640512826,PC 37:1,"0 (0, 0)",0.87,0.87,,HMDB0007952
Time_235,0.019146973178917,0.0182596812271534,0.302221042985033,,,Main,-0.0166420020263037,0.0549359483841376,PC 37:1,"0 (0, 0.1)",0.302,0.302,,HMDB0007952
Time_(joint),,,,0.866082091265285,0.430221752909373,Main,,,PC 37:1,"NA (NA, NA)",,,0.43,HMDB0007952
Time_120,-0.0159599036906205,0.0149297656289465,0.293068033235368,,,Main,-0.0452222443233556,0.0133024369421146,HexCer 40:1;O2,"0 (0, 0)",0.293,0.293,,HMDB0004974
Time_235,-0.0139645905361679,0.0149297656289465,0.356612160725217,,,Main,-0.043226931168903,0.0152977500965672,HexCer 40:1;O2,"0 (0, 0)",0.357,0.357,,HMDB0004974
Time_(joint),,,,0.678501361249389,0.514526001525902,Main,,,HexCer 40:1;O2,"NA (NA, NA)",,,0.515,HMDB0004974
Time_120,0.0603895387478573,0.0581100026422405,0.30648770873864,,,Main,-0.0535060664309341,0.174285143926649,DG 35:1,"0.1 (-0.1, 0.2)",0.306,0.306,,HMDB0007387
Time_235,0.0227737619638539,0.0581100026422405,0.697724295724458,,,Main,-0.0911218432149374,0.136669367142645,DG 35:1,"0 (-0.1, 0.1)",0.698,0.698,,HMDB0007387
Time_(joint),,,,0.550869944677226,0.58181713278536,Main,,,DG 35:1,"NA (NA, NA)",,,0.582,HMDB0007387
Time_120,-0.0690171486969632,0.0278926912982115,0.0188358975779294,,,Main,-0.123686823641458,-0.0143474737524687,Cer 42:3;O2,"-0.1 (-0.1, 0)",0.019,0.019*,,HMDB0240680
Time_235,-0.152753736028477,0.0278926912982115,4.96525497620583e-06,,,Main,-0.207423410972971,-0.0980840610839821,Cer 42:3;O2,"-0.2 (-0.2, -0.1)",5.0e-06,5.0e-06***,,HMDB0240680
Time_(joint),,,,15.0423248527779,2.48114354349428e-05,Main,,,Cer 42:3;O2,"NA (NA, NA)",,,2.5e-05***,HMDB0240680
Time_120,-0.0399389783172039,0.0139131195661756,0.00720630673856609,,,Main,-0.0672086926669081,-0.0126692639674997,PC P-36:1,"0 (-0.1, 0)",7.2e-03,7.2e-03**,,HMDB0011243
Time_235,-0.0377582076451655,0.0139131195661756,0.0106215096326738,,,Main,-0.0650279219948697,-0.0104884932954613,PC P-36:1,"0 (-0.1, 0)",0.011,0.011*,,HMDB0011243
Time_(joint),,,,5.20997308339259,0.0109970916420437,Main,,,PC P-36:1,"NA (NA, NA)",,,0.011*,HMDB0011243
Time_120,-0.0572152401558933,0.0636883258436363,0.375702161268938,,,Main,-0.182044358809421,0.0676138784976339,PE P-40:4,"-0.1 (-0.2, 0.1)",0.376,0.376,,HMDB0009610
Time_235,0.00494617355229461,0.0636883258436363,0.938580368482685,,,Main,-0.119882945101233,0.129775292205822,PE P-40:4,"0 (-0.1, 0.1)",0.939,0.939,,HMDB0009610
Time_(joint),,,,0.588570966504364,0.561017129458093,Main,,,PE P-40:4,"NA (NA, NA)",,,0.561,HMDB0009610
Time_120,0.0534322995607896,0.035355336568532,0.140526910578949,,,Main,-0.015864160113533,0.122728759235112,DG 38:3,"0.1 (0, 0.1)",0.141,0.141,,HMDB0007169
Time_235,0.116334367885695,0.035355336568532,0.00244035035775822,,,Main,0.0470379082113719,0.185630827560017,DG 38:3,"0.1 (0, 0.2)",2.4e-03,2.4e-03**,,HMDB0007169
Time_(joint),,,,5.42543169438534,0.00935505668848703,Main,,,DG 38:3,"NA (NA, NA)",,,9.4e-03**,HMDB0007169
Time_120,-0.00265094268506595,0.0163362024446614,0.872110362820263,,,Main,-0.0346698994766024,0.0293680141064705,SM 41:2;O2,"0 (0, 0)",0.872,0.872,,HMDB0240614
Time_235,-0.00380004318004221,0.0163362024446614,0.817541897205049,,,Main,-0.0358189999715786,0.0282189136114942,SM 41:2;O2,"0 (0, 0)",0.818,0.818,,HMDB0240614
Time_(joint),,,,0.0284634569528993,0.971962389522411,Main,,,SM 41:2;O2,"NA (NA, NA)",,,0.972,HMDB0240614
Time_120,-0.0137608735107729,0.0171551453098504,0.428387563765622,,,Main,-0.0473849583180796,0.0198632112965339,PC O-40:4,"0 (0, 0)",0.428,0.428,,HMDB0013442
Time_235,-0.00517765481945076,0.0171551453098504,0.764747054092786,,,Main,-0.0388017396267575,0.028446429987856,PC O-40:4,"0 (0, 0)",0.765,0.765,,HMDB0013442
Time_(joint),,,,0.32828447924326,0.722554799754196,Main,,,PC O-40:4,"NA (NA, NA)",,,0.723,HMDB0013442
Time_120,-0.0511186010607423,0.0331543358147189,0.132945216753762,,,Main,-0.116101099257591,0.0138638971361067,Cer 39:1;O2,"-0.1 (-0.1, 0)",0.133,0.133,,HMDB0249814
Time_235,-0.0872067332411899,0.0331543358147189,0.0130075574924651,,,Main,-0.152189231438039,-0.022224235044341,Cer 39:1;O2,"-0.1 (-0.2, 0)",0.013,0.013*,,HMDB0249814
Time_(joint),,,,3.49356330338746,0.0424287266944013,Main,,,Cer 39:1;O2,"NA (NA, NA)",,,0.042*,HMDB0249814
Time_120,0.0341858576769445,0.0487801625678682,0.488483621148794,,,Main,-0.0614232609560772,0.129794976309966,DG 34:0,"0 (-0.1, 0.1)",0.488,0.488,,HMDB0007100
Time_235,0.0138512330115779,0.0487801625678682,0.778276289878907,,,Main,-0.0817578856214438,0.1094603516446,DG 34:0,"0 (-0.1, 0.1)",0.778,0.778,,HMDB0007100
Time_(joint),,,,0.248514856790743,0.78144959973663,Main,,,DG 34:0,"NA (NA, NA)",,,0.781,HMDB0007100
Time_120,-0.546103609562549,0.169735281138097,0.00295853612631346,,,Main,-0.87878476059322,-0.213422458531879,Saccharin,"-0.5 (-0.9, -0.2)",3.0e-03,3.0e-03**,,HMDB0029723
Time_235,-0.968013103271372,0.169735281138097,2.56839364990696e-06,,,Main,-1.30069425430204,-0.635331952240701,Saccharin,"-1 (-1.3, -0.6)",2.6e-06,2.6e-06***,,HMDB0029723
Time_(joint),,,,16.3517635108758,1.28100956644741e-05,Main,,,Saccharin,"NA (NA, NA)",,,1.3e-05***,HMDB0029723
Time_120,0.0530722740854779,0.0383296633699846,0.175746077773624,,,Main,-0.0220538661196918,0.128198414290648,p-Hydroxyphenylacetic acid,"0.1 (0, 0.1)",0.176,0.176,,HMDB0000020
Time_235,0.0557809663661863,0.0383296633699846,0.155328377012306,,,Main,-0.0193451738389835,0.130907106571356,p-Hydroxyphenylacetic acid,"0.1 (0, 0.1)",0.155,0.155,,HMDB0000020
Time_(joint),,,,1.34668949127887,0.274444194536447,Main,,,p-Hydroxyphenylacetic acid,"NA (NA, NA)",,,0.274,HMDB0000020
Time_120,0.000745752356689037,0.0182514588243842,0.967661480443004,,,Main,-0.035027106939104,0.0365186116524821,SM 40:1;O2,"0 (0, 0)",0.968,0.968,,HMDB0012103
Time_235,0.00161847176069714,0.0182514588243842,0.929891830785769,,,Main,-0.0341543875350959,0.0373913310564902,SM 40:1;O2,"0 (0, 0)",0.93,0.93,,HMDB0012103
Time_(joint),,,,0.00393980829491862,0.996068425646274,Main,,,SM 40:1;O2,"NA (NA, NA)",,,0.996,HMDB0012103
Time_120,0.00375275878608382,0.020541417086135,0.856191996940962,,,Main,-0.0365084187027407,0.0440139362749083,PC 38:1,"0 (0, 0)",0.856,0.856,,HMDB0008269
Time_235,0.0147991722867431,0.020541417086135,0.476474982124246,,,Main,-0.0254620052020814,0.0550603497755676,PC 38:1,"0 (0, 0.1)",0.476,0.476,,HMDB0008269
Time_(joint),,,,0.280540431365284,0.757214022434393,Main,,,PC 38:1,"NA (NA, NA)",,,0.757,HMDB0008269
Time_120,-0.0252141388629788,0.0541383123393384,0.644559268669043,,,Main,-0.131325231048082,0.0808969533221245,alpha-N-Phenylacetylglutamine,"0 (-0.1, 0.1)",0.645,0.645,,HMDB0006344
Time_235,0.120318023148268,0.0541383123393384,0.0334458500178297,,,Main,0.0142069309631645,0.226429115333371,alpha-N-Phenylacetylglutamine,"0.1 (0, 0.2)",0.033,0.033*,,HMDB0006344
Time_(joint),,,,4.12741087291507,0.0254280541110956,Main,,,alpha-N-Phenylacetylglutamine,"NA (NA, NA)",,,0.025*,HMDB0006344
Time_120,-0.10178261410069,0.0982072183284903,0.307781238340204,,,Main,-0.294268762024531,0.0907035338231507,PC P-38:2,"-0.1 (-0.3, 0.1)",0.308,0.308,,HMDB0011250
Time_235,-0.0592767279800921,0.0982072183284903,0.550372384134637,,,Main,-0.251762875903933,0.133209419943749,PC P-38:2,"-0.1 (-0.3, 0.1)",0.55,0.55,,HMDB0011250
Time_(joint),,,,0.541929767549307,0.586868718088616,Main,,,PC P-38:2,"NA (NA, NA)",,,0.587,HMDB0011250
Time_120,-0.0107005905119739,0.0354081380217843,0.764449766417226,,,Main,-0.0801005410346711,0.0586993600107232,PE P-38:2,"0 (-0.1, 0.1)",0.764,0.764,,HMDB0011382
Time_235,-0.0185898675252557,0.0354081380217842,0.603190362279444,,,Main,-0.0879898180479529,0.0508100829974414,PE P-38:2,"0 (-0.1, 0.1)",0.603,0.603,,HMDB0011382
Time_(joint),,,,0.138871980618593,0.870861109565369,Main,,,PE P-38:2,"NA (NA, NA)",,,0.871,HMDB0011382
Time_120,-0.00438849532922138,0.0186063550229475,0.815044370326163,,,Main,-0.0408569511741985,0.0320799605157558,SM 42:2;O2,"0 (0, 0)",0.815,0.815,,HMDB0012107
Time_235,-0.00537219345113433,0.0186063550229475,0.774650972393337,,,Main,-0.0418406492961115,0.0310962623938428,SM 42:2;O2,"0 (0, 0)",0.775,0.775,,HMDB0012107
Time_(joint),,,,0.0472631614385488,0.953902807024032,Main,,,SM 42:2;O2,"NA (NA, NA)",,,0.954,HMDB0012107
Time_120,-0.0534678705673348,0.0235397700346576,0.0299878197184832,,,Main,-0.0996058198352637,-0.00732992129940599,PC O-38:2,"-0.1 (-0.1, 0)",0.03,0.03*,,HMDB0013431
Time_235,-0.011812085580057,0.0235397700346576,0.619248508195149,,,Main,-0.0579500348479859,0.0343258636878718,PC O-38:2,"0 (-0.1, 0)",0.619,0.619,,HMDB0013431
Time_(joint),,,,2.84747970711872,0.0727557249094436,Main,,,PC O-38:2,"NA (NA, NA)",,,0.073,HMDB0013431
Time_120,-0.100782325225203,0.0594535688157831,0.0997593940190638,,,Main,-0.217311320104138,0.0157466696537317,3-Hydroxyhexanoic acid,"-0.1 (-0.2, 0)",0.1,0.1,,HMDB0061652
Time_235,-0.300017066507161,0.0594535688157831,1.73721106172251e-05,,,Main,-0.416546061386096,-0.183488071628226,3-Hydroxyhexanoic acid,"-0.3 (-0.4, -0.2)",1.7e-05,1.7e-05***,,HMDB0061652
Time_(joint),,,,13.1893076459867,6.64261404424896e-05,Main,,,3-Hydroxyhexanoic acid,"NA (NA, NA)",,,6.6e-05***,HMDB0061652
Time_120,0.00892281596063651,0.0195494063140539,0.651168123500006,,,Main,-0.0293940204149091,0.0472396523361821,PC P-40:3,"0 (0, 0)",0.651,0.651,,HMDB0008621
Time_235,0.00697392432529392,0.0195494063140539,0.723633120201446,,,Main,-0.0313429120502516,0.0452907607008395,PC P-40:3,"0 (0, 0)",0.724,0.724,,HMDB0008621
Time_(joint),,,,0.115173208125287,0.891579509360438,Main,,,PC P-40:3,"NA (NA, NA)",,,0.892,HMDB0008621
Time_120,-0.011698250375295,0.0162898833067719,0.477887942151737,,,Main,-0.0436264216565679,0.0202299209059779,Cer 40:1;O2,"0 (0, 0)",0.478,0.478,,HMDB0004952
Time_235,-0.0449718134850107,0.0162898833067719,0.0094680201448026,,,Main,-0.0768999847662836,-0.0130436422037378,Cer 40:1;O2,"0 (-0.1, 0)",9.5e-03,9.5e-03**,,HMDB0004952
Time_(joint),,,,4.10315471051249,0.02592341826273,Main,,,Cer 40:1;O2,"NA (NA, NA)",,,0.026*,HMDB0004952
Time_120,0.171471107670997,0.0400102209168234,0.000155964020750367,,,Main,0.093051074674023,0.249891140667971,DG 36:1,"0.2 (0.1, 0.2)",1.6e-04,1.6e-04***,,HMDB0007216
Time_235,0.322233609364362,0.0400102209168234,3.39465427426661e-09,,,Main,0.243813576367388,0.400653642361336,DG 36:1,"0.3 (0.2, 0.4)",3.4e-09,3.4e-09***,,HMDB0007216
Time_(joint),,,,32.4763534089476,1.98353842659487e-08,Main,,,DG 36:1,"NA (NA, NA)",,,2e-08***,HMDB0007216
Time_120,-0.00373253024807789,0.0170302738301632,0.827909369838772,,,Main,-0.0371118669551978,0.029646806459042,PC P-42:4 or PC O-42:5,"0 (0, 0)",0.828,0.828,,HMDB0013451
Time_235,0.00613245324544497,0.0170302738301632,0.72114473664543,,,Main,-0.0272468834616749,0.0395117899525648,PC P-42:4 or PC O-42:5,"0 (0, 0)",0.721,0.721,,HMDB0013451
Time_(joint),,,,0.171081782136987,0.843518373451277,Main,,,PC P-42:4 or PC O-42:5,"NA (NA, NA)",,,0.844,HMDB0013451
